author_name	author_id	loc_type	place	place_id	country	country_ISO	place_full	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Sinclair, Catherine	Q5052923	place of birth	Edinburgh	Q23436	United Kingdom	GBR	Edinburgh, United Kingdom	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100.0	
Sinclair, Catherine	Q5052923	place of death	Kensington	Q288781	United Kingdom	GBR	Kensington, United Kingdom	Kensington, Liverpool, Merseyside, England, GBR	Locality	District				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9478962199999614	53.412076342000034	100.0	
Sinclair, Catherine	Q5052923	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Disraeli, Benjamin	Q82006	place of burial	St Michael and All Angels Churchyard	Q96950760	United Kingdom	GBR	St Michael and All Angels Churchyard, United Kingdom	St Michael and All Angels, Dawlish Road, Alphington, Exeter, Devon, England, EX2 8, GBR	POI	Church	Dawlish Road	Dawlish		Exeter	Devon	England	United Kingdom	GBR	-3.5325399999999263	50.69942000000003	88.64	
Disraeli, Benjamin	Q82006	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Disraeli, Benjamin	Q82006	place of death	Curzon Street	Q5196144	United Kingdom	GBR	Curzon Street, United Kingdom	Curzon Street, Nottingham, Nottinghamshire, England, NG3 1, GBR	POI	Parking	Curzon Street	Curzon		Nottingham	Nottinghamshire	England	United Kingdom	GBR	-1.1427299999999718	52.95780000000008	100.0	
Disraeli, Benjamin	Q82006	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Disraeli, Benjamin	Q82006	place of death	Mayfair	Q124184	United Kingdom	GBR	Mayfair, United Kingdom	Mayfair, City of Westminster, Greater London, England, GBR	Locality	District				City of Westminster	Greater London	England	United Kingdom	GBR	-0.14658671799998046	51.50964176100007	100.0	
Disraeli, Benjamin	Q82006	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Disraeli, Benjamin	Q82006	archives at	National Library of Wales	Q666063	United Kingdom	GBR	National Library of Wales, United Kingdom	National Library of Wales, Aberystwyth, Dyfed, Wales, SY23 3, GBR	POI	Museum				Aberystwyth	Dyfed	Wales	United Kingdom	GBR	-4.06848999999994	52.414510000000064	100.0	
