author_name	author_id	loc_type	place	place_id	country	country_ISO
Sinclair, Catherine	Q5052923	place of birth	Edinburgh	Q23436	United Kingdom	GBR
Sinclair, Catherine	Q5052923	place of death	Kensington	Q288781	United Kingdom	GBR
Sinclair, Catherine	Q5052923	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Disraeli, Benjamin	Q82006	place of burial	St Michael and All Angels Churchyard	Q96950760	United Kingdom	GBR
Disraeli, Benjamin	Q82006	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Disraeli, Benjamin	Q82006	place of death	Curzon Street	Q5196144	United Kingdom	GBR
Disraeli, Benjamin	Q82006	place of death	Curzon Street	Q5196144	United Kingdom	GBR
Disraeli, Benjamin	Q82006	place of death	Curzon Street	Q5196144	United Kingdom	GBR
Disraeli, Benjamin	Q82006	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Disraeli, Benjamin	Q82006	place of death	Mayfair	Q124184	United Kingdom	GBR
Disraeli, Benjamin	Q82006	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Disraeli, Benjamin	Q82006	archives at	National Library of Wales	Q666063	United Kingdom	GBR
Disraeli, Benjamin	Q82006	work location	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Tupper, Martin Farquhar	Q1237247	place of birth	Greater London	Q23306	United Kingdom	GBR
Tupper, Martin Farquhar	Q1237247	place of death	Albury	Q4712853	United Kingdom	GBR
Tupper, Martin Farquhar	Q1237247	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Tupper, Martin Farquhar	Q1237247	archives at	Thomas Fisher Rare Book Library	Q7789602	Canada	CAN
Reynolds, George	Q3102010	place of birth	Sandwich	Q26163	United Kingdom	GBR
Reynolds, George	Q3102010	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Brontë, Emily	Q80137	place of burial	St Michael and All Angels' Church, Haworth	Q7594842	United Kingdom	GBR
Brontë, Emily	Q80137	place of birth	Thornton	Q2406502	United Kingdom	GBR
Brontë, Emily	Q80137	place of birth	The Brontë Birthplace	Q17534538	United Kingdom	GBR
Brontë, Emily	Q80137	place of death	Haworth	Q384570	United Kingdom	GBR
Brontë, Emily	Q80137	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Brontë, Emily	Q80137	residence	City of Brussels	Q239	Belgium	BEL
Brontë, Emily	Q80137	residence	Haworth	Q384570	United Kingdom	GBR
Brontë, Emily	Q80137	residence	Haworth	Q384570	United Kingdom	GBR
Brontë, Emily	Q80137	residence	Thornton	Q2406502	United Kingdom	GBR
Brontë, Emily	Q80137	residence	Thornton	Q2406502	United Kingdom	GBR
Brontë, Emily	Q80137	work location	Halifax	Q826561	United Kingdom	GBR
Brontë, Emily	Q80137	work location	Halifax	Q826561	United Kingdom	GBR
Brontë, Emily	Q80137	work location	Yorkshire	Q163	United Kingdom	GBR
Aguilar, Grace	Q298152	place of burial	Neuer Jüdischer Friedhof (Eckenheimer Landstraße)	Q20827177	Germany	DEU
Aguilar, Grace	Q298152	place of burial	Frankfurt am Main	Q1794	Germany	DEU
Aguilar, Grace	Q298152	place of birth	Hackney	Q58888182	United Kingdom	GBR
Aguilar, Grace	Q298152	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Aguilar, Grace	Q298152	place of death	Frankfurt am Main	Q1794	Germany	DEU
Aguilar, Grace	Q298152	country of citizenship	British Empire	Q8680	Kingdom of England	GBR
Aguilar, Grace	Q298152	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Thackeray, William Makepeace	Q167768	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR
Thackeray, William Makepeace	Q167768	place of birth	Kolkata	Q1348	India	IND
Thackeray, William Makepeace	Q167768	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Thackeray, William Makepeace	Q167768	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Thackeray, William Makepeace	Q167768	archives at	Beinecke Rare Book & Manuscript Library	Q814779	United States of America	USA
Thackeray, William Makepeace	Q167768	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Thackeray, William Makepeace	Q167768	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Dickens, Charles	Q5686	place of burial	Westminster Abbey	Q5933	United Kingdom	GBR
Dickens, Charles	Q5686	place of birth	Landport	Q1803681	United Kingdom	GBR
Dickens, Charles	Q5686	place of birth	Portsmouth	Q72259	United Kingdom	GBR
Dickens, Charles	Q5686	place of death	Higham	Q2336499	United Kingdom	GBR
Dickens, Charles	Q5686	place of death	Gads Hill Place	Q5516441	United Kingdom	GBR
Dickens, Charles	Q5686	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Dickens, Charles	Q5686	archives at	Louis Round Wilson Library	Q14708020	United States of America	USA
Dickens, Charles	Q5686	archives at	Louis Round Wilson Library	Q14708020	United States of America	USA
Dickens, Charles	Q5686	archives at	Louis Round Wilson Library	Q14708020	United States of America	USA
Dickens, Charles	Q5686	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Dickens, Charles	Q5686	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Dickens, Charles	Q5686	residence	Charles Dickens Museum	Q2723633	United Kingdom	GBR
Dickens, Charles	Q5686	residence	Charles Dickens Museum	Q2723633	United Kingdom	GBR
Dickens, Charles	Q5686	residence	Tavistock House	Q7689129	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	Chelsea	Q743535	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	England	Q21	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of birth	Cheyne Walk	Q5094624	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of death	England	Q21	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of death	Holybourne House	Q26386509	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	place of death	Alton	Q443840	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Gaskell, Elizabeth Cleghorn	Q229226	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Gaskell, Elizabeth Cleghorn	Q229226	archives at	Leeds University Library	Q24568958	United Kingdom	GBR
Skene, Felicia	Q1403036	place of birth	Aix-en-Provence	Q47465	France	FRA
Skene, Felicia	Q1403036	place of death	Oxford	Q34217	United Kingdom	GBR
Skene, Felicia	Q1403036	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR
Ainsworth, William Harrison	Q518359	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR
Ainsworth, William Harrison	Q518359	place of birth	Manchester	Q18125	United Kingdom	GBR
Ainsworth, William Harrison	Q518359	place of death	Reigate	Q1018418	United Kingdom	GBR
