corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-eng	ENG18410_Sinclair	ENG18410	Sinclair, Catherine	Modern Flirtations: or, A Month at Harrowgate	1800	1864	F	https://viaf.org/viaf/37692813/	1841	1841.0					eng	188876			long	low	T1
ELTeC-eng	ENG18440_Disraeli	ENG18440	Disraeli, Benjamin	Coningsby: or, The New Generation	1804	1881	M	https://viaf.org/viaf/49233448/	1844	1844.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and Learning      company)		eng	159046			long	low	T1
ELTeC-eng	ENG18411_Tupper	ENG18411	Tupper, Martin Farquhar	The Twins: A Domestic Novel	1810	1889	M	https://viaf.org/viaf/44385259/	1844	1844.0					eng	34573			short	low	T1
ELTeC-eng	ENG18450_Disraeli	ENG18450	Disraeli, Benjamin	Sybil, Or the Two Nations	1804	1881	M	https://viaf.org/viaf/49233448/	1845	1845.0					en	158160			long	low	T1
ELTeC-eng	ENG18460_Reynolds	ENG18460	Reynolds, George	The mysteries of London	1814	1879	M	https://viaf.org/viaf/72764995/	1846	1846.0					en	839895			long	low	T1
ELTeC-eng	ENG18471_Bronte	ENG18471	Brontë, Emily	Wuthering Heights	1818	1848	F	https://viaf.org/viaf/97097302/	1847	1847.0					en	115398			long	high	T1
ELTeC-eng	ENG18470_Aguilar	ENG18470	Aguilar, Grace	Home Influence: A Tale for Mothers and Daughters	1816	1847	F	https://viaf.org/viaf/7628015/	1847	1847.0					eng	171250			long	low	T1
ELTeC-eng	ENG18480_Thackeray	ENG18480	Thackeray, William Makepeace	Vanity Fair: A Novel without a Hero	1811	1863	M	https://viaf.org/viaf/95208604/	1848	1848.0			New York: P.F. Collier & Son, 1917		en	298740			long	high	T1
ELTeC-eng	ENG18481_Dickens	ENG18481	Dickens, Charles	Dombey and Son	1812	1870	M	https://viaf.org/viaf/88666393/	1848	1848.0			Oxford Text Archive		en	348793			long	high	T1
ELTeC-eng	ENG18482_Gaskell	ENG18482	Gaskell, Elizabeth Cleghorn	Mary Barton: A Tale of Manchester Life	1810	1865	F	https://viaf.org/viaf/39377536/	1848	1848.0					eng	161538			long	high	T1
ELTeC-eng	ENG18490_Skene	ENG18490	Skene, Felicia	The Inheritance of Evil	1821	1899	F	https://viaf.org/viaf/26018946/	1849	1849.0			Digital Library Program, Indiana                        University		eng	39873			short	low	T1
ELTeC-eng	ENG18500_Ainsworth	ENG18500	Ainsworth, William Harrison	Auriol, or The elixir of life	1805	1882	M	https://viaf.org/viaf/46894596/	1850	1850.0	Fri Dec 11 18:06:27 2015		eBooks@Adelaide		en	46373			short	low	T1
ELTeC-eng	ENG18510_Kingsley	ENG18510	Kingsley, Charles	Yeast: A Problem	1819	1875	M	https://viaf.org/viaf/27081838/	1851	1851.0	December 2, 2003				eng	95902			medium	low	T1
ELTeC-eng	ENG18531_Yonge	ENG18531	Yonge, Charlotte Mary	The Heir of Redclyffe	1823	1901	F	https://viaf.org/viaf/71399881/	1853	1853.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and     Learning company)		eng	233764			long	low	T1
ELTeC-eng	ENG18530_Dickens	ENG18530	Dickens, Charles	Bleak House	1812	1870	M	https://viaf.org/viaf/88666393/	1853	1853.0					eng	325604			long	high	T1
ELTeC-eng	ENG18540_Dickens	ENG18540	Dickens, Charles	Hard Times: For These Times	1812	1870	M	https://viaf.org/viaf/88666393/	1854	1854.0		1905			eng	104105			long	high	T1
ELTeC-eng	ENG18551_Trollope	ENG18551	Trollope, Anthony	The Warden	1815	1882	M	https://viaf.org/viaf/61683295/	1855	1855.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and Learning     company)		en	71911			medium	high	T1
ELTeC-eng	ENG18552_Kavanagh	ENG18552	Kavanagh, Julia	Rachel Gray	1824	1877	F	https://viaf.org/viaf/89854315/	1856	1856.0					eng	48639			short	low	T1
ELTeC-eng	ENG18560_Yonge	ENG18560	Yonge, Charlotte Mary	The Daisy Chain	1823	1901	F	https://viaf.org/viaf/71399881/	1856	1856.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and      Learning company)		eng	296590			long	low	T1
ELTeC-eng	ENG18570_Bronte	ENG18570	Brontë, Charlotte	The Professor: A Tale	1816	1855	F	https://viaf.org/viaf/71388025/	1857	1857.0					eng	87978			medium	high	T1
ELTeC-eng	ENG18600_Clive	ENG18600	Clive, Caroline Wigley	Why Paul Ferroll Killed His Wife	1801	1873	F	https://viaf.org/viaf/3337325/	1860	1860.0			Digital Library Program, Indiana       University		eng	56726			medium	low	T2
ELTeC-eng	ENG18610_Eliot	ENG18610	Eliot, George [pseud.]	Silas Marner: The Weaver of Raveloe	1819	1880	F	https://viaf.org/viaf/89000553/	1861	1861.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and            Learning company)		en	71043			medium	high	T2
ELTeC-eng	ENG18621_Braddon	ENG18621	Braddon, Mary Elizabeth	Lady Audley's Secret	1835	1915	F	https://viaf.org/viaf/66826682/	1862	1862.0					en	148971			long	high	T2
ELTeC-eng	ENG18630_Craik	ENG18630	Craik, Dinah Maria	Mistress and Maid	1826	1887	F	https://viaf.org/viaf/46793285/	1862	1862.0					en	109497			long	low	T2
ELTeC-eng	ENG18632_Reade	ENG18632	Reade, Charles	Hard Cash. A matter of fact romance	1814	1884	M	https://viaf.org/viaf/44314913/	1863	1863.0		1895			eng	259251			long	low	T2
ELTeC-eng	ENG18641_Stretton	ENG18641	Stretton, Hesba	Fern's Hollow	1832	1911	F	https://viaf.org/viaf/29892399/	1864	1864.0					eng	44735			short	low	T2
ELTeC-eng	ENG18640_Blackmore	ENG18640	Blackmore, Richard Doddridge	Clara Vaughan	1825	1900	M	https://viaf.org/viaf/59105182/	1864	1864.0					en	195823			long	low	T2
ELTeC-eng	ENG18652_Carroll	ENG18652	Carroll, Lewis [pseud.]	Alice's Adventures in Wonderland	1832	1898	M	https://viaf.org/viaf/66462036/	1865	1865.0		1869			eng	26391			short	high	T2
ELTeC-eng	ENG18651_Yonge	ENG18651	Yonge, Charlotte Mary	The Clever Woman of the Family	1823	1901	F	https://viaf.org/viaf/71399881/	1865	1865.0					eng	181915			long	low	T2
ELTeC-eng	ENG18650_Trollope	ENG18650	Trollope, Anthony	Can You Forgive Her?	1815	1882	M	https://viaf.org/viaf/61683295/	1865	1865.0	November 19, 2011				en	305740			long	high	T2
ELTeC-eng	ENG18660_Eliot	ENG18660	Eliot, George [pseud.]	Felix Holt, the Radical	1819	1880	F	https://viaf.org/viaf/89000553/	1866	1866.0	2000		Chadwyck-Healey Ltd (A Bell & Howell      Information and Learning company)		eng	181371			long	high	T2
ELTeC-eng	ENG18661_Oliphant	ENG18661	Oliphant, Margaret	Miss Marjoribanks	1828	1897	F	https://viaf.org/viaf/49256072/	1866	1866.0		1969			eng	207241			long	low	T2
ELTeC-eng	ENG18670_Ouida	ENG18670	Ouida, [pseud.]	Under Two Flags: A Story of the Household and the Desert	1839	1908	F	https://viaf.org/viaf/34490941/	1867	1867.0	2000		Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company)		eng	246466			long	high	T2
ELTeC-eng	ENG18700_Oliphant	ENG18700	Oliphant, Laurence	Piccadilly	1829	1888	M	https://viaf.org/viaf/17265739/	1870	1870.0					en	70524			medium	low	T2
ELTeC-eng	ENG18702_Jenkins	ENG18702	Jenkins, John Edward	Ginx's Baby: His Birth and Other Misfortunes	1838	1910	M	https://viaf.org/viaf/24837293/	1871	1871.0					eng	31902			short	low	T2
ELTeC-eng	ENG18721_Eliot	ENG18721	Eliot, George [pseud.]	Middlemarch	1819	1880	F	https://viaf.org/viaf/89000553/	1872	1872.0					en	316163			long	high	T2
ELTeC-eng	ENG18720_Lynn	ENG18720	Linton, Elizabeth Lynn	The True History of Joshua Davidson	1822	1898	F	https://viaf.org/viaf/7521381/	1872	1872.0		1873	Digital Library      Program, Indiana University		eng	38286			short	low	T2
ELTeC-eng	ENG18742_Trollope	ENG18742	Trollope, Anthony	Harry Heathcote of Gangoil	1815	1882	M	https://viaf.org/viaf/61683295/	1874	1874.0					eng	40527			short	low	T2
ELTeC-eng	ENG18740_Ouida	ENG18740	Ouida, [pseud.]	Two Little Wooden Shoes: A Sketch	1839	1908	F	https://viaf.org/viaf/34490941/	1874	1874.0					en	54444			medium	low	T2
ELTeC-eng	ENG18741_Bulwer	ENG18741	Lytton, Edward Bulwer	The Parisians	1803	1873	M	https://viaf.org/viaf/99871326/	1874	1874.0					eng	252553			long	low	T2
ELTeC-eng	ENG18760_Collins	ENG18760	Collins, Wilkie	The Two Destinies: A Romance	1824	1889	M	https://viaf.org/viaf/95173526/	1876	1876.0					eng	88959			medium	low	T2
ELTeC-eng	ENG18770_Mallock	ENG18770	Mallock, William Hurrell	The New Republic	1849	1923	M	https://viaf.org/viaf/7455306/	1877	1877.0					eng	77630			medium	low	T2
ELTeC-eng	ENG18800_Disraeli	ENG18800	Disraeli, Benjamin	Endymion	1804	1881	M	https://viaf.org/viaf/49233448/	1880	1880.0					eng	171240			long	low	T3
ELTeC-eng	ENG18820_Anstey	ENG18820	Anstey, F. [pseud.]	Vice Versa: or, A Lesson to Fathers	1856	1934	M	https://viaf.org/viaf/69063398/	1882	1882.0					eng	93483			medium	high	T3
ELTeC-eng	ENG18830_Broughton	ENG18830	Broughton, Rhoda	Belinda: A Novel	1840	1920	F	https://viaf.org/viaf/45106836/	1883	1883.0	2000	1884	Chadwyck-Healey Ltd (A Bell & Howell Information and      Learning company)		eng	138769			long	low	T3
ELTeC-eng	ENG18831_Ouida	ENG18831	Ouida, [pseud.]	Folle-Farine	1839	1908	F	https://viaf.org/viaf/34490941/	1883	1883.0			Digital Library Program, Indiana      University		eng	190954			long	low	T3
