Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
England	GPE	pleasant little watering-place on the southern coast of England, entirely suitable for those who have small incomes and	0	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Heights	GPE	: there are, on one flank, the breezy Heights, with flag-staff and panorama; on the	1	Height, Kirklees, West Yorkshire, England, GBR	Locality	District				Kirklees	West Yorkshire	England	United Kingdom	GBR	-1.8511138319999532	53.61952147300008	100	
Eyemouth	GPE	one great attraction—the pretty market-town of Eyemouth another—the everlasting, never-tiring sea a	1	Eyemouth, Berwickshire, Scotland, GBR	Locality	City				Eyemouth	Berwickshire	Scotland	United Kingdom	GBR	-2.089457179999954	55.872262824000074	100	
Devonshire	GPE	; and, at high-summer, when the Devonshire lanes are not knee-deep in mire, the	1	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Oxton	GPE	filthy, though picturesque, mud-built village of Oxton.	1	Oxton, Wirral, Merseyside, England, GBR	Locality	District				Wirral	Merseyside	England	United Kingdom	GBR	-3.0522341109999616	53.381736458000034	100	
Great Britain	GPE	", that Victoria sits upon the ""musnud"" of Great Britain; you may order curry in the smallest pot-"	3	Great Britain	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100	
India	GPE	"Tracy was still drinking ""Hodgson's Pale"" in India, was so taciturn as to be considered almost dumb"	4	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Madras	GPE	must be on his way back to the Presidency of Madras, and—if she will not follow him—	7	Madras, Chennai, Tamil Nadu, IND	Locality	City				Chennai	Chennai	Tamil Nadu	India	IND	80.28256000000005	13.083750000000066	100	
Plymouth Sound	GPE	her eyes, bade adieu to her retreating lord in Plymouth Sound, and determined to abide, with other expectant dames	11	Plymouth Sound, Plymouth, England, GBR	POI	Sound					Plymouth	England	United Kingdom	GBR	-4.1473799999999414	50.345300000000066	100	
India	GPE	the first year of absence, ship-letters and India-letters arrived duteously in consecutive succession: but somehow	12	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Iceland	GPE	at birth, and require as different a treatment as Iceland moss from cactuses, or bull-dogs from bull	14	Iceland	Locality	Country							Iceland	ISL	-18.582382345999974	64.98695685900003	100	
Otranto	GPE	and the giant grown too big for that castle of Otranto; so he must go at any rate; and	14	Otranto, Lecce, ITA	Locality	City				Otranto	Lecce	Puglia	Italia	ITA	18.48305000000005	40.14988000000005	100	
India	GPE	, a few months after Captain Tracy sailed away for India some full score of years, and more, from	16	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
innoffensive	GPE	-pated young book-worm; the sympathizing, innoffensive, gentle heart, whose effort still it was to	17	Offensive, 12 Rue Louis Pasteur, 57200, Sarreguemines, Moselle, Grand Est, FRA	POI	Sporting Goods Store	12 Rue Louis Pasteur	Louis Pasteur	12	Sarreguemines	Moselle	Grand Est	France	FRA	7.069790000000069	49.11119000000008	79.75	
Charles	GPE	chivalry, and nobleness of mind which shone supreme in Charles. How would Julian have acted in such a case	22	Charles, North Devon, Devon, England, GBR	Locality	Village				North Devon	Devon	England	United Kingdom	GBR	-3.8749422519999257	51.08022974700003	100	
E.I.M.	GPE	"""The Sir William Elphinston, E.I.M."	29	I.M.E., 29 Rue Beaumanoir, 22100, Dinan, Côtes-d'Armor, Bretagne, FRA	POI	Medical Clinic	29 Rue Beaumanoir	Beaumanoir	29	Dinan	Côtes-d'Armor	Bretagne	France	FRA	-2.0426799999999616	48.44795000000005	90	
India	GPE	an out-of-the-way part of India, where there is little communication with Europe, and	30	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Plymouth	GPE	. We hope to find ourselves to-night in Plymouth roads, where I shall get into a pilot-	30	Plymouth, Devon, England, GBR	Locality	City				Plymouth	Devon	England	United Kingdom	GBR	-4.142097422999939	50.37000040500004	100	
India	GPE	P.S.2.—I bring with me the daughter of a friend in India, who is come over for a year or two	33	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
India	GPE	so long been satisfied with receiving quarterly pay from the India agents, that she forgot it was an evidence of	35	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
India	GPE	he ever had seemed to have been left behind in India—that new world, around which now all his	44	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Charles	GPE	remembrances revolved; and the reserve (clearly rëproduced in Charles), the habit of silence whereof we took due	44	Charles, North Devon, Devon, England, GBR	Locality	Village				North Devon	Devon	England	United Kingdom	GBR	-3.8749422519999257	51.08022974700003	100	
India	GPE	, an easy chair, and an ordnance map of India, with Emily beside him to talk about old times	44	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
