Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Wales	GPE	In a very beautiful part of Wales, between the northern boundaries of Glamorgan and the southeastern	0	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
Carmarthenshire	GPE	between the northern boundaries of Glamorgan and the southeastern of Carmarthenshire, there stood, some twenty or thirty years ago	0	Carmarthenshire, Wales, GBR	Locality	County					Carmarthenshire	Wales	United Kingdom	GBR	-4.164223662999973	51.90369932300007	100	
India	GPE	child. Weakly from her birth, her residence in India had increased constitutional delicacy, and while to a watchful	29	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Italy	GPE	had been adopted by a married sister, living in Italy—appeared to Emmeline's ideas of truth and honor	90	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
England	GPE	of the peasantry and working classes in various parts of England, in addition to various services of a private and	93	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Devonshire	GPE	the vicinity of their noble seat, and in which Devonshire abounds, delighted him, and when Eleanor did visit	98	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
London	GPE	with Mr. and Mrs. Hamilton, when they were in London, Eleanor would not hear of it. But to	100	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	more surprising, condescended to make herself agreeable. The London season had tired her, and she thought she might	100	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Oakwood	GPE	every old ruin and dark wood within ten miles of Oakwood. Altogether the impression she left behind her, after	100	Oakwood, OH, USA	Locality	City				Oakwood	Montgomery County	Ohio	United States	USA	-84.17303999999996	39.72305000000006	100	
London	GPE	Her visit to her father in London, in the winter, removed all their rising hopes	101	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Cheltenham	GPE	of the summer and autumn was to be spent in Cheltenham with a very gay party, in which Eleanor was	103	Cheltenham, Gloucestershire, England, GBR	Locality	City				Cheltenham	Gloucestershire	England	United Kingdom	GBR	-2.0766856369999687	51.900737958000036	100	
Cheltenham	GPE	A month of their visit to Cheltenham so passed, when Eleanor's attention was arrested by	109	Cheltenham, Gloucestershire, England, GBR	Locality	City				Cheltenham	Gloucestershire	England	United Kingdom	GBR	-2.0766856369999687	51.900737958000036	100	
India	GPE	, and a young military captain, whose furlough from India had just expired, and whose pale face, somewhat	109	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Cheltenham	GPE	—information which instantly brought Mr. and Mrs. Hamilton to Cheltenham.	115	Cheltenham, Gloucestershire, England, GBR	Locality	City				Cheltenham	Gloucestershire	England	United Kingdom	GBR	-2.0766856369999687	51.900737958000036	100	
England	GPE	my destiny is fixed. There is no peace in England: at least let me be spared the agony of	123	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
