Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Manchester	GPE	"There are some fields near Manchester, well known to the inhabitants as ""Green Heys"	0	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	often named. One was a thorough specimen of a Manchester man; born of factory workers, and himself bred	5	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Buckinghamshire	GPE	"Barton, with a sigh. ""You see them Buckinghamshire people as comes to work in Manchester, has quite"	12	Buckinghamshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-0.7991199999999594	51.834790000000055	100	
Manchester	GPE	You see them Buckinghamshire people as comes to work in Manchester, has quite a different look with them to us	12	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	us Manchester folk. You'll not see among the Manchester wenches such fresh rosy cheeks, or such black lashes	12	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
japan	GPE	up by a crimson tea-caddy, also of japan ware. A round table on one branching leg really	42	Japan	Locality	Country							Japan	JPN	139.27149500000007	36.655226998000046	100	
Tipping	GPE	round the corner, and get some fresh eggs at Tipping's (you may get one a-piece,	44	Topping, VA, USA	Locality	City				Topping	Middlesex County	Virginia	United States	USA	-76.47621999999996	37.58701000000008	85.71	
Cumberland	GPE	pound and a half, Mary. And get it Cumberland ham, for Wilson comes from there-away,	46	Cumberland, NS, CAN	Locality	City				Cumberland	Cumberland County	Nova Scotia	Canada	CAN	-64.09480582899994	45.65483644300008	100	
Cumberland	GPE	some excellent red-and-white smoke-flavoured Cumberland ham, wrapped up in paper.	58	Cumberland, NS, CAN	Locality	City				Cumberland	Cumberland County	Nova Scotia	Canada	CAN	-64.09480582899994	45.65483644300008	100	
thou'lt	GPE	must go to bed, and try and sleep; thou'lt have enough to do and to bear, poor wench	86	Le Thoult, Marne, Grand Est, FRA	Locality	City				Le Thoult	Marne	Grand Est	France	FRA	3.689040000000034	48.85000000000008	97.72	
Cumberland	GPE	bread of the north, the clap-bread of Cumberland and Westmoreland, and descending carefully with the thin cakes	105	Cumberland, NS, CAN	Locality	City				Cumberland	Cumberland County	Nova Scotia	Canada	CAN	-64.09480582899994	45.65483644300008	100	
