Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	funeral procession went its way along the busy streets of London.	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	one of his own daughters to a fashionable school in Paris, there to complete her education. With a cry	32	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	house—the following week Agnes was to go to Paris. He mentioned the sums he would deduct yearly from	34	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	full effect. Agnes was established at a school in Paris, there to have the natural tenderness of her disposition	42	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
France	GPE	sophistry which so much pervades the tone of society in France.	42	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
London	GPE	the country. Elizabeth had passed her whole existence in London, where the natural and moral atmosphere are both alike	48	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	There is not in all England a more charming spot than the village of B—	51	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
midland	GPE	It is situated in the heart of one of the midland counties, and the scenery all around it has that	51	Midland, TX, USA	Locality	City				Midland	Midland County	Texas	United States	USA	-102.07445999999999	32.00002000000006	100	
inhabiteth eternity	GPE	own spirit, where the High and Lofty One that inhabiteth eternity, and yet dwelleth with the contrite and humble,	63															nothing found
London	GPE	was to join them after having spent some time in London with the Hardman family.	75	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	Agnes did not leave Paris for London until the week before the wedding took place	77	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	Agnes did not leave Paris for London until the week before the wedding took place. On	77	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Holy City	GPE	which alone shall doubtless be composed the population of that Holy City, where nothing that defileth shall in any wise enter	98	Holy City, East Devon, Devon, England, GBR	Locality	Village				East Devon	Devon	England	United Kingdom	GBR	-2.998147046999975	50.83979316800003	100	
London	GPE	Clayton, Mrs. Sharp went for a few days to London. One of her first proceedings on arriving there was	158	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	of the person they would send to conduct her to London, where she was henceforward to reside in their house	174	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	that if she did not appear at his house in London within a given time, he would himself come in	198	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	letter to Agnes; “we must be married in London.”	199	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	this difficulty. It was very easy to go to London, where the parish priest of some populous district,	202	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	, a cousin of his own, who resided in London, whose theory it was, that all duties which	203	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	his father that he was going to take Agnes to London for a few weeks to visit a friend, and	203	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	merrily at the idea that her guardian was probably leaving London that day in search of her; and Richard had	204	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	During the three weeks which followed their arrival in London, Richard took care, with the willing assistance of	205	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
