Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
England	GPE	his little Public-office, ready to fight all England.  To continue in fistic phraseology, he had	26	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
M’Choakumchild	GPE	of the compass.  Ah, rather overdone, M’Choakumchild.  If he had only learnt a little less	51															nothing found
M’Choakumchild	GPE	to see what they contained.  Say, good M’Choakumchild.  When from thy boiling store, thou shalt	52															nothing found
Coketown	GPE	to him.  Whatsoever the public meeting held in Coketown, and whatsoever the subject of such meeting, some	60	Coketown, WV, USA	Locality	Village				Coketown	Brooke County	West Virginia	United States	USA	-80.60710999999998	40.34820000000008	100	
Brentford	GPE	laughable hippo-comedietta of The Tailor’s Journey to Brentford.’	61	Brentford, SD, USA	Locality	City				Brentford	Spink County	South Dakota	United States	USA	-98.32315999999997	45.15614000000005	100	
Coketown	GPE	, chief manager, small partner, Josiah Bounderby of Coketown.  Those are the antecedents, and the culmination	103	Coketown, WV, USA	Locality	Village				Coketown	Brooke County	West Virginia	United States	USA	-80.60710999999998	40.34820000000008	100	
Church	GPE	, from studying the steeple clock of St. Giles’s Church, London, under the direction of a drunken cripple	103	Church, Hyndburn, Lancashire, England, GBR	Locality	City				Hyndburn	Lancashire	England	United Kingdom	GBR	-2.3855391899999745	53.75707758100003	100	
London	GPE	studying the steeple clock of St. Giles’s Church, London, under the direction of a drunken cripple, who	103	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Louisa	GPE	He spoke of young Thomas, but he looked at Louisa.	106	Louisa, KY, USA	Locality	City				Louisa	Lawrence County	Kentucky	United States	USA	-82.60422999999997	38.11403000000007	100	
Louisa	GPE	always so interested in my young people — particularly in Louisa — that I make no apology for saying to you	116	Louisa, KY, USA	Locality	City				Louisa	Lawrence County	Kentucky	United States	USA	-82.60422999999997	38.11403000000007	100	
