Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	the many little suburbs which cling to the outskirts of London, there is a silent and grass-grown street	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	frames hung against the walls; two or three broken china ornaments adorned the wooden mantel-shelf, which was	6	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
London	GPE	, her little companion and friend? Sleeping in a London grave, far from the pleasant and sunny spots where	24	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	toil of a day, to breathe fresh air, London air even though it should be. It is sweet	44	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	were coming out of pawnbroker's shops, and precocious London children were pouring into a theatre, where their morals	54	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
America	GPE	, without previous warning, Thomas Gray went off to America, and coolly left his wife and children behind.	70	America	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
England	GPE	at the double burden. When her husband returned to England, after three years' absence, Mrs. Gray lost	70	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	, and more favoured child. That before he left England, he would occasionally caress her; that when she	75	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Calvary	GPE	hearts within us, when we look from Bethlehem to Calvary, from the lowly birth in the Manger to the	92	Calvary, Mesquite, TX, USA	Locality	Neighborhood				Mesquite	Dallas County	Texas	United States	USA	-96.63115999999997	32.75526000000008	100	
London	GPE	the forge, and by the natural heaviness of a London atmosphere, the sky enclosed all; yet, even	104	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	fair rosy gleams of the setting sun shone in that London sky, and at the zenith there was a space	104	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	speak English; she had resided some fifteen years in London, and could say 'yes' and 'no	121	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	of fortune had wafted this little French fairy to a London cellar, no one ever knew. How she lived	122	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	"it might have been said, as it was of England's childless King, ""that from one sad day"	537	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
America	GPE	"replied: ""Rachel, what did I go to America for?"""	618	America	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
Providence	GPE	"""It might please Providence to afflict you with sickness,"" began Rachel."	627	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Brussels	GPE	""" said Mr. Jones, winking shrewdly; ""real Brussels carpet; portrait of Her Majesty above the mantel-"	656	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Marylebone	GPE	set all to rights. What's his parish? Marylebone, ain't it? I shall see the overseer	753	Marylebone, Wigan, Greater Manchester, England, GBR	Locality	District				Wigan	Greater Manchester	England	United Kingdom	GBR	-2.6274937609999256	53.56001905100004	100	
china	GPE	"and so your beggarly father has been and broke my china cup! Eh, ma'am!"""	827	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Miss.	GPE	prenticed to you that I expect nothink from you, Miss. All I say is this: don't go there	863	Mississippi, USA	Locality	State or Province						Mississippi	United States	USA	-89.65717580799998	32.72397779900007	100	
London	GPE	A time may come when the London churchyard shall be remembered as a thing that has been	1070	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Australia	GPE	shop has taken himself off, he's going to Australia, he says, but that's neither here nor	1098	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
