Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
CHARLES	GPE	“DEAR CHARLES,	1	Charles, North Devon, Devon, England, GBR	Locality	Village				North Devon	Devon	England	United Kingdom	GBR	-3.8749422519999257	51.08022974700003	100	
Seacombe	GPE	and my uncle the nobleman offered me the living of Seacombe, which is in his gift, if I would	4	Seacombe, Wirral, Merseyside, England, GBR	Locality	District				Wirral	Merseyside	England	United Kingdom	GBR	-3.0261728609999636	53.40894877900007	100	
Tynedale	GPE	I was quite right to shake off the burden of Tynedale’s patronage, but a fool to offer my shoulders	6	Tynedale, Western Australia, AUS	POI	House					Harvey	Western Australia	Australia	AUS	115.90370000000007	-33.32851999999997	100	
Seacombe	GPE	without some expression of determined enmity against the house of Seacombe, and some reproach to me for living, as	8	Seacombe, Wirral, Merseyside, England, GBR	Locality	District				Wirral	Merseyside	England	United Kingdom	GBR	-3.0261728609999636	53.40894877900007	100	
shire	GPE	but he said I might come down to ——shire, if I liked, and he would ‘see	9	Shire, Eden, Cumbria, England, GBR	Locality	District				Eden	Cumbria	England	United Kingdom	GBR	-2.599768044999962	54.71006426900004	100	
morocco	GPE	I took the stuffed easy chair, covered with red morocco, which stood by the fireside, and while my	13	Morocco	Locality	Country							Kingdom of Morocco	MAR	-4.999999999999943	32.00000000000006	100	
morocco	GPE	head to foot; he took his seat in the morocco covered arm-chair, and motioned me to another	15	Morocco	Locality	Country							Kingdom of Morocco	MAR	-4.999999999999943	32.00000000000006	100	
Tynedale	GPE	“‘Have you quite broken with Tynedale and Seacombe?’ he asked hastily.	21	Tynedale, Western Australia, AUS	POI	House					Harvey	Western Australia	Australia	AUS	115.90370000000007	-33.32851999999997	100	
Tynedale	GPE	I, ‘as alien to what I like as Tynedale, Seacombe, the Misses Seacombe—as the affectionate	26	Tynedale, Western Australia, AUS	POI	House					Harvey	Western Australia	Australia	AUS	115.90370000000007	-33.32851999999997	100	
Seacombe	GPE	‘as alien to what I like as Tynedale, Seacombe, the Misses Seacombe—as the affectionate relative now	26	Seacombe, Wirral, Merseyside, England, GBR	Locality	District				Wirral	Merseyside	England	United Kingdom	GBR	-3.0261728609999636	53.40894877900007	100	
shire hills	GPE	. The autumn sun, rising over the ——shire hills, disclosed a pleasant country; woods brown and mellow	38	Shire Hill, High Peak, Derbyshire, England, GBR	POI	Mountain				High Peak	Derbyshire	England	United Kingdom	GBR	-1.919888167999943	53.44764139500006	100	
Bigben Close	GPE	into a great paved yard, and we were in Bigben Close, and the mill was before us, vomiting soot	43	Big Ben, Westminster, Greater London, England, GBR	POI	Historical Monument				Westminster	Greater London	England	United Kingdom	GBR	-0.12464999999997417	51.50060000000008	95.41	
shire	GPE	“You are come down to ——shire to learn to be a tradesman?”	48	Shire, Eden, Cumbria, England, GBR	Locality	District				Eden	Cumbria	England	United Kingdom	GBR	-2.599768044999962	54.71006426900004	100	
Hunsden	GPE	propelled me from my superior. I had frequently seen Hunsden in Bigben Close, where he came almost weekly to	80	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Bigben Close	GPE	from my superior. I had frequently seen Hunsden in Bigben Close, where he came almost weekly to transact business with	80	Big Ben, Westminster, Greater London, England, GBR	POI	Historical Monument				Westminster	Greater London	England	United Kingdom	GBR	-0.12464999999997417	51.50060000000008	95.41	
Bigben Close	GPE	the closeness, smoke, monotony and joyless tumult of Bigben Close, and its panting desire for freer and fresher scenes	111	Big Ben, Westminster, Greater London, England, GBR	POI	Historical Monument				Westminster	Greater London	England	United Kingdom	GBR	-0.12464999999997417	51.50060000000008	95.41	
Grove	GPE	my course towards the country; I had got into Grove-street, and began to feel the pleasure of	116	Groves, TX, USA	Locality	City				Groves	Jefferson County	Texas	United States	USA	-93.91966999999994	29.945650000000057	100	
Hunsden	GPE	It suited me to accept the invitation as it suited Hunsden to give it. I passed through the gate,	131	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
shire	GPE	the bright grate was filled with a genuine ——shire fire, red, clear, and generous, no	132	Shire, Eden, Cumbria, England, GBR	Locality	District				Eden	Cumbria	England	United Kingdom	GBR	-2.599768044999962	54.71006426900004	100	
Hunsden	GPE	slovenly habits. From what I saw I concluded that Hunsden’s ideas on that point corresponded with my own.	132	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Crimsworth	GPE	patient because you expect to make something eventually out of Crimsworth, notwithstanding his tyranny, or perhaps by means of	148	Chisworth, High Peak, Derbyshire, England, GBR	Locality	Village				High Peak	Derbyshire	England	United Kingdom	GBR	-2.014556480999943	53.424548634000075	82	
Hunsden	GPE	The first part of Hunsden’s speech moved me not at all, or,	152	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Hunsden	GPE	I make myself a tradesman? Why did I enter Hunsden’s house this evening? Why, at dawn to	158	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Hunsden	GPE	’s, nor Eccle’s company; and as to Hunsden, you fancied there was pleasure to be derived from	160	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Egypt	GPE	the Israelite crawling over the sun-baked fields of Egypt in search of straw and stubble wherewith to accomplish his	161	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
shire	GPE	last term is, I believe, purely ——shire, and alludes to the horn of black, rancid	173	Shire, Eden, Cumbria, England, GBR	Locality	District				Eden	Cumbria	England	United Kingdom	GBR	-2.599768044999962	54.71006426900004	100	
Town	GPE	and a hypocrite. At a public meeting in the Town-hall yesterday, I had the pleasure of hearing	185	Town, Kasungu, Central Region, MWI	Locality	Village				Kasungu		Central Region	Malawi	MWI	33.47947000000005	-13.015099999999961	100	
Hunsden	GPE	month ago, and I know that you were at Hunsden’s rooms last night. Deny it if you dare	185	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Sirrah	GPE	“Sirrah! sirrah!” reiterated Crimsworth; and to complete	187	Sirrah, Papua Pegunungan, IDN	POI	Mountain						Papua Pegunungan	Indonesia	IDN	140.88333000000011	-4.983329999999967	100	
Grovetown	GPE	did look up, lo! straight before me lay Grovetown, a village of villas about five miles out of	197	Grovetown, GA, USA	Locality	City				Grovetown	Columbia County	Georgia	United States	USA	-82.20361999999994	33.452360000000056	100	
Grovetown	GPE	the scene, and treasure it for future years. Grovetown church clock struck four; looking up, I beheld	197	Grovetown, GA, USA	Locality	City				Grovetown	Columbia County	Georgia	United States	USA	-82.20361999999994	33.452360000000056	100	
Crimsworth	GPE	impossible for me to live in the same town with Crimsworth, to come into weekly contact with him, to	217	Chisworth, High Peak, Derbyshire, England, GBR	Locality	Village				High Peak	Derbyshire	England	United Kingdom	GBR	-2.014556480999943	53.424548634000075	82	
Hunsden	GPE	speech interested me much, both because it brought out Hunsden’s character, and because it explained his motives;	218	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Hunsden	GPE	-manifestation of feeling appeared at the same moment on Hunsden’s lips.	233	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Hunsden	GPE	“Indeed! Do you think so?” interrupted Hunsden, scoffingly.	255	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Brussels	GPE	what the deuce hinders you? You may get to Brussels, for instance, for five or six pounds,	261	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Brussels	GPE	way for you when you get there. I know Brussels almost as well as I know X——,	263	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
London	GPE	it would suit such a one as you better than London.”	263	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Brussels	GPE	I get recommendation, or introduction, or employment at Brussels?”	264	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Christendom	GPE	and professed that I did not envy any being in Christendom.	272	Christendom, Waterford, Kilkenny, IRL	Locality	Village				Waterford		Kilkenny	Ireland	IRL	-7.093738178999956	52.25854011900003	100	
Hunsden	GPE	“The lad is a heathen,” said Hunsden, and taking his hat from a sideboard, he	278	Hunden, Drage, Niedersachsen, DEU	Locality	District				Drage	Harburg	Niedersachsen	Deutschland	DEU	10.29532000000006	53.371480000000076	85.71	
Belgium	GPE	READER, perhaps you were never in Belgium? Haply you don’t know the physiognomy of the	280	Belgium	Locality	Country							Belgium	BEL	4.661070427000027	50.640682937000065	100	
Belgium	GPE	Third, Belgium; and I will pause before this landscape. As	282	Belgium	Locality	Country							Belgium	BEL	4.661070427000027	50.640682937000065	100	
Belgium	GPE	rate, for the present it must hang undisturbed. Belgium! name unromantic and unpoetic, yet name that whenever	282	Belgium	Locality	Country							Belgium	BEL	4.661070427000027	50.640682937000065	100	
Belgium	GPE	syllables, however sweet or classic, can produce. Belgium! I repeat the word, now as I sit	282	Belgium	Locality	Country							Belgium	BEL	4.661070427000027	50.640682937000065	100	
Belgium	GPE	This is Belgium, reader. Look! don’t call the picture	283	Belgium	Locality	Country							Belgium	BEL	4.661070427000027	50.640682937000065	100	
Brussels	GPE	February morning, and found myself on the road to Brussels, nothing could look vapid to me. My sense	283	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Brussels	GPE	my eye caught the first gleam of the lights of Brussels. I saw little of the city but its lights	284	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
London	GPE	for a night or two at a respectable inn in London while waiting for the sailing of the packet! Yet	285	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	first heard the great bell of St. Paul’s telling London it was midnight, and well do I recall the	285	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
