Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
a Convent of Brittany	GPE	though the girl was English, for it was in a Convent of Brittany that the scene took place. It did not begin	3	Impasse du Couvent, 35750, Saint-Malon-sur-Mel, Ille-et-Vilaine, Bretagne, FRA	StreetName		Impasse du Couvent	Couvent		Saint-Malon-sur-Mel	Ille-et-Vilaine	Bretagne	France	FRA	-2.0982750142450897	48.092970006676836	88.76	
dale	GPE	to the very utmost, and went over hill and dale at his side, with no idea but that of	175	Dale, IN, USA	Locality	City				Dale	Spencer County	Indiana	United States	USA	-86.98998999999998	38.16880000000003	100	
St. Francis	GPE	said Elinor. “I learned in my lessons that St. Francis, when he crossed some mountains which were very beautiful	218	St Francis, WI, USA	Locality	City				St Francis	Milwaukee County	Wisconsin	United States	USA	-87.87280999999996	42.96788000000004	100	
England	GPE	“It must be paid before it leaves England,” said Leslie. “The postman will not	248	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	as not another young girl in all the whole of England would dare to act.”	287	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	angry with me. She told me no girl in England would be so bold, especially with you.”	296	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Brittany	GPE	join her, an air sung at village weddings in Brittany, and he had never seen her laugh so cordially	366	Brittany, FRA	Locality	State or Province						Bretagne	France	FRA	-2.838018040999941	48.18041245400008	100	
Providence	GPE	said he, fondly caressing her; “then may Providence bring you and him together. If I can help	474	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Ceylon	GPE	who had just got orders to join his regiment in Ceylon, and was coming for a farewell visit to Chanson	478	Ceylon, SK, CAN	Locality	Village				Ceylon	Division No. 2	Saskatchewan	Canada	CAN	-104.60120199999994	49.45911300000006	100	
forte	GPE	out and subsiding. It was a natural piano and forte exactly suiting woods and dingles, and inspiring the ear	577	Forte, Florianópolis, Santa Catarina, BRA	Locality	District				Florianópolis		Santa Catarina	Brasil	BRA	-48.51715999999993	-27.43211999999994	100	
London	GPE	that a girl who might have her own house in London, and do what she likes—for she has	604	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Datura	GPE	come down the turret stair and out by the great Datura.”	829	Datura, Achalpur Sub-District, Amravati, Maharashtra, IND	Locality	Village				Achalpur Sub-District	Amravati	Maharashtra	India	IND	77.44566000000003	21.311190000000067	100	
Ceylon	GPE	they will now and then meet yours coming out to Ceylon.”	932	Ceylon, SK, CAN	Locality	Village				Ceylon	Division No. 2	Saskatchewan	Canada	CAN	-104.60120199999994	49.45911300000006	100	
London	GPE	property, and the young soldier to go on to London where his final preparations would be made. Leslie,	1063	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Mr. Chanson, and also get through his business in London before the time came for the sailing of the ship	1123	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
France	GPE	began, “in conveying that young lady back to France.”	1161	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Cantleton	GPE	since he had fallen down unconscious in the inn at Cantleton, and been conveyed by Mr. Chanson to his own	1197	Castleton, VT, USA	Locality	City				Castleton	Rutland County	Vermont	United States	USA	-73.17430999999993	43.61260000000004	90	
Scotland	GPE	he re‐ turned from a moor belonging to him in Scotland, and came to pay a visit at the Tower	1258	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Mendip	GPE	him for a dozen miles, and came back in Mendip’s yacht.”	1299	Mendip, St. Cuthbert Out, Mendip District, Somerset, England, GBR	Locality	Neighborhood				Mendip District	Somerset	England	United Kingdom	GBR	-2.6265999999999394	51.23720000000003	100	
England	GPE	“Before she went to England, I thought so too,” said the lady	1420	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
unenjoyed	GPE	good, and saw the mortal moments passing away, unenjoyed, and irretrievable.	1446															nothing found
