Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Providence	GPE	time which was felt to be a peculiar favour of Providence towards the landed interest, and the fall of prices	32	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
porkpies	GPE	Orchards, and they found hams and chines uncut, porkpies with the scent of the fire in them, spun	32	Porkies, 47 Front Street, Langley Park, Durham, County Durham, England, DH7 9, GBR	POI	Food and Beverage Shop	47 Front Street	Front	47	Durham	County Durham	England	United Kingdom	GBR	-1.6706499999999664	54.79930000000007	87.5	
Dunstan	GPE	their heads at the courses of the second son, Dunstan, commonly called Dunsey Cass, whose taste for swopping	33	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	Dunstan was moving off, but Godfrey rushed after him and	43	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	there was no pleasure left. The utmost concession to Dunstan about the horse began to seem easy, compared with	57	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	recommence the conversation otherwise than by continuing the quarrel. Dunstan was waiting for this, and took his ale in	57	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	"""Ay, ay,"" said Dunstan, very placably, ""you do me justice,"	59	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	some moments. He would have liked to spring on Dunstan, wrench the whip from his hand, and flog	62	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	With that, Dunstan slammed the door behind him, and left Godfrey to	69	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	was partly due to a trap laid for him by Dunstan, who saw in his brother's degrading marriage the	70	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	strong enough to have persuaded him to trust Wildfire to Dunstan rather than disappoint the yearning, even if he had	71	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	water high up in the deserted quarry. That was Dunstan's first thought as he approached it; the second	73	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	preferred that Master Godfrey should be vexed. Moreover, Dunstan enjoyed the self-important consciousness of having a horse	73	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	Bryce and Keating were there, as Dunstan was quite sure they would be—he was such	74	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	Bryce of course divined that Dunstan wanted to sell the horse, and Dunstan knew that	79	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	divined that Dunstan wanted to sell the horse, and Dunstan knew that he divined it (horse-dealing is	79	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	take the fences to the admiration of the field. Dunstan, however, took one fence too many, and	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	, and painfully panted his last. It happened that Dunstan, a short time before, having had to get	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	the line of road in which Wildfire had fallen. Dunstan, whose nature it was to care more for immediate	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	advantage, why, he wouldn't kick long: Dunstan felt sure he could worry Godfrey into anything. The	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	bewildering dreamy sense of unwontedness in his position; and Dunstan, as he went along through the gathering mist,	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	of his money for the sake of receiving interest. Dunstan felt as if there must be a little frightening added	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	: the weaver had possibly got a lantern, and Dunstan was tired of feeling his way. He was still	81	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
Dunstan	GPE	this stage of preparation, and his door unfastened? Dunstan's own recent difficulty in making his way suggested to	82	Dunstan, Northumberland, England, GBR	Locality	Village				Dunstan	Northumberland	England	United Kingdom	GBR	-1.6071109409999735	55.47307041100004	100	
