Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Essex	GPE	not elsewhere to be met with throughout the county of Essex. Of course, in such a house there were	5	Essex, England, GBR	Locality	Zone						England	United Kingdom	GBR	0.5744900000000257	51.78449000000006	100	
London	GPE	, had inserted in The Times. She came from London; and the only reference she gave was to a	9	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Brompton	GPE	she gave was to a lady at a school at Brompton, where she had once been a teacher. But	9	Brompton, Kent, England, GBR	Locality	District				Brompton	Kent	England	United Kingdom	GBR	0.5362992690000397	51.391561558000035	100	
Creswick	GPE	sonatas by Beethoven, and to paint from nature after Creswick, and walked through a dull, out-of	9	Creswick, Victoria, AUS	Locality	City				Creswick		Victoria	Australia	AUS	143.89494000000002	-37.422379999999976	100	
Sydney	GPE	ship Argus, laden with Australian wool and sailing from Sydney to Liverpool.	54	Sydney, New South Wales, AUS	Locality	City				Sydney		New South Wales	Australia	AUS	151.2069100000001	-33.869599999999934	100	
Liverpool	GPE	, laden with Australian wool and sailing from Sydney to Liverpool.	54	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
England	GPE	of a wealthy Australian wine-merchant, invoiced to England to finish her education, and George Talboys, were	55	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	came to be within about a fortnight's sail of England everybody noticed a change in George Talboys. He grew	58	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	"""But is there no one you love in England? Is there no one you love looking out for"	69	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Sydney	GPE	pretty girl, Mr. Talboys, when I sailed for Sydney, fifteen years ago; or he may be so	80	Sydney, New South Wales, AUS	Locality	City				Sydney		New South Wales	Australia	AUS	151.2069100000001	-33.869599999999934	100	
Mersey	GPE	and died an hour before our vessel anchors in the Mersey. I think of all these things, Mr. Talboys	80	Mersey, England, GBR	POI	Stream						England	United Kingdom	GBR	-3.033329999999978	53.450000000000045	100	
England	GPE	"much as if I knew that I was going to England to attend a funeral."""	82	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	my terrors should terrify you. I am going to England to rejoin a man to whom I was engaged to	85	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	long, but things have gone badly with him in England. That is my story, and you can understand	85	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	years and a half this very month since I left England. What can have happened in such a short time	86	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Italy	GPE	to drop into something. I took my darling to Italy, and we lived there in splendid style as long	91	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
