Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	"lad into the chrysalis condition of a medical student in London. ""But,"" with sudden reflection, """	56	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	shortly. What a jolly life I'll have in London, Aunt Hilary! I'll see Mr. Lyon there	61	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Ayrshire	GPE	, whom he scarcely remembered, had been a small Ayrshire farmer; his mother was dead, and he had	65	Ayrshire, IA, USA	Locality	City				Ayrshire	Palo Alto County	Iowa	United States	USA	-94.83581999999996	43.038940000000025	100	
London	GPE	Nor was it unnatural that all Ascott's anticipations of London resolved themselves, in his aunt's eyes, into	70	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	was only the common set, and not the cherished china belonging to former days: still she did it,	72	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Providence	GPE	it was, on the whole, a mercy of Providence, which made Selina not the mother of children.	108	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Miranda	GPE	to own the allegiance, humble yet proud, of Miranda to Ferdinand:	142	Miranda, Falcón, VEN	Locality	City					Miranda	Falcón	Venezuela	VEN	-69.70265999999998	11.398900000000026	100	
London	GPE	The Christmas holidays ended, and Ascott left for London. It was the greatest household change the Misses Leaf	166	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Thames	GPE	mannered, and though not clever enough to set the Thames on fire, still sufficiently bright to make them hope	166	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
forte	GPE	"him up and comfort him, quite motherly. Her forte is certainly children."""	202	Forte, Florianópolis, Santa Catarina, BRA	Locality	District				Florianópolis		Santa Catarina	Brasil	BRA	-48.51715999999993	-27.43211999999994	100	
Birmingham	GPE	to write to her husband as is at work at Birmingham, and I said I would. I'd learned	314	Birmingham, West Midlands, England, GBR	Locality	City				Birmingham	West Midlands	England	United Kingdom	GBR	-1.902935748999937	52.479298949000054	100	
London	GPE	on the wall throwing stones. After he left for London there was Elizabeth to be thought of; and they	329	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	"Hilary resumed by-and-by, ""when England was very different from what it is now, English"	349	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	It was his first visit since he had gone to London: Mr. Ascott, he said, objected to holidays	378	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Lyon	GPE	enough to stand it from a man; but then Lyon's a real sharp fellow, who knows the world	389	Lyon, Rhône, Auvergne-Rhône-Alpes, FRA	Locality	City				Lyon	Rhône	Auvergne-Rhône-Alpes	France	FRA	4.83008140000004	45.76950679000004	100	
London	GPE	in his anger betrayed, he had beside him in London a monitor whose preaching would be so much wiser and	390	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"nobody asks any questions. That's the good of London life, Aunt Hilary,"" said the young fellow"	393	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"nobody would ask any questions."" This phase of London life let a new light in upon her mind."	394	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Lyon	GPE	"am an old friend of theirs. My name is Lyon."""	406	Lyon, Rhône, Auvergne-Rhône-Alpes, FRA	Locality	City				Lyon	Rhône	Auvergne-Rhône-Alpes	France	FRA	4.83008140000004	45.76950679000004	100	
Almaschar	GPE	"."" muttered Elizabeth, in the excitement of this Almaschar vision, relapsing into her old provincialisms. ""So"	422	Almáchar, Málaga, Andalucía, ESP	Locality	City				Almáchar	Málaga	Andalucía	España	ESP	-4.217719999999929	36.80869000000007	90	
England	GPE	two last days at Stowbury — almost his last in England. Within a week he was to sail for India	430	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
India	GPE	England. Within a week he was to sail for India.	430	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Liverpool	GPE	this end. The young man's father — a Liverpool and Bombay merchant — made him an offer to go	431	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
Bombay	GPE	. The young man's father — a Liverpool and Bombay merchant — made him an offer to go out there	431	Bombay, Mumbai, Maharashtra, IND	Locality	City				Mumbai	Mumbai	Maharashtra	India	IND	72.83484000000004	18.940180000000055	100	
Bombay	GPE	third year to become a junior partner; remaining at Bombay in that capacity for two years more.	431	Bombay, Mumbai, Maharashtra, IND	Locality	City				Mumbai	Mumbai	Maharashtra	India	IND	72.83484000000004	18.940180000000055	100	
Bombay	GPE	habits I have as good a chance of health at Bombay as in London — perhaps better. And the years	448	Bombay, Mumbai, Maharashtra, IND	Locality	City				Mumbai	Mumbai	Maharashtra	India	IND	72.83484000000004	18.940180000000055	100	
London	GPE	as good a chance of health at Bombay as in London — perhaps better. And the years I must be	448	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	"""No. This will be my last Sunday in England. Good-by!"""	470	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	have done nothing wicked. And you don't know London; you don't know, with a lot of	482	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"brightened up at the word. ""Where to — London? Oh, I have so longed to go and"	515	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	, I have so longed to go and live in London! But I thought you would not like it,	515	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
India	GPE	good man's tender keeping; those unfailing letters from India seemed to prophecy that it would. But no one	517	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
London	GPE	instead of returning to Stowbury, he should settle in London as a surgeon and general practitioner? His education complete	521	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	themselves that they had left the lad so long in London — so long out of the influence that might have	526	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
