Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	enlarged experience I infer that we must have posted to London. Here, among many marvels, I remember especially	2	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	were a medical man, a shoemaker, and two London policemen. The servants said that, between one and	12	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	more attention to the page (a sharp youth from London), who, being first in the main corridor	13	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Gloucestershire	GPE	the house, which stood in a beautiful part of Gloucestershire. The entire rental was about 12,000*l.* a	20	Gloucestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-2.1831099999999424	51.77959000000004	100	
Devonshire	GPE	farm near the sea, in a lonely part of Devonshire; but this was my mother's, having been	20	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
London	GPE	Vaughan Park. He was said to have hurried from London, upon learning there what had happened.	22	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Gloucester	GPE	or any one else, to follow me. The Gloucester physician said that since the disease of my mind had	23	Gloucester, Gloucestershire, England, GBR	Locality	City				Gloucester	Gloucestershire	England	United Kingdom	GBR	-2.2469311749999292	51.86455770200007	100	
Providence	GPE	my good, on that account I am, under Providence, better qualified to advise you, in your dark	82	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
England	GPE	know not how it may be in the east of England, but I have observed that in the west long	107	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Bologna	GPE	"it to be of foreign fabric. ""Ferrati, Bologna,"" the name and abode of the maker,"	122	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
