Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Avonmouth	GPE	this moment we are established as the maiden sisters of Avonmouth, husband and wife to one another, as maiden	10	Avonmouth, Bristol, England, GBR	Locality	District				Avonmouth	Bristol	England	United Kingdom	GBR	-2.6988996199999633	51.50073071700007	100	
England	GPE	in various commands in the colonies, without returning to England; and all that was known of her was a	42	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Avonchester	GPE	, and the train which would bring the travellers to Avonchester. The Homestead carriage was sent to meet them,	47	Anchester, Queensland, AUS	POI	House					Ipswich	Queensland	Australia	AUS	152.6347300000001	-27.646099999999933	84	
Britomart	GPE	almost beseeching protection, and Rachel’s heart throbbed with Britomart’s devotion to her Amoret.	55	Britomart, Commerce St, Auckland Central, Auckland, 1010, NZL	POI	Shopping Center	Commerce St	Commerce		Auckland			New Zealand	NZL	174.76821000000007	-36.84441999999996	100	
Avonmouth	GPE	,” and every word between them showed how fondly Avonmouth had been remembered far away.	63	Avonmouth, Bristol, England, GBR	Locality	District				Avonmouth	Bristol	England	United Kingdom	GBR	-2.6988996199999633	51.50073071700007	100	
England	GPE	“I know no place in England so well; it is quite a home to me	93	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Avonmouth	GPE	“Avonmouth! Grace, do you hear what heresy Fanny has	120	Avonmouth, Bristol, England, GBR	Locality	District				Avonmouth	Bristol	England	United Kingdom	GBR	-2.6988996199999633	51.50073071700007	100	
Avonmouth	GPE	and rather scared, “there is no place like Avonmouth, and I am sure the Major will think so	121	Avonmouth, Bristol, England, GBR	Locality	District				Avonmouth	Bristol	England	United Kingdom	GBR	-2.6988996199999633	51.50073071700007	100	
Melbourne	GPE	, would only talk of the much greater extent of Melbourne.	127	Melbourne, Victoria, AUS	Locality	City				Melbourne		Victoria	Australia	AUS	144.96751000000006	-37.81738999999993	100	
Melbourne	GPE	an ungracious shiver. “I shall go home to Melbourne when I’m a man.”	130	Melbourne, Victoria, AUS	Locality	City				Melbourne		Victoria	Australia	AUS	144.96751000000006	-37.81738999999993	100	
London	GPE	poor boys. I wanted the Major to inquire in London, but he said perhaps I might hear of some	165	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Touchettomania	GPE	” exclaimed Rachel. “A regular eruption of the Touchettomania. We have had him already advertising her.”	170															nothing found
London	GPE	leave her sister, or even to remove her to London, on account of her health.”	178	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Avonmouth	GPE	or Fanny will not understand the state of parties at Avonmouth.”	192	Avonmouth, Bristol, England, GBR	Locality	District				Avonmouth	Bristol	England	United Kingdom	GBR	-2.6988996199999633	51.50073071700007	100	
Madeira	GPE	health with a curate. But first he went to Madeira, and then he died, and there we are	196	Madeira, São Roque, Funchal, Madeira, PRT	POI	Island				Funchal	Funchal	Madeira	Portugal	PRT	-16.921829999999943	32.65871000000004	100	
Providence	GPE	and Fanny was soothed with hearing instances of the special Providence over orphaned sons, and their love and deference for	208	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
London	GPE	was executor to the will, and had gone to London to “see about it,” by which word	209	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Scotland	GPE	result; but she believed he would first go to Scotland to see his brother. He and his brother were	211	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Edgeworth	GPE	“This reminds me of an interesting article on the Edgeworth system of education in the ‘Traveller’s Review.	360	Edgeworth, New South Wales, AUS	Locality	City				Edgeworth		New South Wales	Australia	AUS	151.61288000000002	-32.92361999999997	100	
