Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Carlingford	GPE	, there were in the world, and even in Carlingford, kind women, who would not have objected to	16	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Carlingford	GPE	of sense; and as that functionary was known in Carlingford to be utterly regardless and unprincipled in respect to gravy	16	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Carlingford	GPE	in this respect at least. When rumours arose in Carlingford of a possible second marriage for the Doctor—and	16	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Carlingford	GPE	not be denied Miss Marjoribanks's advent was regarded in Carlingford with as much interest and curiosity as she could have	16	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Carlingford	GPE	return home, and that was to revolutionise society in Carlingford. On the whole, she was pleased with the	17	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Carlingford	GPE	as were attributed to her by the expectant audience in Carlingford. On the contrary, she was quite as much	17	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
London	GPE	there was a great difference between the brilliant society of London, or of Paris, which appears in books,	17	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	difference between the brilliant society of London, or of Paris, which appears in books, where women have generally	17	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Carlingford	GPE	great attraction to a man, and that, in Carlingford at least, when these refractory mortals were secured,	17	Carlingford, New South Wales, AUS	Locality	Neighborhood					Parramatta	New South Wales	Australia	AUS	151.04888000000005	-33.782689999999945	100	
Switzerland	GPE	her future conversation of the experiences to be acquired in Switzerland and Italy. But she rejected with scorn the insinuation	17	Switzerland	Locality	Country							Switzerland	CHE	8.245024096000066	46.79981744200006	100	
Italy	GPE	conversation of the experiences to be acquired in Switzerland and Italy. But she rejected with scorn the insinuation of other	17	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Italy	GPE	if it would improve my voice to take lessons in Italy. Did I ever tell you of the Italian nobleman	19	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
