Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
the City of Westminster	GPE	were living at Number Five, Rosemary Street, in the City of Westminster. The being then and there brought into the world	1	City of Westminster, Greater London, England, GBR	Locality	City				City of Westminster	Greater London	England	United Kingdom	GBR	-0.12611782599992694	51.500989265000044	99.95	
St. John's	GPE	appropriate. Ginx had been married to Betsy Hicks at St. John's, Westminster, on the twenty-fifth day of	1	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Westminster	GPE	been married to Betsy Hicks at St. John's, Westminster, on the twenty-fifth day of October,	1	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
Westminster	GPE	penetrated to Dean's Yard and the ancient school of Westminster. The Dean, who accepted nothing on trust,	2	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
England	GPE	. But when they exist, as they exist in England to-day, in hundreds of thousands, in	14	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
France	GPE	They lead to lust and crime;—I'm told they do in France. If you yourself haven't the human natur in	73	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
St. Michael	GPE	testimony to little Ginx's value. The devil and St. Michael were contending for his body. At length he was	138	Saint Michael, Bridgetown District, BRB	Locality	City				Saint Michael		Bridgetown District	Barbados	BRB	-59.61141999999995	13.105320000000063	100	
the United Kingdom	GPE	Roman nose. He could scent a priest anywhere in the United Kingdom. He could smell Jesuitry in the Queen's drawing	139	The, South Street, Bourne, Lincolnshire, England, PE10 9, GBR	POI	Bar or Pub	South Street	South		Bourne	Lincolnshire	England	United Kingdom	GBR	-0.37700999999992746	52.76737000000003	100	
Westminster	GPE	Mr. Dignam Bailey, Q. C., went down to Westminster, to move the Court of Queen's Bench,	176	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
the Virgin Mary	GPE	religion, the Pope, the Archbishop of Westminster, the Virgin Mary. The Court knew, and every one else knew	179	Virgin Mary's, 1136 Commercial Dr, Vancouver, BC, V5L 3X2, CAN	POI	Clothing Store	1136 Commercial Dr	Commercial	1136	Vancouver	Greater Vancouver	British Columbia	Canada	CAN	-123.06922899999995	49.27431800000005	92.13	
the Kingdom of Heaven	GPE	to be done, as his friend had urged, the Kingdom of Heaven in England would rush to its fall.”	179	Kingdom of Heaven, Moniya Rd, Akinyele, Oyo, NGA	POI	Church	Moniya Rd	Moniya		Akinyele		Oyo	Nigeria	NGA	3.8546000000000618	7.623530000000073	99.95	
England	GPE	his friend had urged, the Kingdom of Heaven in England would rush to its fall.”	179	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Rome	GPE	Catholic Church, owing allegiance to the Holy Father at Rome, a bond from which only the Papal excommunication can	185	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Baptist	GPE	Bereciah Calvin, Presbyterian, the Rev. Ezekiel Cutwater, Baptist, calling to the chair.	197	Baptist, LA, USA	Locality	Village				Baptist	Tangipahoa Parish	Louisiana	United States	USA	-90.53440999999998	30.504360000000077	100	
Metropolitan	GPE	, “That the subject should be treated in the Metropolitan pulpits on the next Sabbath, and a collection taken	207	Metropolitan, New York, NY, USA	POI	Museum				New York	New York County	New York	United States	USA	-73.96291999999994	40.77955000000003	100	
Westminster Abbey	GPE	committee ought at once to have the child baptized in Westminster Abbey, though he was rather of opinion that the previous	225	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100	
St. John	GPE	did. How he would have lived if Daniel and St. John had dreamed no dreams, one cannot conjecture.	232	Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Israel	GPE	into enough pieces to send to all the tribes of Israel, summoning them to the fight. I say we	235	Israel	Locality	Country							Israel	ISR	34.97921769200008	31.97771151200004	100	
M.A.	GPE	The Rev. Theodoret Verity, M.A., rose in anger.	236	Miguel Aldama, Españita, Tlaxcala, MEX	Locality	City				Miguel Aldama	Españita	Tlaxcala	México	MEX	-98.39239999999995	19.472450000000038	100	
St. Simon Magus	GPE	knew to be the boundary between his own parish of St. Simon Magus and the adjacent parish of St. Bartimeus. He took	245	Saint-Simon, 15 Rue de la Cloche-Verte, 16000, Angoulême, Charente, Nouvelle-Aquitaine, FRA	POI	Hotel	15 Rue de la Cloche-Verte	Cloche-Verte	15	Angoulême	Charente	Nouvelle-Aquitaine	France	FRA	0.15635000000003174	45.649290000000065	95.83	
Starvashun	GPE	by name, but got by Misery out o' Starvashun. The line began with Poverty out o' Laziness	271	Starwash, Yosef Nevo, Herzliya, ISR	POI	Auto Maintenance	Yosef Nevo	Yosef Nevo		Herzliya			Israel	ISR	34.82311000000004	32.16447000000005	82	
St. Simon Magus	GPE	own cheesemonger) found the child beyond the boundaries of St. Simon Magus—and he will of course swear that he did	278	Saint-Simon, 15 Rue de la Cloche-Verte, 16000, Angoulême, Charente, Nouvelle-Aquitaine, FRA	POI	Hotel	15 Rue de la Cloche-Verte	Cloche-Verte	15	Angoulême	Charente	Nouvelle-Aquitaine	France	FRA	0.15635000000003174	45.649290000000065	95.83	
Parish	GPE	have you or the said infant chargeable on the said Parish. And this is to notify that you, the	285	Parish, Azul, Buenos Aires, ARG	Locality	City				Parish	Azul	Buenos Aires	Argentina	ARG	-59.63286999999997	-36.51902999999993	100	
St. Bartimeus	GPE	the infant, was when discovered in the parish of St. Bartimeus, the latter was clearly chargeable. Both parties then	287	Sant Bartomeu, Carrer Sant Bartomeu 9, 08172, Sant Cugat del Vallès, Barcelona, Catalunya, ESP	POI	Spanish Food	Carrer Sant Bartomeu 9	Sant Bartomeu	9	Sant Cugat del Vallès	Barcelona	Catalunya	Espanya	ESP	2.0831900000000587	41.47371000000004	85.67	
St. Bartimeus	GPE	affirming that Ginx's Baby's parish was that of St. Bartimeus, and refused the rule for a mandamus.	304	Sant Bartomeu, Carrer Sant Bartomeu 9, 08172, Sant Cugat del Vallès, Barcelona, Catalunya, ESP	POI	Spanish Food	Carrer Sant Bartomeu 9	Sant Bartomeu	9	Sant Cugat del Vallès	Barcelona	Catalunya	Espanya	ESP	2.0831900000000587	41.47371000000004	85.67	
England	GPE	them by so superior a force as the law of England the Ginxes hastened their departure.	323	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	Their last night in London, towards the small hours, Ginx, carrying our	324	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. James's	GPE	cry, Ginx instantly crossed the road, turned into St. James's Square, passed by the rails, and stealing from	325	St James's, City of Westminster, Greater London, England, GBR	Locality	District				City of Westminster	Greater London	England	United Kingdom	GBR	-0.13831404699993755	51.50789205900003	100	
Piccadilly	GPE	mazes of that locality, reached home by way of Piccadilly and Grosvenor Place. Henceforth this history shall know him	325	Piccadilly, Rotherham, South Yorkshire, England, GBR	Locality	District				Rotherham	South Yorkshire	England	United Kingdom	GBR	-1.3196892569999363	53.478642713000056	100	
the British Empire	GPE	have been very ridiculous. He was an unit of the British Empire—nothing could blot out that fact before heaven!	335	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	99.95	
the United States	GPE	? Not to strengthen and develop our colonies, but the United States—a not always friendly people, and just now	378	The, 9000 Ming Ave, Bakersfield, CA, 93311, USA	POI	Footwear	9000 Ming Ave	Ming	9000	Bakersfield	Kern County	California	United States	USA	-119.10482399999995	35.34170400000005	100	
St. Helena	GPE	had put forth a scheme for the solution of the St. Helena property question—very likely a good one, albeit	385	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
St. Helena	GPE	any other could succeed. He wished every man in St. Helena—a turbulent adjunct of the British Empire—to	385	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
the British Empire	GPE	every man in St. Helena—a turbulent adjunct of the British Empire—to be a landowner, and I do think	385	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	99.95	
St. Helena	GPE	remedies, and to prove that if every man in St. Helena became a landowner it would become a very hell upon	385	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
St. Helena	GPE	the sake of a settlement, what will become of St. Helena?	385	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
England	GPE	the benefit of Ginx's Baby and the people of England. Sir Charles listened impatiently, and at last burst	386	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Namby—“a	GPE	A paternal and maternal government together!” cries Lord Namby—“a government of nurses. You know I should like to	400															nothing found
Constantinople	GPE	eyes to settle a dispute between two extravagant fools at Constantinople and Cairo, and quicken the sluggishness of Turkish consols	405	Constantinople, Istanbul, TUR	Locality	City				Byzantium		Istanbul	Republic of Turkiye	TUR	28.94966000000005	41.01384000000007	100	
Cairo	GPE	settle a dispute between two extravagant fools at Constantinople and Cairo, and quicken the sluggishness of Turkish consols or Egyptian	405	Cairo, EGY	Locality	City					Cairo	Cairo	Arab Republic of Egypt	EGY	31.235250000000065	30.04427000000004	100	
Canada	GPE	, but his parents were then half-way to Canada.	406	Canada	Locality	Country							Canada	CAN	-113.64257999999995	60.108670000000075	100	
St. Helena	GPE	There was the St. Helena question always brooding over Parliament. St. Helena was a	411	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
St. Helena	GPE	was the St. Helena question always brooding over Parliament. St. Helena was a constituent part of the British Empire. Every	411	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
the British Empire	GPE	over Parliament. St. Helena was a constituent part of the British Empire. Every patriot agreed that the Empire without it would	411	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	99.95	
Providence	GPE	. Before any one else had been given them by Providence to fight, they slaughtered and ravaged one another.	411	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
St. Helena	GPE	suffer oblivion. Everybody was tired of the squabbles of St. Helena. At length there was a general movement in the	411	St Helena	Locality	Country							Saint Helena, Ascension and Tristan da Cunha	SHN	-5.707392691999928	-15.96527132999995	100	
Richmond	GPE	Mall, one dim midnight, I, returning from Richmond, lounged over Vauxhall Bridge, listening to the low	417	Richmond, CA, USA	Locality	City				Richmond	Contra Costa County	California	United States	USA	-122.34292999999997	37.93784000000005	100	
