Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
St. Paul	GPE	“So Festus said to St. Paul, sir; but he was not mad, nor	40	St Paul, MN, USA	Locality	City				St Paul	Ramsey County	Minnesota	United States	USA	-93.09647999999999	44.94339000000008	100	
whisht	GPE	Camelford is full five miles away, across a wild whisht country that does not invite much night walking. To	51	Whisht, 49 Brixton Station Road, London, England, SW9 8, GBR	POI	British Isles Food	49 Brixton Station Road	Brixton Station	49	London	London	England	United Kingdom	GBR	-0.11244999999996708	51.46321000000006	100	
London	GPE	, and Joshua had an offer to go up to London to follow his trade at a large house in the	52	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Cornwall	GPE	find in a by-kind of coast hamlet in Cornwall, he was worse than useless. He had no	55	Cornwall, ON, CAN	Locality	City				Cornwall	Stormont, Dundas and Glengarry United Counties	Ontario	Canada	CAN	-74.73068699999999	45.02095200000008	100	
Gentiles	GPE	not good enough for you?—the light that has lightened the Gentiles these eighteen hundred years and more not pure enough for	62	Gentiles, Papantla, Veracruz-Llave, MEX	Locality	City				Gentiles	Papantla	Veracruz-Llave	México	MEX	-97.16916999999995	20.177220000000034	100	
London	GPE	The night before we left for London Joshua had a kind of vision or waking dream,	82	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Launceston	GPE	he told me as we were on our way to Launceston, walking up the hill from Boscastle, while the	82	Launceston, Tasmania, AUS	Locality	City				Launceston		Tasmania	Australia	AUS	147.13767000000007	-41.43579999999997	100	
Boscastle	GPE	our way to Launceston, walking up the hill from Boscastle, while the omnibus toiled after us. He was	82	Boscastle, Cornwall, England, GBR	Locality	Village				Boscastle	Cornwall	England	United Kingdom	GBR	-4.691072771999927	50.684055440000066	100	
Long Island	GPE	toiled after us. He was on the cliff by Long Island, when suddenly he seemed to be caught away to	82	Long Island, BHS	Locality	State or Province						Long Island	Bahamas	BHS	-75.08700499999998	23.112499600000035	100	
London	GPE	IN London a new view of life opened to Joshua altogether.	92	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	spiritual needs, still was intercourse and knowledge. In London there was none; or so little in proportion to	93	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. Vincent de Paul	GPE	should get something of the kind in such institutions as St. Vincent de Paul and the like, but I should have there so	98	Saint-Vincent-de-Paul, Landes, Nouvelle-Aquitaine, FRA	Locality	City				Saint-Vincent-de-Paul	Landes	Nouvelle-Aquitaine	France	FRA	-1.0001763079999364	43.74184650500007	100	
Rome	GPE	the people. Why do you not go over to Rome at once, sir, since your commission is self	102	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
London	GPE	cubic inches were gold, as indeed they are to London house-owners, if human life is but dross	119	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Scotland	GPE	see it. They do not understand practical Christianity in Scotland-yard, save as a generous kind of fad	153	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
London	GPE	found ourselves next thing to penniless in the wilds of London.	153	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
girl!—said	GPE	like an angel—for indeed she was a pretty girl!—said, “If I have to starve, Joshua,	155															nothing found
London	GPE	him, and some new friends he had made in London, swore we would never desert him, but would	158	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Italy	GPE	Mary's friend, the artist, had gone to Italy for some months, and she had no other patron	163	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
London	GPE	maid in a family living at a little distance from London, where, as the lady said, she had	206	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	of the abyss? Things have gone too far in England now for private charities to be of much use.	218	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
