Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Paris	GPE	bright day in the early spring of 1869. All Paris seemed to have turned out to enjoy itself. The	0	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Lavater	GPE	character of their formation, which was that assigned by Lavater to temperaments easily moved to gayety and pleasure.	3	Lavateri, Baguia, Distrito Baucau, TLS	Locality	City				Lavateri	Baguia	Distrito Baucau	Timor Leste	TLS	126.65490000000011	-8.55962999999997	87.5	
Paris	GPE	altered: of course I AM; ten years of Paris would improve an orang-outang.” Quickening his	4	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	good fortune! So you, too, are at Paris?”	8	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	. I have a list of all the heiresses at Paris, bound in russia leather. You may take your	20	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
russia	GPE	list of all the heiresses at Paris, bound in russia leather. You may take your choice out of twenty	20	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Paris	GPE	day for a month. A Rochebriant just new to Paris must be ‘fete’ by all the Faubourg.	20	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Faubourg	GPE	own set, though it is not that of the Faubourg. Where shall we dine?—at the Trois Freres?”	22	Faubourg, LA, USA	Locality	Village				Faubourg	St. Landry Parish	Louisiana	United States	USA	-92.16916999999995	30.714980000000025	100	
Paris	GPE	“Wherever you please. I know no restaurant at Paris, except a very ignoble one, close by my	23	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	’ll find them for you. I will write to London to-morrow: Reese [Rice] is your	26	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Bretagne	GPE	heard that the Rochebriants were among the greatest proprietors in Bretagne. Most likely, with all his innocence of the	28	Bretagne, FRA	Locality	State or Province						Bretagne	France	FRA	-2.838018040999941	48.18041245400008	100	
Paris	GPE	that I have reasons you will approve for leading at Paris a life which you certainly will not envy;”	29	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	livelier tone, “But what a marvellous city this Paris of ours is! Remember I had never seen it	29	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	and a pang of conscience—is certainly not the Paris of former times, but that Paris which M. Buonaparte	29	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	certainly not the Paris of former times, but that Paris which M. Buonaparte—I beg pardon, which the	29	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	with his reign. It is what is new in Paris that strikes and enthrals me. Here I see the	29	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
France	GPE	and enthrals me. Here I see the life of France, and I belong to her tombs!”	29	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Empire	GPE	fair field of living ambition open to you under the Empire, you never were more mistaken. ‘Moyen age	30	Empire, CA, USA	Locality	City				Empire	Stanislaus County	California	United States	USA	-120.89932999999996	37.637920000000065	100	
Paris	GPE	he replied curtly, “The clothes I wear at Paris were made in Bretagne; and if the name of	31	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Bretagne	GPE	“The clothes I wear at Paris were made in Bretagne; and if the name of Rochebriant be of any	31	Bretagne, FRA	Locality	State or Province						Bretagne	France	FRA	-2.838018040999941	48.18041245400008	100	
Paris	GPE	name of Rochebriant be of any value at all in Paris, which I doubt, let me trust that it	31	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	eccentric. Alas! I am obliged to send to London for my pantaloons: that comes of being a Lemercier	32	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	,” returned Rochebriant. “He had not visited Paris for many years before he died.”	46	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	“It was in London I met him, at the house of the Russian	47	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
au quatrieme	GPE	years ago he lived in a single chamber, ‘au quatrieme,’ near the Luxembourg. He has now a	55	Le Quatrième, 2 Rue de Saint-Ouen, 35460, Saint-Brice-en-Coglès, Maen Roch, Ille-et-Vilaine, Bretagne, FRA	POI	Creperie	2 Rue de Saint-Ouen	Saint-Ouen	2	Maen Roch	Ille-et-Vilaine	Bretagne	France	FRA	-1.365259999999978	48.41168000000005	87.43	
Luxembourg	GPE	single chamber, ‘au quatrieme,’ near the Luxembourg. He has now a hotel, not large but	55	Luxembourg	Locality	Country							Luxembourg	LUX	6.092325247000076	49.776828429000034	100	
Paris	GPE	here. Such cigars are not to be had at Paris for money, nor even for love; seeing that	57	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Faubourg	GPE	entertainments at which it would do you harm in the Faubourg to assist,—at least until you have made good your position	59	Faubourg, LA, USA	Locality	Village				Faubourg	St. Landry Parish	Louisiana	United States	USA	-92.16916999999995	30.714980000000025	100	
Tres	GPE	“I congratulate you. ‘Tres grande dame.’ She will launch you in ‘	61	Tres, Predaia, Trento, ITA	Locality	District				Predaia	Trento	Trentino-Alto Adige	Italia	ITA	11.096020000000067	46.321740000000034	100	
Sevres	GPE	the exquisite skill of Mombro; costly specimens of old Sevres and Limoges; pictures and bronzes and marble statuettes,—all well	69	Sèvres, Hauts-de-Seine, Île-de-France, FRA	Locality	City				Sèvres	Hauts-de-Seine	Île-de-France	France	FRA	2.2126457390000382	48.82473581800008	100	
Limoges	GPE	skill of Mombro; costly specimens of old Sevres and Limoges; pictures and bronzes and marble statuettes,—all well chosen and	69	Limoges, Haute-Vienne, Nouvelle-Aquitaine, FRA	Locality	City				Limoges	Haute-Vienne	Nouvelle-Aquitaine	France	FRA	1.260531636000053	45.826337539000065	100	
Paris	GPE	expected you back in vain. Have you been at Paris ever since?”	72	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	an heir should acquire his finishing education under masters at Paris. Long before I was of age, I was	73	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
politer	GPE	before I was of age, I was initiated into politer mysteries of our capital than those celebrated by Eugene Sue	73	Polinter, Rua Celso Magalhães 139, São Luís, Maranhão, 65020-130, BRA	POI	Police Station	Rua Celso Magalhães 139	Celso Magalhães	139	São Luís		Maranhão	Brasil	BRA	-44.29285999999996	-2.528629999999964	87.5	
Ems	GPE	I remember as an acquaintance of my own father at Ems. It is many years ago; I was but	80	EMS, Rheinland-Pfalz, DEU	Locality	County					Rhein-Lahn-Kreis	Rheinland-Pfalz	Deutschland	DEU	7.844131029000039	50.26400166600007	100	
Ems	GPE	hear that my father was among those who flocked to Ems to do homage to the royal personage who deigns to	81	EMS, Rheinland-Pfalz, DEU	Locality	County					Rhein-Lahn-Kreis	Rheinland-Pfalz	Deutschland	DEU	7.844131029000039	50.26400166600007	100	
Paris	GPE	The first loyal ‘gentilhome’ I have met at Paris,” thought the Legitimist; “and, oh	84	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	, said to that gentleman “You who know your Paris by heart—everybody and everything therein worth the knowing	84	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
dress,—a	GPE	the hour of three. She wears always the same dress,—a kind of gray pearl-coloured silk, with a	84	Dressta, Красноярск, Красноярский край, 660079, RUS	POI	Home Improvement Store				Красноярск	Красноярск	Красноярский край	Russian Federation	RUS	92.92316000000005	55.987040000000036	84.71	
Paris	GPE	a name less common? Duval! every street in Paris has a shop-door over which is inscribed the	98	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	is my address. You are the only man in Paris to whom I shall be at home. Au revoir	103	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Rochebriant	GPE	wife were Bretons; they came from the village of Rochebriant; they had known Alain’s parents in their young	104	Brian Roche, 24 Dame Street, Dublin 2, Dublin, IRL	POI	International Food	24 Dame Street	Dame	24	Dublin		Dublin	Ireland	IRL	-6.2642399999999725	53.34414000000004	80.73	
Paris	GPE	to that sharp biting cold which is more trying in Paris than even in London.	104	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
London	GPE	cold which is more trying in Paris than even in London.	104	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Paris	GPE	. ‘Entre nous,’ my dear friend, Paris is very dear when one sets one’s foot out	107	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Rochebriant	GPE	“A dot suitable to the ruins of Rochebriant would not suffice to repair them, Marthe: give	109	Brian Roche, 24 Dame Street, Dublin 2, Dublin, IRL	POI	International Food	24 Dame Street	Dame	24	Dublin		Dublin	Ireland	IRL	-6.2642399999999725	53.34414000000004	80.73	
France	GPE	estates were large beyond those of most nobles in modern France, his destined heritage seemed not unsuitable to his illustrious	112	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
France	GPE	but twice after leaving college. That brilliant seigneur visited France but rarely, for very brief intervals, residing wholly	113	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
France	GPE	visited her own country and obstinately refused to reside in France. She was fond of travel, and moved yearly	114	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
London	GPE	She was fond of travel, and moved yearly from London to Naples, Naples to Vienna, Berlin, Madrid	114	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Naples	GPE	fond of travel, and moved yearly from London to Naples, Naples to Vienna, Berlin, Madrid, Seville	114	Naples, ITA	Locality	City				Naples	Naples	Campanie	Italie	ITA	14.252260000000035	40.840140000000076	100	
Naples	GPE	travel, and moved yearly from London to Naples, Naples to Vienna, Berlin, Madrid, Seville, Carlsbad	114	Naples, ITA	Locality	City				Naples	Naples	Campanie	Italie	ITA	14.252260000000035	40.840140000000076	100	
Vienna	GPE	and moved yearly from London to Naples, Naples to Vienna, Berlin, Madrid, Seville, Carlsbad, Baden	114	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
