Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	TOWARDS the close of last July, when the London season was fast dying of the dust, Otho Laurence	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Derby	GPE	Isaacs, in honour of his horse having won the Derby. Well—and who else is there?’	21	Derby, Derbyshire, England, GBR	Locality	City				Derby	Derbyshire	England	United Kingdom	GBR	-1.478050565999979	52.92471139500003	100	
London	GPE	loudly and rather slowly to her about the dust in London, is Mr. Luke, the great critic and apostle	25	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	and-twenty; still, had you been in England lately, you would often have heard his name.	25	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Babylon	GPE	from a disconsolate spirit, hovering over the waters of Babylon, and remembering Sion. I can’t tell exactly	30	Babylon, NY, USA	Locality	City				Babylon	Suffolk County	New York	United States	USA	-73.32600999999994	40.695730000000026	100	
London	GPE	volume of poems, and is a sort of fashionable London Sappho. But come,—we shall be going into dinner directly	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Oxford	GPE	he is very young—he has only just left Oxford—’	70	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100	
Cambridge	GPE	my little boy, when he grows up, to Cambridge. And as for what you say about “times	71	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Jordan	GPE	, that if we were standing on the brink of Jordan itself, we should be utterly unable to catch,	78	Jordan	Locality	Country							Hashemite Kingdom of Jordan	JOR	36.78810430300007	31.248189480000065	100	
London	GPE	better to live amongst cultured society, even under a London fog, than to look at all the splendour of	101	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Scotland	GPE	of their year was that spent upon their moor in Scotland. ‘And then, too,’ she added	101	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Gloucestershire	GPE	Laurence, ‘I am devoted to our place in Gloucestershire, and I would not miss for anything such things	101	Gloucestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-2.1831099999999424	51.77959000000004	100	
England	GPE	no measured denunciation against the great land-owners of England, ‘who were once,’ he said,	106	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Scotland	GPE	pedigrees of the newest forging, with their moors in Scotland, with their rivers in Norway, with their game	106	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Norway	GPE	with their moors in Scotland, with their rivers in Norway, with their game preserves in England, with some	106	Norway	Locality	Country							Kingdom of Norway	NOR	10.000000000000057	62.00000000000006	100	
England	GPE	their rivers in Norway, with their game preserves in England, with some thousands of human beings calling them masters	106	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Norway	GPE	she whispered to Laurence. ‘He is fishing in Norway at this very moment. But do you really think	108	Norway	Locality	Country							Kingdom of Norway	NOR	10.000000000000057	62.00000000000006	100	
London	GPE	day, and I am sure nothing goes on in London now so bad as what he describes.’	108	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	his late remarks, ‘I think the state of London at the present day infinitely worse than anything Grammont or	109	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Spain	GPE	the viciousness of the characters who are not absurd. Spain was in some ways worse in Cervantes’ time than	128	Spain	Locality	Country							Kingdom of Spain	ESP	-3.6460631049999392	40.227949660000036	100	
England	GPE	was in some ways worse in Cervantes’ time than England is in ours; but you may search all our	128	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Ilfracombe	GPE	the other a study of pebbles on the beach at Ilfracombe.’	129	Ilfracombe, North Devon, Devon, England, GBR	Locality	City				North Devon	Devon	England	United Kingdom	GBR	-4.125845372999947	51.206340279000074	100	
Providence	GPE	Really,’ whispered Lady Ambrose to Laurence, ‘Providence has done so very little for us, as far	134	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Athens	GPE	the hand of Phidias, and in the air of Athens.’	202	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
London	GPE	she said. ‘I often come across her in London, but I hardly know her.’	299	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Westminster Abbey	GPE	Koran, which he had once designed to use in Westminster Abbey as the text of a missionary sermon.	313	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100	
St. John	GPE	from the potentiality; for “perfect love” as St. John says, “casteth out fear.” Putting together	321	Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
St. John	GPE	then, the ideas of these two good men, St. John and Aristotle, we may say that the love of	321	Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Wellington	GPE	Tennyson’s line on the death of the Duke of Wellington, “The last great Englishman is low,”	326	Wellington, NZL	Locality	City				Wellington		Wellington	New Zealand	NZL	174.77610046600012	-41.28489352399998	100	
Hebraistic	GPE	how it absorbed into itself all that was highest in Hebraistic Theism and in Hellenic thought—something too, let	327															nothing found
Israel	GPE	, was left by God (as the children of Israel were left by Pharaoh) to gather straw himself to	328	Israel	Locality	Country							Israel	ISR	34.97921769200008	31.97771151200004	100	
St. Augustine	GPE	germs of good? May we not indeed say with St. Augustine, that absolute evil is impossible, because, if	333	St Augustine, FL, USA	Locality	City				St Augustine	St. Johns County	Florida	United States	USA	-81.31410999999997	29.892160000000047	100	
the Kingdom of God	GPE	of good. But let us remember also that “the Kingdom of God cometh not with observation;” and I would conclude	337	Kingdom Of God, 1911 Kino Ave, Kingman, AZ, 86409, USA	POI	Gurdwara	1911 Kino Ave	Kino	1911	Kingman	Mohave County	Arizona	United States	USA	-114.03438399999999	35.23252000000008	99.95	
Alexandria	GPE	the Gospels, but preserved to us by Clement of Alexandria. “The Lord,” Clement tells us,	337	Alexandria, EGY	Locality	City					Alexandria	Alexandria	Arab Republic of Egypt	EGY	29.91253000000006	31.210500000000025	100	
Heigh	GPE	to sigh out audibly in the middle a disconsolate ‘Heigh ho!’ Mr. Storks blew his nose with singular	339	Heigh, Northumberland, England, GBR	Locality	District				Heigh	Northumberland	England	United Kingdom	GBR	-2.136881530999972	55.40114714100008	100	
forte	GPE	Ambrose, ‘but I’m afraid our friend’s forte is certainly not poetry.’	343	Forte, Florianópolis, Santa Catarina, BRA	Locality	District				Florianópolis		Santa Catarina	Brasil	BRA	-48.51715999999993	-27.43211999999994	100	
Manchester	GPE	, honest workmen, and send them to blow up Manchester, and Birmingham, and Liverpool, and Leeds,	377	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Birmingham	GPE	, and send them to blow up Manchester, and Birmingham, and Liverpool, and Leeds, and Wolverhampton—	377	Birmingham, West Midlands, England, GBR	Locality	City				Birmingham	West Midlands	England	United Kingdom	GBR	-1.902935748999937	52.479298949000054	100	
Liverpool	GPE	them to blow up Manchester, and Birmingham, and Liverpool, and Leeds, and Wolverhampton—’	377	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
Leeds	GPE	up Manchester, and Birmingham, and Liverpool, and Leeds, and Wolverhampton—’	377	Leeds, West Yorkshire, England, GBR	Locality	City				Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5502681409999468	53.80071858400004	100	
Wolverhampton	GPE	and Birmingham, and Liverpool, and Leeds, and Wolverhampton—’	377	Wolverhampton, West Midlands, England, GBR	Locality	City				Wolverhampton	West Midlands	England	United Kingdom	GBR	-2.1299094259999265	52.58622026100005	100	
Manchester	GPE	all certainly be damned. But it is not only Manchester and Birmingham that I would blow up. I would	379	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Birmingham	GPE	be damned. But it is not only Manchester and Birmingham that I would blow up. I would blow up	379	Birmingham, West Midlands, England, GBR	Locality	City				Birmingham	West Midlands	England	United Kingdom	GBR	-1.902935748999937	52.479298949000054	100	
colis	GPE	can you read it?  Neque harum, quas colis, arborum Te, præter invisam cupressum, “Of	409	Colis, улица Румянцева, 11, Златоуст, Челябинская область, 456205, RUS	POI	Specialty Store	улица Румянцева, 11	Румянцева	11	Златоуст	Златоуст	Челябинская область	Russian Federation	RUS	59.71784000000008	55.20160000000004	100	
morocco	GPE	. Look! these two folios, bound in red morocco, are a collection of his verses, letters,	426	Morocco	Locality	Country							Kingdom of Morocco	MAR	-4.999999999999943	32.00000000000006	100	
London	GPE	Could Lady Ambrose have been told, when she left London the afternoon before, that in another twenty-four	448	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	, as how to do anything for the glory of England; nor, lastly, do we deliberate about things	467	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	virtue. Thus it is the virtue of a modern London house to be as badly built as possible and not	468	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Westminster	GPE	religion may be too few for the present Archbishop of Westminster, and three may be too many for the Dean	468	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
London	GPE	n’t you know when anyone comes to see you in London, and will talk of nothing but books, one	499	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	what she considered culture was to be found in those London drawing-rooms where she felt her own life completest	501	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hurlingham	GPE	a thing that ought to be less in place at Hurlingham than at the South Kensington Museum. Nor is it	518	Hurlingham, Buenos Aires, ARG	Locality	City					Hurlingham	Buenos Aires	Argentina	ARG	-58.63618999999994	-34.59343999999993	100	
England	GPE	twelve Cæsars, and the date of the kings of England. Besides,’ Lady Ambrose added, ‘it	524	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
France	GPE	Laurence, ‘your own knowledge of the history of France and England during the last two hundred years—you	537	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
England	GPE	‘your own knowledge of the history of France and England during the last two hundred years—you know well	537	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
a Louis Quatorze	GPE	, or an English Revolution—a Cromwell, or a Louis Quatorze, or a Mirabeau? But your knowledge of history	537	Louis Quatorze, Dumortierlaan 123, 8300, Knokke-Heist, Het Zoute, BEL	POI	Clothing Store	Dumortierlaan 123	Dumortier	123	Knokke-Heist	West-Vlaanderen	Vlaanderen	België	BEL	3.2930300000000443	51.352400000000046	99.95	
Rome	GPE	, ignoring these interruptions, ‘you know something of Rome, and Greece, and Palestine, and Egypt;	540	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Greece	GPE	interruptions, ‘you know something of Rome, and Greece, and Palestine, and Egypt; and each of	540	Greece	Locality	Country							Greece	GRC	22.000000000000057	39.00000000000006	100	
Palestine	GPE	you know something of Rome, and Greece, and Palestine, and Egypt; and each of these names is	540	Palestine	Locality	Country									35.204684814000075	31.912721033000025	100	
Egypt	GPE	of Rome, and Greece, and Palestine, and Egypt; and each of these names is really a little	540	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
France	GPE	. Or, just repeat to yourself such words as France and Italy, and think for a moment of the	540	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Italy	GPE	, just repeat to yourself such words as France and Italy, and think for a moment of the effect of	540	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Venice	GPE	when you are travelling, what but for history would Venice be, or Athens, or Jerusalem? If it	540	Venice, CA, USA	Locality	City				Venice	Los Angeles County	California	United States	USA	-118.47214999999994	33.987540000000024	100	
Athens	GPE	, what but for history would Venice be, or Athens, or Jerusalem? If it were not for history	540	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
Jerusalem	GPE	for history would Venice be, or Athens, or Jerusalem? If it were not for history, be it	540	Jerusalem, ISR	Locality	City					Jerusalem	Jerusalem	Israel	ISR	35.21873000000005	31.780030000000068	100	
Rome	GPE	understood, would you find the same indescribable fascination in Rome?’	540	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Rome	GPE	‘I never was at Rome,’ said Lady Ambrose. ‘We’re going	541	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Athens	GPE	choicer and subtler pleasures be lost to us, if Athens did not still live to redeem us from the bondage	543	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
Greece	GPE	’ cried Mr. Rose, ‘of the χάρις of Greece, of the lust of Rome, of the strange	543	Greece	Locality	Country							Greece	GRC	22.000000000000057	39.00000000000006	100	
Rome	GPE	of the χάρις of Greece, of the lust of Rome, of the strange secrets of the Borgias? Consider	543	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Aristogeiton	GPE	us, of nobler mould than ours—Harmodius and Aristogeiton, Achilles and Patroclus, David and Jonathan, our	543															nothing found
Gloucestershire	GPE	you became optical when you looked through your telescope in Gloucestershire, and saw Captain Audley, at the bottom of	544	Gloucestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-2.1831099999999424	51.77959000000004	100	
Westminster	GPE	, by the river side, between Charing Cross and Westminster. The great clock struck the chimes of midnight;	554	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
Baden	GPE	’ said Leslie, ‘once knew some one at Baden, who spent half her time at the tables,	561	Baden, Niederösterreich, AUT	Locality	City				Baden	Baden	Niederösterreich	Österreich	AUT	16.232610000000022	48.006440000000055	100	
Worth	GPE	tables, as much the observed of all observers as Worth and her own strange beauty could make her—she	561	Worth, IL, USA	Locality	City				Worth	Cook County	Illinois	United States	USA	-87.79526999999996	41.690030000000036	100	
Dresden	GPE	killed afterwards, poor man, in a duel near Dresden—who once, when he was down for some	572	Dresden, Sachsen, DEU	Locality	City				Dresden	Dresden	Sachsen	Deutschland	DEU	13.740810000000067	51.053630000000055	100	
Versailles	GPE	—retire, as it has done, to its Versailles, and fence itself round for a little with its	593	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Paris	GPE	round for a little with its mercenary soldiers! The Paris of the world is, at any rate, left	593	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Heigho	GPE	‘Heigho!’ sighed Mr. Luke, very loud; ‘	608	Kheykho, prospekt Stoletova, 8, Volgograd, Volgogradskaya oblast', 400051, RUS	POI	Indoor Sports	prospekt Stoletova, 8	Stoletova	8	Volgograd	Volgograd	Volgogradskaya oblast'	Rossiya	RUS	44.578460000000064	48.51416000000006	85.71	
London	GPE	you know him? Have you never heard him in London—the gentleman with Mr. Laurence? See, he	634	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	we shall have heard the last of infidelity, in England at least, or indeed of Romanism either.’	649	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Seydon	GPE	‘Seydon!’ exclaimed Mr. Luke, ‘so that is	651	Saïdón	Locality	City				Σαϊδόνα	Δυτική Μάνη	Μεσσηνία	Ελλάδα	GRC	22.283720000000073	36.882420000000025	85.71	
nick	GPE	how it “jigs and ambles and lisps, and nick-names God’s creatures.” I know how	665	Nick, Sárvári Járás, Vas, HUN	Locality	City				Nick	Sárvári Járás	Vas	Magyarország	HUN	17.01950000000005	47.40307000000007	100	
Paris	GPE	a copy, which he showed my poor father in Paris. Come, Mr. Laurence, you need not hold	683	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
the Virgin Mary	GPE	. It seemed to be a sort of address to the Virgin Mary.’	691	Virgin Mary's, 1136 Commercial Dr, Vancouver, BC, V5L 3X2, CAN	POI	Clothing Store	1136 Commercial Dr	Commercial	1136	Vancouver	Greater Vancouver	British Columbia	Canada	CAN	-123.06922899999995	49.27431800000005	92.13	
fairyland	GPE	’s day was going to close with a scene from fairyland. The table itself, with its flowers, and	703	Fairyland, Queensland, AUS	Locality	City				Fairyland		Queensland	Australia	AUS	150.92752000000007	-26.51586999999995	100	
china	GPE	, in which the dusk was already darkness, hung china lamps, in the shape of green and purple grape	703	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
London	GPE	our lives), often, when I walk about London, and see how hideous its whole external aspect is	709	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	sounds; and then think for a moment of a London street! Think of the shapeless houses, the forest	709	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	nay, the look of out-of-door London seems literally to stifle the very power of imagining such	711	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	new design for a wallpaper, or on some old china vase, I become at once sharply conscious, Mr.	713	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Athens	GPE	Rose, raising his voice a little, ‘to Athens and to Italy, to the Italy of Leo and	713	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
Italy	GPE	his voice a little, ‘to Athens and to Italy, to the Italy of Leo and to the Athens	713	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Italy	GPE	, ‘to Athens and to Italy, to the Italy of Leo and to the Athens of Pericles. To	713	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Athens	GPE	Italy, to the Italy of Leo and to the Athens of Pericles. To such men the clamour, the	713	Athens, GRC	Locality	City					Athens	Attiki	Greece	GRC	23.73640000000006	37.97614000000004	100	
Pericles	GPE	to the Italy of Leo and to the Athens of Pericles. To such men the clamour, the interests,	713	Pericles, General Nicolás Palacios 266, San Carlos de Bariloche, Bariloche, R8400, Río Negro, ARG	POI	Coffee Shop	General Nicolás Palacios 266	General Nicolás Palacios	266	San Carlos de Bariloche	Bariloche	Río Negro	Argentina	ARG	-71.30410999999998	-41.13474999999994	100	
Napoleon	GPE	of Bathyllus is of more moment than the manhood of Napoleon. Borgia is a more familiar name than Bismarck.	713	Napoleon, OH, USA	Locality	City				Napoleon	Henry County	Ohio	United States	USA	-84.12582999999995	41.39197000000007	100	
