Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
England	GPE	"""In England, where boys go to boarding schools, if the"	0	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
æsthetic	GPE	The room, with all its æsthetic shortcomings, was comfortable enough, and Mr. Bultitude's	5	Aesthetic, Birmingham Road, Wylde Green, Sutton Coldfield, West Midlands, England, B72 1, GBR	POI	Fitness Center	Birmingham Road	Birmingham		Sutton Coldfield	West Midlands	England	United Kingdom	GBR	-1.826629999999966	52.53729000000004	100	
Providence	GPE	n't last for ever—by a merciful decree of Providence, they don't last quite for ever! There	35	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
India	GPE	It's only that stone Uncle Duke brought mamma from India; the thing, he said, they called a	76	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Bombay	GPE	attempts to enter the army, been sent out to Bombay as agent for a Manchester firm, and in that	92	Bombay, Mumbai, Maharashtra, IND	Locality	City				Mumbai	Mumbai	Maharashtra	India	IND	72.83484000000004	18.940180000000055	100	
Manchester	GPE	, been sent out to Bombay as agent for a Manchester firm, and in that capacity had contrived to be	92	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
India	GPE	He had brought home the stone from India as a propitiatory token of remembrance, more portable and	93	India	Locality	Country							India	IND	79.44332654800007	23.379379735000043	100	
Marlborough	GPE	"""I'd like to go to Marlborough, or Harrow, or somewhere,"" whimpered Dick"	104	Marlborough, Wiltshire, England, GBR	Locality	City				Marlborough	Wiltshire	England	United Kingdom	GBR	-1.7294969839999794	51.42147153500008	100	
stickjaw	GPE	the comforts of home—I can specially recommend the stickjaw; look out for it on Tuesdays and Fridays.	215															nothing found
Venice	GPE	"a body with so old a head.""—Merchant of Venice, Act iv."	225	Venice, CA, USA	Locality	City				Venice	Los Angeles County	California	United States	USA	-118.47214999999994	33.987540000000024	100	
Holborn	GPE	ladders—the Euston Road—to be bowling along Holborn.	230	Holborn, Camden, Greater London, England, GBR	Locality	District				Camden	Greater London	England	United Kingdom	GBR	-0.11281912299995156	51.517016958000056	100	
Hong-Kong	GPE	windmill drawn therein, a broken tin soldier, some Hong-Kong coppers with holes in them, and a quantity of	260	Hong Kong	Locality	Country							Hong Kong SAR	HKG	114.1193859870001	22.351958323000076	100	
Infancy	GPE	ruin of many). I've knowed yer in Infancy's hour and in yer byhood's bloom! I	270	Infancy, A36, Newtown, Sydney, New South Wales, 2042, AUS	POI	Specialty Store	A36	A36		Sydney		New South Wales	Australia	AUS	151.17995000000008	-33.90369999999996	100	
werry	GPE	"bloom! I've druv yer to this 'ere werry station twice afore. Know yer!"""	270	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
Providence	GPE	gent a despisin' of the oppertoonities as a bountiful Providence and a excellent par has 'eaped on his '	276	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
werry	GPE	, after drivin' his par in this 'ere werry cab through frost and fine fifteen year and more!	280	Węgry	Locality	Country							Węgry	HUN	19.424531700000045	47.16708877000008	80	
Westbourne Terrace	GPE	hear the cab arrive which could take him back to Westbourne Terrace.	286	Westbourne Terrace, A182, Shiney Row, Houghton le Spring, Tyne and Wear, England, DH4 4, GBR	POI	Parking	A182	A182		Houghton le Spring	Tyne and Wear	England	United Kingdom	GBR	-1.493379999999945	54.86749000000003	100	
