Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Egypt	GPE	straight dark brows—the brows of the friezes of Egypt.	19	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
Calvados	GPE	the peasant proprietors of the district: the department of Calvados. But though small they were heavy in proportion to	23	Calvados, Normandie, FRA	Locality	County					Calvados	Normandie	France	FRA	-0.3615929809999443	49.09973406700004	100	
Normandy	GPE	in the blue kirtle and the white head gear of Normandy.	57	Normandy, FRA	Locality	State or Province						Normandie	France	FRA	0.11099757300002011	49.120065287000045	100	
France	GPE	of the most fertile and most fair districts of northern France there was a little Norman town, very, very	95	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
York	GPE	Its centre was a great cathedral, noble as York or Chartres; a cathedral, whose spire shot to	96	York, North Yorkshire, England, GBR	Locality	City				York	North Yorkshire	England	United Kingdom	GBR	-1.0836837719999721	53.96202662400003	100	
Provence	GPE	nearly that a girl leaning on one could stretch a Provence rose or toss an Easter egg across to her neighbour	98	Provence, Vaud, CHE	Locality	City				Provence	Jura-Nord Vaudois	Vaud	Suisse	CHE	6.727710000000059	46.89143000000007	100	
St. Victorian	GPE	delf jug, or at their tawdry coloured prints of St. Victorian or St. Scævola.	99	San Victorián, El Pueyo de Araguás, Huesca, Aragón, ESP	Locality	Village				El Pueyo de Araguás	Huesca	Aragón	España	ESP	0.2208600000000729	42.45784000000003	100	
St. Scævola	GPE	or at their tawdry coloured prints of St. Victorian or St. Scævola.	99	Scaevola, Taninkatu 1, 33400, Lielahti, FIN	POI	Specialty Store	Taninkatu 1	Tanin	1	Tampere	Pirkanmaa	Länsi- ja Sisä-Suomi	Suomi	FIN	23.661940000000072	61.516440000000046	88	
Paris	GPE	This little town lay far from the great Paris highway and all greatly frequented tracks. It was but	101	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
blue‐eyed	GPE	Now and then some one of the oval‐faced, blue‐eyed, lithe‐limbed maidens of its little homely households would sigh	102	Blue Eye, MO, USA	Locality	City				Blue Eye	Stone County	Missouri	United States	USA	-93.39585999999997	36.50198000000006	87.5	
Paris	GPE	sigh and flush and grow restless, and murmur of Paris; and would steal out in the break of a	102	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Calvados	GPE	At twenty‐two Reine Flamma was the most beautiful woman in Calvados, and the most wretched.	111	Calvados, Normandie, FRA	Locality	County					Calvados	Normandie	France	FRA	-0.3615929809999443	49.09973406700004	100	
this virgin gold	GPE	spotlessness of this lily, refine even the purity of this virgin gold.	112	Virgin Gold, K K Raman Road, Tirur, Malappuram, Kerala, 676552, IND	POI	Specialty Store	K K Raman Road	K K Raman		Tirur	Malappuram	Kerala	India	IND	76.07272000000006	10.888460000000066	82.86	
breeze‐blown	GPE	rode his mule slowly through the pleasant poplar lanes and breeze‐blown fields of colza back to his little quiet homestead,	114	Breeze, 340 S Lemon Ave, Walnut, CA, 91789, USA	POI	Other Shops and Service	340 S Lemon Ave	Lemon	340	Walnut	Los Angeles County	California	United States	USA	-117.85967899999997	34.01187200000004	72.73	
wall,—mute	GPE	eat nor drink, but turned her face to the wall,—mute.	166															nothing found
Calvados	GPE	. They had seen the same face ere then in Calvados.	178	Calvados, Normandie, FRA	Locality	County					Calvados	Normandie	France	FRA	-0.3615929809999443	49.09973406700004	100	
