Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Camden	GPE	When I had established myself in my new lodgings in Camden Town, I found I had ten pounds in my	0	Camden, NJ, USA	Locality	City				Camden	Camden County	New Jersey	United States	USA	-75.11912999999998	39.945250000000044	100	
London	GPE	Ballads” is answerable.  When I came to London the same creed survived, and I was for ever	3	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	for me, except at rare opportunities, to leave London, and it was necessary for me, therefore,	3	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Camden Town	GPE	to be seen in journeying through the High Street, Camden Town, Tottenham Court Road, the Seven Dials, and	3	Camden Twp, MI, USA	Locality	City				Camden Twp	Hillsdale County	Michigan	United States	USA	-84.77216999999996	41.752230000000054	100	
Londoner	GPE	water from pollution; but speaking from experience as a Londoner, I can testify that they are most depressing,	3	Londoner, Rockport, MA, USA	POI	Island				Rockport	Essex County	Massachusetts	United States	USA	-70.56596999999994	42.63498000000004	100	
London	GPE	which I never attained—a “special” for London.  His “descriptive articles” were more political	5	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	London Sundays to persons who are not attached to any religious	9	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hampstead	GPE	little less trim.  So we would stroll towards Hampstead or Highgate, the only drawback to these regions being	9	Hampstead, QC, CAN	Locality	City				Hampstead	Communauté-Urbaine-de-Montréal	Québec	Canada	CAN	-73.64813499999997	45.480765000000076	100	
London	GPE	it was necessary to pass.  The skirts of London when the air is filled with north-easterly soot	9	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Brazil	GPE	door was generally encamped a man who sold nothing but Brazil nuts.  Swarms of people lazily wandered past him	9	Brazil	Locality	Country							Brazil	BRA	-53.073466888999974	-10.769946428999958	100	
