Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Derbyshire	GPE	THE light was fading among the Derbyshire hills. The trees, now almost bare, were	0	Derbyshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.6112499999999272	53.13543000000004	100	
Stockport	GPE	in the poorest ranks of the workers in a crowded Stockport alley, he had started in life as a mill	17	Stockport, Greater Manchester, England, GBR	Locality	City				Stockport	Greater Manchester	England	United Kingdom	GBR	-2.158959812999967	53.40803967100004	100	
Cambridge	GPE	peculiar training; so he had sent his sons to Cambridge, and had lived to see them leave their college	18	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Stockport	GPE	Mr Gates was a member of a firm of Stockport solicitors, and his country house was but a stone's	82	Stockport, Greater Manchester, England, GBR	Locality	City				Stockport	Greater Manchester	England	United Kingdom	GBR	-2.158959812999967	53.40803967100004	100	
London	GPE	on the last scene of the most popular play in London. The appreciative criticism of the pit and the tearful	105	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Firth Vale	GPE	its pockets. 'Mr John Stanley, Aspinshaw, Firth Vale.'	149	Vale, OR, USA	Locality	City				Vale	Malheur County	Oregon	United States	USA	-117.24061999999998	43.98189000000008	77.78	
Derbyshire	GPE	'Firth Vale—Firth Vale. That's in Derbyshire. Ah me!'	150	Derbyshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.6112499999999272	53.13543000000004	100	
closed'll	GPE	'The next work-day the mill's closed'll be a wedden-day, I s'pose,'	178	Closed, 2721 Washington St, Julian, CA, 92036, USA	POI	Doctor	2721 Washington St	Washington	2721	Julian	San Diego County	California	United States	USA	-116.60267099999999	33.07805100000007	84.99	
their's'll	GPE	, so to say, to oursel', for their's'll be ours,' said Sigley.	191	Theirs, Santiago de Cuba, CUB	POI	Mine						Santiago de Cuba	Cuba	CUB	-75.72027999999995	20.095830000000035	84.98	
Cambridge	GPE	one particular point. When they had come back from Cambridge a year before, they had found a new and	201	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Firth Vale	GPE	a new and interesting feature in the social aspect of Firth Vale. Clare Stanley had come home from the German boarding	201	Vale, OR, USA	Locality	City				Vale	Malheur County	Oregon	United States	USA	-117.24061999999998	43.98189000000008	77.78	
Liverpool	GPE	a visit she had recently paid to an aunt in Liverpool she had been seen to talk more than once to	203	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
Manchester	GPE	and that she had left the Firth Vale Station for Manchester by an early train alone. But the worst of	203	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
London	GPE	Ferrier died, she and her father had gone to London to spend a month; and the time of her	204	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Clare herself was glad to go to London, though not so glad to leave the scene of	205	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	'Well, I've been in England some years now,' he said, with a	227	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
The Ash Grove	GPE	"'Whatever you like, my dear. ""The Ash Grove.""'"	231	Ash Grove, MO, USA	Locality	City				Ash Grove	Greene County	Missouri	United States	USA	-93.58414999999997	37.31633000000005	99.95	
England	GPE	Surely there is a fight to be fought here in England, for instance, too. I don't know	234	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	"mean to speak otherwise than generally. I believe in England it is considered ""bad form"" to show feeling"	238	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Liberty	GPE	in every note of which breathes the very soul of Liberty.	249	Liberty, MO, USA	Locality	City				Liberty	Clay County	Missouri	United States	USA	-94.41941999999995	39.24538000000007	100	
London	GPE	'We've come to London on business,' said he.	259	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Thornsett	GPE	had been the brightest as well as the fairest in Thornsett village, and his heart was sore with indignant protest	296	Thornsett, High Peak, Derbyshire, England, GBR	Locality	Village				High Peak	Derbyshire	England	United Kingdom	GBR	-1.9825667869999393	53.37980314400005	100	
London	GPE	see you again, anyway. I shall be in London for some time. When shall I see you?	311	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	sometimes painted, and that there are other countries besides England where progressive measures are desirable. The brothers were both	346	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
St Waltheof's	GPE	When church and chapel—St Waltheof's and Little Bethel—unite in teaching that ceremonial observance	364	Walthof, Pretorius St, Modimolle, Waterberg, Limpopo, 0510, ZAF	POI	Residential Area	Pretorius St	Pretorius		Modimolle-Mookgophong	Waterberg	Limpopo	South Africa	ZAF	28.41049000000004	-24.701899999999966	73.15	
Liberty	GPE	'There is a freemasonry among the soldiers of Liberty which holds good all over the world, and we	371	Liberty, MO, USA	Locality	City				Liberty	Clay County	Missouri	United States	USA	-94.41941999999995	39.24538000000007	100	
Russia	GPE	with him into the future, 'not only of Russia, but of mankind,' he said; '	379	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
St Petersburg	GPE	light of tallow candles—the pamphlet for whose possession St Petersburg and Moscow students had quarrelled and almost fought, knowing	379	Saint Petersburg, RUS	Locality	City					Saint Petersburg	Saint Petersburg	Russia	RUS	30.30609000000004	59.93319000000008	100	
Moscow	GPE	candles—the pamphlet for whose possession St Petersburg and Moscow students had quarrelled and almost fought, knowing all the	379	Moscow, RUS	Locality	City					Moscow	Moscow	Russia	RUS	37.61502000000007	55.75696000000005	100	
Russia	GPE	it; but he said that, having been in Russia, he could bear testimony to the truth of all	383	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Russia	GPE	that evening, and that while in the south of Russia he had come across a small pamphlet, called '	383	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Russia	GPE	DEAR MR FERRIER,—You were so full of Russia yesterday afternoon that you made me forget to say to	402	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Derbyshire	GPE	In Derbyshire, where her amusements were very limited, she would	406	Derbyshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.6112499999999272	53.13543000000004	100	
Liberty	GPE	idolatry, the one mistress of his heart, was Liberty, and though this statement was modified in her mind	407	Liberty, MO, USA	Locality	City				Liberty	Clay County	Missouri	United States	USA	-94.41941999999995	39.24538000000007	100	
London	GPE	a splendid speaker; but I didn't come to London to spend all my days and nights with him,	413	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	turning out this vile afternoon. If fate has given England freedom, she has taken care to accompany the gift	426	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	a fine day is about as cheerful as any that London can present—though one may have one's private	427	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St George's	GPE	sometimes wish that the slave of the lamp would bring St George's Hall from Liverpool and drop it on that splendid site	427	St. George's, Saint George, Grenada, GRD	Locality	City				Saint George	Grenada		Grenada	GRD	-61.75396999999998	12.052090000000021	100	
Liverpool	GPE	of the lamp would bring St George's Hall from Liverpool and drop it on that splendid site. But this	427	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
London	GPE	, as he drew the first whiffs; 'but London is about the only place I know where good cigars	428	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Derbyshire	GPE	easily tired now than she used to be in her Derbyshire home, where she had been used to breast the	468	Derbyshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.6112499999999272	53.13543000000004	100	
London	GPE	have cast a spell of their own peace over even London's unpeaceful heart. The streets were empty, for	504	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Derbyshire	GPE	sound of the waters rushing round the stones in the Derbyshire streams—only those waters had always made a song	505	Derbyshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.6112499999999272	53.13543000000004	100	
Greenwich	GPE	his voice) 'would have been down somewhere off Greenwich by this time if it hadn't been for me	544	Greenwich, CT, USA	Locality	City				Greenwich	Fairfield County	Connecticut	United States	USA	-73.63980999999995	41.06425000000007	100	
Cambridge	GPE	his room. 'They ought to teach politeness at Cambridge, and put it down among the extras. By	635	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
United States	GPE	But Mr Stanley was interested in the financial condition of United States railways, and Count Litvinoff—odd thing in an	639	United States	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
