Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
morocco	GPE	the mantelpiece, and his hypodermic syringe from its neat morocco case. With his long, white, nervous fingers	0	Morocco	Locality	Country							Kingdom of Morocco	MAR	-4.999999999999943	32.00000000000006	100	
Jezail	GPE	sat nursing my wounded leg. I had had a Jezail bullet through it some time before, and, though	18	Jebaïl, Mont-Liban, LBN	Locality	City				Jbaïl		Mont-Liban	Liban	LBN	35.648060000000044	34.121110000000044	83.33	
Riga	GPE	refer him to two parallel cases, the one at Riga in 1857, and the other at St. Louis in	19	Rīga, LVA	Locality	City				Rīga	Rīga	Rīga	Latvija	LVA	24.106875278000075	56.94740777800007	100	
St. Louis	GPE	one at Riga in 1857, and the other at St. Louis in 1871, which have suggested to him the true	19	St Louis, MO, USA	Locality	City				St Louis	City of St. Louis	Missouri	United States	USA	-90.19955999999996	38.62775000000005	100	
Paris	GPE	, with some remarks upon the uses of plaster of Paris as a preserver of impresses. Here, too,	26	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
England	GPE	'It is very customary for pawnbrokers in England, when they take a watch, to scratch the	53	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	mother was dead, and I had no relative in England. I was placed, however, in a comfortable	70	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Edinburgh	GPE	placed, however, in a comfortable boarding establishment at Edinburgh, and there I remained until I was seventeen years	70	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
London	GPE	leave and came home. He telegraphed to me from London that he had arrived all safe, and directed me	70	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	, was full of kindness and love. On reaching London I drove to the Langham, and was informed that	70	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Morstan	GPE	drove to the Langham, and was informed that Captain Morstan was staying there, but that he had gone out	70	Morstang, Indre Østfold, Viken, NOR	Locality	Village					Indre Østfold	Viken	Norge	NOR	11.269760000000076	59.58667000000003	87.5	
England	GPE	did not even know that his brother officer was in England.'	77	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	The envelope too, please. Post-mark, London, S.W. Date, July 7. Hum! Man	83	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Morstan	GPE	mystery! What do you intend to do, Miss Morstan?'	83	Morstang, Indre Østfold, Viken, NOR	Locality	Village					Indre Østfold	Viken	Norge	NOR	11.269760000000076	59.58667000000003	87.5	
London	GPE	has spent nearly a quarter of a million upon the London poor.'	100	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Morstan	GPE	Look at it in this way, then. Captain Morstan disappears. The only person in London whom he could	112	Morstang, Indre Østfold, Viken, NOR	Locality	Village					Indre Østfold	Viken	Norge	NOR	11.269760000000076	59.58667000000003	87.5	
