Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Lodgings	GPE	aloud to you some passages from 'Mrs. Lirriper's Lodgings,' by Charles Dickens. I do not know	0	Lodgings, Miyazaki, JPN	POI	Museum						Miyazaki	Japan	JPN	131.38394834300004	31.947219636000057	100	
London	GPE	-house-keeper, that she kept lodgings in London. She was a very good sort of woman,	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
mackintoshed waterfalls	GPE	the opening door reveals the advent of more umbrellaed and mackintoshed waterfalls. Two men and a lady. As his eye	15	Waterfalls, Harare, ZWE	Locality	City				Harare		Harare	Zimbabwe	ZWE	31.006650000000036	-17.914439999999956	78.18	
Lodgings	GPE	young woman left ruined and deserted in Mrs. Lirriper's Lodgings, and only rescued from suicide by the efforts of	33	Lodgings, Miyazaki, JPN	POI	Museum						Miyazaki	Japan	JPN	131.38394834300004	31.947219636000057	100	
Devonshire	GPE	school-time, the six months he spent in Devonshire with a coach before he came up to New.	39	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	It is conjured back into his mind by the word Devonshire.	39	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	name has opened!—a door through which he passes into a Devonshire garden, and romps with rose-faced Devonshire children	41	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	a Devonshire garden, and romps with rose-faced Devonshire children. The very names of those children are coming	41	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	own room. At once he is back in that Devonshire garden, he is there almost all night, between	43	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Providence	GPE	. Then why is she snow-haired? Because Providence has so willed it is the obvious answer. But	45	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Devonshire	GPE	With the morning light the might of the Devonshire memories grows weaker; and, as the day advances	46	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Mesopotamia	GPE	perhaps, because in his day, as now, Mesopotamia on Sundays was given over to the mechanic and the	47	Mesopotamia, OH, USA	Locality	City				Mesopotamia	Trumbull County	Ohio	United States	USA	-80.95580999999999	41.45834000000008	100	
Devonshire	GPE	"events, cannot be dead. ""How is Devonshire?"""	62	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	", in a dry voice; ""we have left Devonshire a long while—nine, nine and a half"	64	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
Devonshire	GPE	", that must have been very soon after I left Devonshire."""	66	Devonshire, BMU	Locality	City				Devonshire			Bermuda	BMU	-64.75640999999996	32.30292000000003	100	
