Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Ireland	GPE	In the west of Ireland, on the 9th of December, in the town	0	Ireland, IRL	Locality	Country							Ireland	IRL	-8.14600614699998	53.17587984600004	100	
Switzerland	GPE	religious experiences, and written verse to a waterfall in Switzerland, and not to those who dwelt upon its borders	5	Switzerland	Locality	Country							Switzerland	CHE	8.245024096000066	46.79981744200006	100	
America	GPE	going away to seek his fortune—perhaps even in America. Now this matter preyed somewhat on Sherman. For	36	America	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
London	GPE	The lounger in him did not enjoy the thought of London. Gradually his mind wandered away into scheming—infinite	38	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Berlin	GPE	cold creatures.” The old maid who kept the Berlin-wool shop remarked, “They are not of	53	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
London	GPE	me £100 a year to begin with in his London office. Am I to go?”	57	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	hurriedly entering the room, “we are going to London.”	75	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	must pack up everything, for they were going to London.	76	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
geese	GPE	a very dirty old woman sitting by a crate of geese, all the passengers but himself were below. This	78	Geese, Gayungan, Jawa Timur, 60234, IDN	POI	Clothing Store				Gayungan		Jawa Timur	Indonesia	IDN	112.72845000000007	-7.34561999999994	100	
geese	GPE	below. This old woman made the journey monthly with geese for the Liverpool market.	78	Geese, Gayungan, Jawa Timur, 60234, IDN	POI	Clothing Store				Gayungan		Jawa Timur	Indonesia	IDN	112.72845000000007	-7.34561999999994	100	
Liverpool	GPE	old woman made the journey monthly with geese for the Liverpool market.	78	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
Mersey	GPE	“Misther John Sherman, we will be in the Mersey before evening. Why are ye goin’ among them savages	82	Mersey, England, GBR	POI	Stream						England	United Kingdom	GBR	-3.033329999999978	53.450000000000045	100	
London	GPE	evening. Why are ye goin’ among them savages in London, Misther John? Why don’t ye stay among	82	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. Peter’s	GPE	mother rented a small house on the north side of St. Peter’s Square, Hammersmith. The front windows looked out on	83	St Peter's, Thanet, Kent, England, GBR	Locality	District				Thanet	Kent	England	United Kingdom	GBR	1.4228739460000384	51.36384547500006	100	
St. Peter’s	GPE	, ship-broker, on the eastern side of St. Peter’s Square. Their house was larger than the Shermans,	88	St Peter's, Thanet, Kent, England, GBR	Locality	District				Thanet	Kent	England	United Kingdom	GBR	1.4228739460000384	51.36384547500006	100	
