Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Wattleborough	GPE	As the Milvains sat down to breakfast the clock of Wattleborough parish church struck eight; it was two miles away	0	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	'There's a man being hanged in London at this moment.'	1	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
russet	GPE	bold, handsome features, and very beautiful hair of russet tinge; hers was not a face that readily smiled	9	Russet, WV, USA	Locality	City					Calhoun County	West Virginia	United States	USA	-81.05649999999997	38.873140000000035	100	
Jasper	GPE	'No, no,' fell from Jasper, thoughtfully. 'I don't think you'd	36	Jasper, AB, CAN	Locality	City				Jasper	Division No. 15	Alberta	Canada	CAN	-118.07925599999999	52.87927700000006	100	
Reardons	GPE	'It would amuse me very much if the Reardons got a lot of money at Mr. Yule's death	49	Reardon's, 1060 Pollokshaws Road, Strathbungo, Glasgow, Lanarkshire, Scotland, G41 3, GBR	POI	British Isles Food	1060 Pollokshaws Road	Pollokshaws	1060	Glasgow	Lanarkshire	Scotland	United Kingdom	GBR	-4.279529999999966	55.83122000000003	99.99	
London	GPE	breakfast, he leaned back and began to unfold the London paper that had come by post.	51	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Wattleborough	GPE	cattle-market to-day in the town of Wattleborough, droves of beasts and sheep occasionally went by,	55	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	year, as a rule, Jasper came down from London to spend a fortnight with them; to-day	56	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	on less than a hundred and fifty a year. London, you know — '	79	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Homer	GPE	We talk of literature as a trade, not of Homer, Dante, and Shakspeare. If I could only	98	Homer, AK, USA	Locality	City				Homer	Kenai Peninsula Borough	Alaska	United States	USA	-151.54421999999997	59.64656000000008	100	
Wattleborough	GPE	conjecture was rendered a certainty. Maud had walked to Wattleborough, where she would meet Dora on the latter's	125	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Wattleborough	GPE	Mr. Yule had inhabited a house at the end of Wattleborough remote from Finden.	126	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	'Our London visitors came yesterday,' she began by saying.	127	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Reardons	GPE	of Jasper's friendship with Mrs. Edmund Yule and the Reardons? Mightn't it be a little awkward?'	135	Reardon's, 1060 Pollokshaws Road, Strathbungo, Glasgow, Lanarkshire, Scotland, G41 3, GBR	POI	British Isles Food	1060 Pollokshaws Road	Pollokshaws	1060	Glasgow	Lanarkshire	Scotland	United Kingdom	GBR	-4.279529999999966	55.83122000000003	99.99	
Wattleborough	GPE	fact that he cared little for female society. In Wattleborough and the neighbourhood opinions varied greatly as to this gentleman	141	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	obtained a clerk's place in the office of a London newspaper. Three years after, his father died,	143	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hertfordshire	GPE	acquaintance who had started a small paper-mill in Hertfordshire. His speculation succeeded, and as years went on	143	Hertfordshire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-0.21698999999995294	51.82974000000007	100	
London	GPE	in the meantime, had drifted from work at a London bookseller's into the modern Grub Street, his adventures	143	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Wattleborough	GPE	to take an important part in the municipal affairs of Wattleborough. He was then a remarkably robust man, fond	145	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Wattleborough	GPE	to resign himself to his fate, and at present Wattleborough saw little of him. It seemed likely that he	145	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Wattleborough	GPE	deal, I think, to counteract those influences in Wattleborough.'	194	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
England	GPE	You would doubtless like to see military conscription introduced into England?' said Jasper.	197	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Germany	GPE	successful? Because the damnable education movement interferes. If Germany would shut up her schools and universities for the next	198	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
