Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
shewn	GPE	freak of fortune, the whole family at Dunaghee had shewn obstinate symptoms of individuality from their childhood, and,	51	Shewan, Brighton, NB, CAN	Locality	Village				Brighton	Carleton County	New Brunswick	Canada	CAN	-67.42332669499996	46.21945318300004	83.33	
Scotland	GPE	mountainous, though it lay in a northern district of Scotland; it was bleak and solitary, with vast bare	82	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Hadria	GPE	, not been without its influence in the forming of Hadria's character. She, more than the others,	82	Hadria, Jhābua, Madhya Pradesh, IND	Locality	City					Jhābua	Madhya Pradesh	India	IND	74.94653000000005	22.934790000000078	100	
Hadria	GPE	There are such things as acquired tricks,” returned Hadria.	122	Hadria, Jhābua, Madhya Pradesh, IND	Locality	City					Jhābua	Madhya Pradesh	India	IND	74.94653000000005	22.934790000000078	100	
London	GPE	, in her excitement. “I am going to London with Mrs. Trevelyan, to help her in her work	180	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	doing; she did not care to paint indifferently on china; she was a mere encumbrance—a destroyer as	182	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Hadria	GPE	The notion of Hadria in the capacity of the family consolation, created a	185	Hadria, Jhābua, Madhya Pradesh, IND	Locality	City					Jhābua	Madhya Pradesh	India	IND	74.94653000000005	22.934790000000078	100	
London	GPE	was anxious to know when Algitha intended to go to London. Nobody doubted for a moment that she would hold	191	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
FULLERTON	GPE	MRS. FULLERTON had gone to the study, to consult with her	199	Fullerton, CA, USA	Locality	City				Fullerton	Orange County	California	United States	USA	-117.92895999999996	33.870330000000024	100	
shewn	GPE	In her youth, Mrs. Fullerton had shewn signs of qualities which had since been submerged. Her	205	Shewan, Brighton, NB, CAN	Locality	Village				Brighton	Carleton County	New Brunswick	Canada	CAN	-67.42332669499996	46.21945318300004	83.33	
Hadria	GPE	hope you have not all been sitting up talking in Hadria's room, as you are too fond of doing	223	Hadria, Jhābua, Madhya Pradesh, IND	Locality	City					Jhābua	Madhya Pradesh	India	IND	74.94653000000005	22.934790000000078	100	
Hadria	GPE	no sympathy with these passionate discouragements that alternated, in Hadria, with equally passionate exaltations.	242	Hadria, Jhābua, Madhya Pradesh, IND	Locality	City					Jhābua	Madhya Pradesh	India	IND	74.94653000000005	22.934790000000078	100	
