Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Manor	GPE	"; I suppose I shall see you down at the Manor on Saturday?"""	26	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	100	
Murville Manor	GPE	At Murville Manor, an old Georgian house standing near a quaint little	36	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	75.38	
England	GPE	had discovered before he was out of his teens that England was not the place for one so restless as he	37	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Canada	GPE	, told in the boy's usual careless manner: Canada had grown too small for him, he was feeling	38	Canada	Locality	Country							Canada	CAN	-113.64257999999995	60.108670000000075	100	
England	GPE	was feeling homesick, and was about to sail for England, and would be with his father almost as soon	38	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Putney	GPE	the concerts; so we live at Crouch End or Putney, where an exasperating local railway lies between us and	44	Putney, GA, USA	Locality	Village				Putney	Dougherty County	Georgia	United States	USA	-84.11724999999996	31.475520000000074	100	
London	GPE	, she could not forgive her husband for selling their London house, although herself the first instigator of the scheme	55	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Murville Manor	GPE	this unhealthy condition of mind she shut herself up in Murville Manor, where her sole occupations became the mismanagement of her	55	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	75.38	
England	GPE	; because Jack, confound the fellow, is in England at the present moment, and may be here to	57	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Providence	GPE	"Even a duck has its portion in the scheme of Providence,"" murmured Lady Joan into her tea-cup"	80	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
