Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	I met Leversedge in London once in a way. Then he would disappear for	1	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Artemis	GPE	very honestest sort, wholly unsymbolic of the worship of Artemis or Astarte, without phases, standing ever at a	6	Artemis, Piracicaba, São Paulo, BRA	Locality	Village				Piracicaba		São Paulo	Brasil	BRA	-47.77554999999995	-22.664879999999982	100	
London	GPE	the witness of these good parents, the life of London, intellectual and artistic, pulsed with profounder colour and	6	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John	GPE	an American. (She gets on equally well with St. John or without him, so there is no indiscretion in	11	Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Congo	GPE	half afterwards, I heard, exploring somewhere up the Congo. I've always been sorry he dropped out.	50	Congo	Locality	Country							Congo, Republic of the	COG	15.23529437600007	-0.8217651579999483	100	
Charlotte	GPE	say,” he cried suddenly, “here comes Charlotte—Miss Perry—and the others.”	52	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	him a tête-à-tête with the fair Charlotte by concentrating the attention of her parents upon myself.	58	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	. Perry sighed.—“It seems to me clever people, like Charlotte's friends, are so strong,” she said	68	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
away!—eh	GPE	, to horse, boot and saddle, up and away!—eh, Mamma?—up and away!”	97	Away, Pokaran, Jaisalmer, Rajasthan, IND	Locality	Village				Pokaran	Jaisalmer	Rajasthan	India	IND	71.83626000000004	27.510970000000043	82.03	
Charlotte	GPE	“Mayn't I come up with you, Charlotte?” he asked. “I've hardly seen	99	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
England	GPE	are all talking about. I have stayed out of England too long, and your ideas at home have run	112	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Charlotte	GPE	the tall, cream-coloured one of the fair Charlotte speeding away, through sunshine and shadow, in the	133	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Providence	GPE	Verily, the ways of Providence are not equal! I had returned from Evian in	134	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Hammond	GPE	cold and damp, and—and it smelt, Hammond, and that was unspeakably filthy. You know how	157	Hammond, IN, USA	Locality	City				Hammond	Lake County	Indiana	United States	USA	-87.50892999999996	41.605380000000025	100	
Providence	GPE	for it appeared to me that, in him, Providence granted me acquaintance with a lover of a rather heroic	172	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Charlotte	GPE	have been expecting you,” he cried. “Charlotte has been visibly disturbed by your absence.”	186	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
London	GPE	like yourself, I may call a débutant in the London world, to have the entrée of her charming house	188	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Charlotte	GPE	“Because”—Leversedge spoke very slowly—“I will explain why to Charlotte later, and she will understand,”—he paused,—“yes, she'll	198	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	simple. As I say, I will explain to Charlotte; she'll understand.”—Leversedge repeated the phrase more	202	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	“So our happiness is dependent upon Charlotte's friends taking us up and putting us through,	206	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
