Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
St. Michael's Mount	GPE	all banked and sunny white against the blue, rises St. Michael's Mount, with a man's little castle capping Nature's	0	Saint Michael's Mount, Fernando de Noronha, Pernambuco, BRA	POI	Mountain					Fernando de Noronha	Pernambuco	Brasil	BRA	-32.393749999999955	-3.8242399999999748	100	
Newlyn	GPE	's gaunt escarpments and rugged walls. Between Marazion and Newlyn stretches Mount's Bay; while a mile or two	0	Newlyn, Cornwall, England, GBR	Locality	City				Newlyn	Cornwall	England	United Kingdom	GBR	-5.550335023999935	50.10673568100003	100	
Penzance	GPE	steam clouds, from a train, bring us to Penzance. Then—noting centers of industry where freezing works	0	Penzance, Cornwall, England, GBR	Locality	City				Penzance	Cornwall	England	United Kingdom	GBR	-5.53932182099993	50.11843509200003	100	
Newlyn	GPE	They were artists, but while Edmund Murdoch dwelt at Newlyn and lived by his profession, the older man,	5	Newlyn, Cornwall, England, GBR	Locality	City				Newlyn	Cornwall	England	United Kingdom	GBR	-5.550335023999935	50.10673568100003	100	
the West Indies	GPE	mouth set the seal. Once he had painted in the West Indies: a picture of two negresses bathing at Tobago.	5	West Indies	Locality	Zone									-71.21666999999997	19.383330000000058	99.95	
Tobago	GPE	West Indies: a picture of two negresses bathing at Tobago. Behind them hung low tangles of cactus, melo	5	Tobago, TTO	Locality	State or Province						Tobago	Trinidad and Tobago	TTO	-60.66561289099997	11.241686757000025	100	
Newlyn	GPE	derive any pleasure from the society of his craft at Newlyn. He hated the clatter of art jargon, he	6	Newlyn, Cornwall, England, GBR	Locality	City				Newlyn	Cornwall	England	United Kingdom	GBR	-5.550335023999935	50.10673568100003	100	
Cornwall	GPE	"he continued, ""that you've found nothing in Cornwall to keep you here and make you do some work"	20	Cornwall, ON, CAN	Locality	City				Cornwall	Stormont, Dundas and Glengarry United Counties	Ontario	Canada	CAN	-74.73068699999999	45.02095200000008	100	
Newlyn hill	GPE	Edmund Murdoch's studio stood high on Newlyn hill, and Barron had taken comfortable rooms in a little	42	Hill, NH, USA	Locality	City				Hill	Merrimack County	New Hampshire	United States	USA	-71.70233999999994	43.52015000000006	76	
Newlyn	GPE	, in fact, was already nearly a mile from Newlyn, and, at the moment when the younger artist	43	Newlyn, Cornwall, England, GBR	Locality	City				Newlyn	Cornwall	England	United Kingdom	GBR	-5.550335023999935	50.10673568100003	100	
He'm	GPE	"""Faither don't. He'm a fisherman an' caan't abear many things as happens"	99	Hem, Nord, Hauts-de-France, FRA	Locality	City				Hem	Nord	Hauts-de-France	France	FRA	3.1838646630000653	50.654344879000064	99.99	
Newlyn	GPE	as they flags an' cannels an' moosic to Newlyn church is vanity. Most purty things is vanity,	99	Newlyn, Cornwall, England, GBR	Locality	City				Newlyn	Cornwall	England	United Kingdom	GBR	-5.550335023999935	50.10673568100003	100	
tuke	GPE	don't want no breakfus', then. I tuke some bread an' drippin' long with me.	115	Tuke, Doboj jug, Zeničko-Dobojski kanton, Federacija Bosne i Hercegovine, BIH	Locality	Village				Doboj jug	Zeničko-Dobojski kanton	Federacija Bosne i Hercegovine	Bosna i Hercegovina	BIH	18.058980000000076	44.66782000000006	100	
time'll	GPE	Well, the harder you works, the quicker the time'll pass by. Theer's nuthin' to grizzle at.	120	Time, Rogaland, NOR	Locality	City					Time	Rogaland	Norge	NOR	5.644310000000075	58.736590000000035	85.79	
