Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Lank	GPE	Lank and long is Birdalone the sweet, with legs that	45	Lank, Lübtheen, Mecklenburg-Vorpommern, DEU	Locality	District				Lübtheen	Ludwigslust-Parchim	Mecklenburg-Vorpommern	Deutschland	DEU	11.058550000000025	53.27744000000007	100	
waveth	GPE	; and ah! now thou lettest it loose it waveth softly past thy fair smooth forehead and on to thy	60	Wapeth Bua Phueng Phatthana Soi 7, Bang Nam Phueng, Phra Pradaeng, Samut Prakan 10130, THA	POI	Specialty Store	Bua Phueng Phatthana Soi 7	Bua Phueng Phatthana Soi 7		Bang Nam Phueng	Phra Pradaeng	Samut Prakan	Thailand	THA	100.57830000000007	13.682710000000043	83.33	
hideth	GPE	, and is not stayed by thy girdlestead, but hideth nought of thy knees, and thy legs shapely thin	60	Hideta, Tsukidatemachimiyoda, Date, Fukushima, JPN	Locality	Neighborhood	Hideta					Fukushima	Japan	JPN	140.60413202600012	37.749614303000044	83.33	
Habundia	GPE	seen thee at all. Yea, forsooth, said Habundia, for I myself were most fain to see thee	64	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
Habundia	GPE	friend looked on her kindly. She said presently: Habundia, thou seest I am hard bestead; give me	65	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
Habundia	GPE	It went with Birdalone as Habundia had foretold, for she came home to the house	69	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
oakland	GPE	wood thereby, and win her way up into the oakland whereas she had met Habundia, and perchance she might	89	Oakland, CA, USA	Locality	City				Oakland	Alameda County	California	United States	USA	-122.27306999999996	37.80508000000003	100	
Habundia	GPE	her way up into the oakland whereas she had met Habundia, and perchance she might happen on her; for	89	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
Habundia	GPE	the tidings. And ever she called to mind what Habundia had said to her, that it was by water	93	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
Habundia	GPE	into the wood, and forgat not the tress of Habundia’s hair; but she had no need to use	113	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
Habundia	GPE	was come to the Oak of Tryst, straightway came Habundia forth from the thicket, and now so like to	113	Habondia, Grundstrasse 21, 8600, Dübendorf, Zürich, CHE	POI	Pharmacy	Grundstrasse 21	Grund	21	Dübendorf	Uster	Zürich	Schweiz	CHE	8.619000000000028	47.40058000000005	87.5	
