Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Providence	GPE	, the kind of young men who are invented by Providence on purpose to marry heiresses, and who, if	26	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
ark	GPE	on its empty altar, and the place where the ark has been.	81	Arkansas, USA	Locality	State or Province						Arkansas	United States	USA	-92.43888469999996	34.899923725000065	100	
Park Lane	GPE	as he looked out from a friend's house in Park Lane across the street to the twinkle of green and the	90	Park Lane, Bury, Greater Manchester, England, GBR	Locality	District				Bury	Greater Manchester	England	United Kingdom	GBR	-2.3085410739999475	53.540650061000065	100	
Kensington	GPE	stroll across the park to Lady Pierpoint's house in Kensington.	90	Kensington, PE, CAN	Locality	City				Kensington	Prince County	Prince Edward Island	Canada	CAN	-63.635685999999964	46.43773200000004	100	
Kensington	GPE	found, but he would try the little house in Kensington. He had seen her driving alone the previous day	92	Kensington, PE, CAN	Locality	City				Kensington	Prince County	Prince Edward Island	Canada	CAN	-63.635685999999964	46.43773200000004	100	
Egypt	GPE	had quite recently returned with her daughter and niece from Egypt, where they had spent the winter months. Something	92	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
London	GPE	The blent green and gray of a May day in London had translated the prose of the Park into poetry.	93	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	you remember her; but how to bring her to London this season I don't know. I have hardly	101	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Egypt	GPE	last winter, poor child! as I was in Egypt with Sibyl. I have only just returned to England	101	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
England	GPE	Egypt with Sibyl. I have only just returned to England.”	101	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	his metal teaspoon; “will not she be in London with you this season, with your own daughters?	102	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England Spring	GPE	In England Spring is a poem. In the Highlands of Scotland she	126	Spring, Market Place, Market Rasen, Lincolnshire, England, LN8 3, GBR	POI	Clothing Store	Market Place	Market		Market Rasen	Lincolnshire	England	United Kingdom	GBR	-0.33741999999995187	53.38755000000003	100	
the Highlands of Scotland	GPE	In England Spring is a poem. In the Highlands of Scotland she has the intensity of a passion. The crags	126	The Highlands, Highland, Scotland, GBR	POI	Other Land Feature					Highland	Scotland	United Kingdom	GBR	-4.7099999999999795	57.12000000000006	99.97	
Scotland	GPE	the silver birch forgets its sadness while spring reigns in Scotland.	126	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
oatfield	GPE	, and along the edge of the little oasis of oatfield, where so many thousands of round, river-	136	Oatfield, Ennis, Clare, IRL	Locality	Village				Ennis		Clare	Ireland	IRL	-8.67790999999994	52.75466000000006	100	
London	GPE	Mr. Loftus returned to London a day or two later, and had an interview	162	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	those nine days were purposely spent by Mr. Loftus in London. He was aware that many cruel things would be	170	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	sat on the terrace at Wilderleigh on his return from London. “Yes, she, too, will presently	175	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	a burning day late in July they were married in London, for Sibyl's country place, where Mr. Loftus	181	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	its last gasp, when the day came the unfashionable London church was crammed with that “smart” world,	182	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Virginia	GPE	whatever, and then asked me the name of our Virginia creeper, and talked about flowers. I often think	211	Virginia, USA	Locality	State or Province						Virginia	United States	USA	-78.69794871299996	37.51282050400005	100	
Scotland	GPE	, while Crack, who had only just arrived from Scotland, snapped mournfully at the English flies, which tasted	219	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
England	GPE	had doubts as to whether she ought to winter in England, but not only was Sibyl herself determined so to	265	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	to do, but when Lady Pierpoint saw her in London before Christmas with a vivid colour and an elasticity of	265	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Kensington	GPE	Gresley had also declared, after a brief visit to Kensington in July during the “sales,” that she	283	Kensington, PE, CAN	Locality	City				Kensington	Prince County	Prince Edward Island	Canada	CAN	-63.635685999999964	46.43773200000004	100	
London	GPE	than the many thousands who annually make a pilgrimage to London only to be tossed on the outermost ripple of the	283	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Lisbon	GPE	heard. If she had been crossed in love at Lisbon before the earthquake, she would have regarded that upheaval	336	Lisbon, PRT	Locality	City				Lisbon	Lisbon	Lisbon	Portugal	PRT	-9.149509999999964	38.726330000000075	100	
Greenfields	GPE	on the repairs everywhere; and I am re building Greenfields and Springlands from the ground. They will get to	398	Greenfield, WI, USA	Locality	City				Greenfield	Milwaukee County	Wisconsin	United States	USA	-88.00447999999994	42.966360000000066	100	
London	GPE	suit her. He suggested that she should go to London to Lady Pierpoint's house for a few days to	441	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	dignified, the harrowing letter which she would compose in London. Parts of it, as she repeated them to	443	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
