Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	and Lord Valmond asked did any one know if the London evening papers had come. But I was not going	33	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Disgrace	GPE	Lord Valmond in Disgrace	45	Disgrace Creek, ID, USA	POI	Stream					Idaho County	Idaho	United States	USA	-115.18511999999998	45.87852000000004	82	
London	GPE	London out of Season	50	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Scotland	GPE	being shut up next week, when they go to Scotland. After lunch the girls did nothing but question me	53	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
France	GPE	when I told them I was going to stay in France with the de Croixmares. One of the Ethridge aunts	57	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Town	GPE	not a thing to do, every one having left Town, so in the evening Uncle Geoffrey took us to	58	Town, Kasungu, Central Region, MWI	Locality	Village				Kasungu		Central Region	Malawi	MWI	33.47947000000005	-13.015099999999961	100	
Heaviland Manor	GPE	see you again until next Saturday, when I leave Heaviland Manor. It is a long time.—With love from your affectionate	59	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	74.29	
Heaviland Manor	GPE	Heaviland Manor,	60	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	74.29	
France	GPE	, she said, and my going to visit in France; and so I had to bellow descriptions of your	67	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Hendon	GPE	I wonder? Because old John, the keeper at Hendon, told me once that the best fox-terriers	68	Hendon, Sunderland, Tyne & Wear, England, GBR	Locality	District				Sunderland	Tyne & Wear	England	United Kingdom	GBR	-1.3688784349999423	54.89711748700006	100	
china	GPE	a table with a Bible, and a funny old china medicine spoon, and glass and water-jug on	71	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Heaviland Manor	GPE	Heaviland Manor,	75	Manor, Palghar Sub-District, Palghar, Maharashtra, IND	Locality	District				Palghar Sub-District	Palghar	Maharashtra	India	IND	72.90881000000007	19.723160000000064	74.29	
Paris	GPE	ears, and said he would be running over to Paris about then, as he was not going to Scotland	113	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Scotland	GPE	Paris about then, as he was not going to Scotland till September, and he hoped I would let him	113	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Virginia	GPE	Paul and Virginia	114	Virginia, USA	Locality	State or Province						Virginia	United States	USA	-78.69794871299996	37.51282050400005	100	
Belvedere	GPE	other Lord Valmond and I got left alone in the Belvedere looking at the view. The others went off without	115	Belvedere, Landstraße, Vienna, AUT	POI	Landmark				Landstraße	Vienna	Vienna	Austria	AUT	16.38091000000003	48.19156000000004	100	
Virginia	GPE	very happy together on this little island like Paul and Virginia. I can't tell you, Mamma, what	115	Virginia, USA	Locality	State or Province						Virginia	United States	USA	-78.69794871299996	37.51282050400005	100	
Dieppe	GPE	. Agnès became rapidly French too directly we landed at Dieppe, and the carriage was full of stuffy people,	124	Dieppe, Seine-Maritime, Normandie, FRA	Locality	City				Dieppe	Seine-Maritime	Normandie	France	FRA	1.0776488240000504	49.92281048000007	100	
Paris	GPE	open; however, Jean was waiting for us at Paris. We snatched some food at the restaurant, and	124	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Vinant	GPE	at the restaurant, and then caught the train to Vinant. Jean is quite good-looking, but with	124	Vinzant, 904 W Old Ridge Rd, Hobart, IN, 46342, USA	POI	Other Shops and Service	904 W Old Ridge Rd	Old Ridge	904	Hobart	Lake County	Indiana	United States	USA	-87.27105899999998	41.54000000000008	85.71	
England	GPE	evening dress, or even tea-gowns like in England—it did seem strange.	125	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Ollendorfish	GPE	"had bowed a good deal, and said heaps of Ollendorfish kind of sentences, I was given some ""sirop"	126															nothing found
France	GPE	Agnès—such a conscious pride in the superiority of France—nearly drove me mad.	126	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
England	GPE	things that we would have for such a house in England. It is more like a sort of big villa	129	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
France	GPE	perhaps it is only the husbands who get it in France.	131	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Seine	GPE	we are going with them on their yacht down the Seine to-morrow. It is Jean and Héloise who	134	Seine	POI	Seamount									-14.333332999999982	33.83333300000004	100	
Seine	GPE	Dearest Mamma,—I am writing as we float down the Seine, it is too enchanting. We are a party	138	Seine	POI	Seamount									-14.333332999999982	33.83333300000004	100	
Versailles	GPE	young men, officers in the Cavalry, stationed at Versailles. One is the Vicomte Gaston de la Trémors,	138	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Empire	GPE	looks and distinction. She was a beauty under the Empire, and her feet are so small, she is	138	Empire, CA, USA	Locality	City				Empire	Stanislaus County	California	United States	USA	-120.89932999999996	37.637920000000065	100	
Paris	GPE	young people have their appartement in the Champs Elysées in Paris, and the old ones go to the family hotel	140	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
England	GPE	have a distinction and a wit quite unlike anything in England. One can see he is descended from people who	140	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	familiar than we should ever let a servant be in England. It was rough all the morning, quite waves	143	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Seine	GPE	was rough all the morning, quite waves. The Seine is only half a mile from the Château de Croixmare	143	Seine	POI	Seamount									-14.333332999999982	33.83333300000004	100	
Seine	GPE	so between the courses we washed our plates in the Seine, out of the window. It was gay!	145	Seine	POI	Seamount									-14.333332999999982	33.83333300000004	100	
Vernon	GPE	Vernon, Yacht Sauterelle,	148	Vernon, BC, CAN	Locality	City				Vernon	North Okanagan Regional District	British Columbia	Canada	CAN	-119.27178899999996	50.26679500000006	100	
Vernon	GPE	would talk to me. You would be amused at Vernon, where we stayed the night in such an inn	151	Vernon, BC, CAN	Locality	City				Vernon	North Okanagan Regional District	British Columbia	Canada	CAN	-119.27178899999996	50.26679500000006	100	
France	GPE	weather—and I wanted to hear something different in France. He seemed perfectly shocked, and hardly spoke to	156	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Empire	GPE	a little better, but then her family is only Empire, and Jean and Héloise are fairly decent.	156	Empire, CA, USA	Locality	City				Empire	Stanislaus County	California	United States	USA	-120.89932999999996	37.637920000000065	100	
Cannes	GPE	, not a bit like the people we see at Cannes, who have been much with the English. It	157	Cannes, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, FRA	Locality	City				Cannes	Alpes-Maritimes	Provence-Alpes-Côte d'Azur	France	FRA	7.012553134000029	43.55138214800007	100	
France	GPE	as usual. Perhaps she realised this part of her France was not so good as England.	157	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
England	GPE	this part of her France was not so good as England.	157	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Vernon	GPE	husbands and wives camped together. Even a place like Vernon, he said, was sufficiently enlightened to find the	164	Vernon, BC, CAN	Locality	City				Vernon	North Okanagan Regional District	British Columbia	Canada	CAN	-119.27178899999996	50.26679500000006	100	
Versailles	GPE	us for the day, to do their duty at Versailles, but are to meet us again at Rouen in	166	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Rouen	GPE	at Versailles, but are to meet us again at Rouen in the evening, with leave for a few days	166	Rouen, Seine-Maritime, Normandie, FRA	Locality	City				Rouen	Seine-Maritime	Normandie	France	FRA	1.1000601050000682	49.443503141000065	100	
Paris	GPE	and Victorine. It appears too, that when in Paris, Godmamma always drives in the Bois at the wrong	168	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Rouen	GPE	A Visit to Rouen	173	Rouen, Seine-Maritime, Normandie, FRA	Locality	City				Rouen	Seine-Maritime	Normandie	France	FRA	1.1000601050000682	49.443503141000065	100	
