Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Wrekin	GPE	in the far distance by the Clee Hills and the Wrekin, and in the farthest distance of all by the	0	Wrekin, Little Wenlock, Telford and Wrekin, England, GBR	Locality	City				Little Wenlock	Telford and Wrekin	England	United Kingdom	GBR	-2.5368499999999585	52.679880000000026	100	
England	GPE	the highest point of the highest table-land in England.	3	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Australia	GPE	George offended his father past forgiveness by running away to Australia rather than marry Maria, and there disappeared. Years	4	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
Grove	GPE	"wood was set apart by Elisabeth as ""Athene's Grove,"" and that the contents of the waste-"	14	Groves, TX, USA	Locality	City				Groves	Jefferson County	Texas	United States	USA	-93.91966999999994	29.945650000000057	100	
Epworth	GPE	of John Wesley's escape from the burning rectory at Epworth. In those days Elisabeth was so small and the	19	Epworth, Harare, ZWE	Locality	City				Harare		Harare	Zimbabwe	ZWE	31.130260000000078	-17.88176999999996	100	
Methodism	GPE	a type and an explanation of the power of early Methodism, the strength whereof lay in its marvellous capacity of	22	Methodist, Obalende Rd, Lagos, Eti-Osa, Lagos, NGA	POI	Church	Obalende Rd	Obalende		Eti-Osa		Lagos	Nigeria	NGA	3.4087800000000357	6.449300000000051	90	
London	GPE	, Emily left home, and took a situation in London as governess, in the house of some wealthy people	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	found his once beautiful sister in great poverty in a London lodging-house. She told him that she had	31	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	"as can rarely be surpassed for beauty and extent in England. But Mrs. Bateson called her front view ""lively"	157	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Providence	GPE	"that to do so was what she called ""tempting Providence."" Her theory appeared to be that as long"	162	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	""" Her theory appeared to be that as long as Providence saw you were miserable, that Power was comfortable about"	162	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	comfortable about you and let you alone; but if Providence discovered you could bear more sorrow than you were then	162	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	. Naturally, therefore, her object was to convince Providence that her cup of misery was full. But Mrs.	162	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	the sparks fly upward; and it is a funny Providence, to my mind, as ordains for women to	211	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
naughts	GPE	, to my mind. Life is made up of naughts and crosses; and the folks that get the crosses	212	Naughtys, 105 Hẻm 97 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh, 71408, VNM	POI	Clothing Store	105 Hẻm 97 Đường Nguyễn Thái Sơn	97 Đường Nguyễn Thái Sơn	105	Hồ Chí Minh		Hồ Chí Minh	Việt Nam	VNM	106.68477000000007	10.822010000000034	87.5	
naughts	GPE	the crosses are better off than those that get the naughts, though that husbands are crosses I can't pretend	212	Naughtys, 105 Hẻm 97 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh, 71408, VNM	POI	Clothing Store	105 Hẻm 97 Đường Nguyễn Thái Sơn	97 Đường Nguyễn Thái Sơn	105	Hồ Chí Minh		Hồ Chí Minh	Việt Nam	VNM	106.68477000000007	10.822010000000034	87.5	
London	GPE	-known girls' school not a hundred miles from London—so called in memory of Dr. Arnold, according	282	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Germany	GPE	had been at school, Christopher had been first in Germany and then in America, learning how to make iron	320	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
America	GPE	, Christopher had been first in Germany and then in America, learning how to make iron, so that they	320	America	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
Providence	GPE	"portion, you are tempted to doubt the workings of Providence."""	349	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Studley	GPE	of the great high road which leads from Silverhampton to Studley and Slipton and the other towns of the Black Country	371	Studley, Stratford-on-Avon, Warwickshire, England, GBR	Locality	Village				Stratford-on-Avon	Warwickshire	England	United Kingdom	GBR	-1.8967442709999318	52.27285327000004	100	
Slipton	GPE	great high road which leads from Silverhampton to Studley and Slipton and the other towns of the Black Country; but	371	Slipton, Northamptonshire, England, GBR	Locality	Village				Slipton	Northamptonshire	England	United Kingdom	GBR	-0.6039921499999537	52.40394525100004	100	
England	GPE	moat, encircling one of the most ancient houses in England. The Moat House had been vacant for some time	373	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	"in the middle of the country, which looks like London and its environs?"""	417	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Kentucky	GPE	their hearts they don't have any, like the Kentucky fish that can't see in the dark because they	456	Kentucky, USA	Locality	State or Province						Kentucky	United States	USA	-85.28762006799997	37.527232524000055	100	
Batesons	GPE	and I wrote the hymns for it myself. The Batesons wept over them and considered them inspired, and foretold	464	Bateson's Wood, Ribble Valley, Lancashire, England, GBR	POI	Forest				Ribble Valley	Lancashire	England	United Kingdom	GBR	-2.4746523709999337	53.90397096800007	72.92	
Mayday	GPE	a typical English village, noteworthy because the rites of Mayday, with May-queen and May-pole to	581	Mayday, TN, USA	Locality	Village				Mayday	Washington County	Tennessee	United States	USA	-82.49798999999996	36.217910000000074	100	
Kezia	GPE	"""Well, then, Kezia, you should be all the more ready to take"	601	Kezia, Avenida Heitor Villa Lobos 1105, São José dos Campos, São Paulo, 12243-260, BRA	POI	Clothing Store	Avenida Heitor Villa Lobos 1105	Heitor Villa Lobos	1105	São José dos Campos		São Paulo	Brasil	BRA	-45.89665999999994	-23.20345999999995	100	
Providence	GPE	mean that Caleb not only loyally supports the government of Providence, but is prepared to take office under it,	612	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Jericho	GPE	"to do with her, and she can go to Jericho for all they cares."""	619	Jericho, West Bank	Locality	City				Jericho		West Bank			35.461730000000045	31.856210000000033	100	
consolin	GPE	". ""Law! Mr. Bateson, that's a consolin' way of looking at things, and I only"	629	Consolini, Via Guglielmo Marconi, 25039, Travagliato, Brescia, ITA	POI	Butcher	Via Guglielmo Marconi	Guglielmo Marconi		Travagliato	Brescia	Lombardia	Italia	ITA	10.081050000000062	45.523630000000026	90	
Thy Kingdom	GPE	Thy Hands; but he is not very far from Thy Kingdom. Lead him, Heavenly Father, in the way	656	Kingdom, Town of Warren, NY, USA	Locality	Village				Town of Warren	Herkimer County	New York	United States	USA	-74.97586999999999	42.929320000000075	88	
Badgering Woods	GPE	walking together—as they walked not unfrequently—in Badgering Woods.	659	Woods, Choctaw, OK, USA	Locality	Village				Choctaw	Oklahoma County	Oklahoma	United States	USA	-97.26441999999997	35.435290000000066	74.29	
Thames	GPE	"culture or no culture—I mean to set the Thames on fire some day."""	671	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
Thames	GPE	such an inferior being as a woman to set the Thames on fire at all. Then—when I've	675	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
London	GPE	all. Then—when I've done it and London is illuminated—you will write to the papers to	675	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Goring	GPE	will have notices put up all along the banks from Goring to Greenwich, 'Ladies are requested not to bring	675	Göring, Hiltpoltstein, Bayern, DEU	Locality	District				Hiltpoltstein	Forchheim	Bayern	Deutschland	DEU	11.323540000000037	49.64095000000003	100	
Greenwich	GPE	notices put up all along the banks from Goring to Greenwich, 'Ladies are requested not to bring inflammatory articles	675	Greenwich, CT, USA	Locality	City				Greenwich	Fairfield County	Connecticut	United States	USA	-73.63980999999995	41.06425000000007	100	
Thames	GPE	articles near the river; the right of setting the Thames on fire is now—as formerly—reserved specially	675	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
Thames	GPE	But now tell me; when you have set your Thames on fire, and covered yourself with laurels, and	676	Thames, Adolfo Alsina, Buenos Aires, ARG	Locality	City				Thames	Adolfo Alsina	Buenos Aires	Argentina	ARG	-63.294779999999946	-36.92563999999993	100	
England	GPE	righteousness. We are sorely in need, here in England to-day, of the Greek spirit of Pantheism	683	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	"""Puritanism has much to answer for in England,"" said Elisabeth; ""we have to thank"	685	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	turned the England of Queen Elizabeth—the most glorious England the world has ever known—into one enormous Nonconformist	687	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	ever known—into one enormous Nonconformist Conscience; and England has never been perfectly normal since. Besides, they	687	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Yorkshire	GPE	stay with Felicia Herbert, near a manufacturing town in Yorkshire. Felicia had been once or twice to the Willows	695	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
Providence	GPE	"have hearts at leisure from themselves always want to understudy Providence, you will notice."""	759	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	own, are too fond of playing the part of Providence to other people. That their motives are excellent I	761	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	"not mind their own business it doesn't follow that Providence can't either, don't you see?"""	761	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	; but not before Mrs. Herbert had decided that if Providence had selected her daughter as the consoler of Christopher's	762	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Providence	GPE	her daughter as the consoler of Christopher's sorrows, Providence must be gently and patiently reasoned with until another and	762	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Yorkshire	GPE	""" asked Elisabeth, not long after her return from Yorkshire."	789	Yorkshire, VA, USA	Locality	Village				Yorkshire	Prince William County	Virginia	United States	USA	-77.44777999999997	38.793310000000076	100	
England	GPE	us—and we have no more right to profane England's language by the introduction of coined words and slang	794	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Silverhampton	GPE	Merchester is preaching at St. Peter's Church, in Silverhampton, on St. Peter's Day, and I have	807	Wolverhampton, West Midlands, England, GBR	Locality	City				Wolverhampton	West Midlands	England	United Kingdom	GBR	-2.1299094259999265	52.58622026100005	80.15	
Silverhampton	GPE	summer afternoon, that Alan Tremaine drove Elisabeth Farringdon into Silverhampton to hear the Bishop of Merchester preach.	815	Wolverhampton, West Midlands, England, GBR	Locality	City				Wolverhampton	West Midlands	England	United Kingdom	GBR	-2.1299094259999265	52.58622026100005	80.15	
Germany	GPE	"I hope you don't think I was made in Germany, like cheap china and imitation Astrakhan."""	849	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
