Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Florence	GPE	went lame at a desolate part of the road from Florence to Bologna, he had no doubt but that somehow	0	Florence, ITA	Locality	City				Florence	Florence	Toscane	Italie	ITA	11.255010000000027	43.78237000000007	100	
Bologna	GPE	at a desolate part of the road from Florence to Bologna, he had no doubt but that somehow fortune would	0	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Bologna	GPE	"""And I must reach Bologna to-day,"" she cried in an extreme"	9	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Bologna	GPE	"for I too am in a desperate hurry to reach Bologna."""	10	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Bologna	GPE	at this hour and in such a haste to reach Bologna.	15	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Bologna	GPE	your pardon. Yes, I will drive you to Bologna if the landlord will swear to look after my horse	17	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Tuscany	GPE	"""He is more. He is of Tuscany."""	25	Tuscany, ITA	Locality	State or Province						Tuscany	Italian Republic	ITA	11.126191405000043	43.450834119000035	100	
Bologna	GPE	was used to a light fare. He drove into Bologna that afternoon.	27	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Bologna	GPE	man whom Wogan had seen laugh since he drove into Bologna, and he drew a great breath of hope.	29	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
Rome	GPE	Your postillion was Mr. Charles Wogan, who comes from Rome post-haste with the Pope's procuration for the	41	Rome, ITA	Locality	City				Rome	Rome	Latium	Italie	ITA	12.495650000000069	41.90322000000003	100	
Bologna	GPE	had been sent to fetch the Princess Clementina privately to Bologna, and here he now was back at Bologna and	50	Bologna, ITA	Locality	City				Bologna	Bologna	Emilia Romagna	Italia	ITA	11.345070000000021	44.50484000000006	100	
