Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Howards End	GPE	Howards End, Tuesday.	1	Howards End, Hilldene, eThekwini, Kwazulu Natal, 3610, ZAF	POI	Residential Area	Howards End	Howards End		eThekwini	eThekwini	Kwazulu Natal	South Africa	ZAF	30.764030000000048	-29.787979999999948	100	
London	GPE	.  How could he have got hay fever in London?  and even if he could, it seems	5	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
garlands	GPE	—magnificently tall, so that they fall down in garlands, and nice and thin at the bottom, so	7	Garlands, Carlisle, Cumbria, England, GBR	Locality	District				Carlisle	Cumbria	England	United Kingdom	GBR	-2.8823993269999733	54.87341383800003	100	
Howards End	GPE	Howards End, Friday.	9	Howards End, Hilldene, eThekwini, Kwazulu Natal, 3610, ZAF	POI	Residential Area	Howards End	Howards End		eThekwini	eThekwini	Kwazulu Natal	South Africa	ZAF	30.764030000000048	-29.787979999999948	100	
Germany	GPE	all.  Mrs. Wilcox, if quieter than in Germany, is sweeter than ever, and I never saw	11	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Howards End	GPE	Howards End, Sunday.	13	Howards End, Hilldene, eThekwini, Kwazulu Natal, 3610, ZAF	POI	Residential Area	Howards End	Howards End		eThekwini	eThekwini	Kwazulu Natal	South Africa	ZAF	30.764030000000048	-29.787979999999948	100	
Heidelberg	GPE	the Wilcoxes on an awful expedition that we made from Heidelberg to Speyer.  Helen and I had got it	22	Heidelberg, Baden-Württemberg, DEU	Locality	City				Heidelberg	Heidelberg	Baden-Württemberg	Deutschland	DEU	8.70798000000002	49.41349000000008	100	
Speyer	GPE	on an awful expedition that we made from Heidelberg to Speyer.  Helen and I had got it into our	22	Speyer, Rheinland-Pfalz, DEU	Locality	City				Speyer	Speyer	Rheinland-Pfalz	Deutschland	DEU	8.43082000000004	49.31992000000008	100	
Heidelberg	GPE	liked Helen insisting that they must fly with us to Heidelberg.  As a matter of fact, they did	24	Heidelberg, Baden-Württemberg, DEU	Locality	City				Heidelberg	Heidelberg	Baden-Württemberg	Deutschland	DEU	8.70798000000002	49.41349000000008	100	
London	GPE	broke off, and listened to the sounds of a London morning.  Their house was in Wickham Place,	25	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	piled itself higher and higher on the precious soil of London.	25	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Germany	GPE	"accord that the principles of restoration were ill understood in Germany.  ""The Germans,"" she said,"	26	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Paddington	GPE	to them alas!  we return.  In Paddington all Cornwall is latent and the remoter west; down	66	Paddington, Cheshire, England, GBR	Locality	District				Paddington	Cheshire	England	United Kingdom	GBR	-2.545203163999929	53.39910695300006	100	
Cornwall	GPE	alas!  we return.  In Paddington all Cornwall is latent and the remoter west; down the inclines	66	Cornwall, ON, CAN	Locality	City				Cornwall	Stormont, Dundas and Glengarry United Counties	Ontario	Canada	CAN	-74.73068699999999	45.02095200000008	100	
Scotland	GPE	of Liverpool Street lie fenlands and the illimitable Broads; Scotland is through the pylons of Euston; Wessex behind the	66	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
Euston	GPE	the illimitable Broads; Scotland is through the pylons of Euston; Wessex behind the poised chaos of Waterloo.  	66	Euston, West Suffolk, Suffolk, England, GBR	Locality	Village				West Suffolk	Suffolk	England	United Kingdom	GBR	0.786011343000041	52.37960584700005	100	
Waterloo	GPE	pylons of Euston; Wessex behind the poised chaos of Waterloo.  Italians realize this, as is natural;	66	Waterloo, ON, CAN	Locality	City				Waterloo	Waterloo Regional Municipality	Ontario	Canada	CAN	-80.52011799999997	43.46339800000004	100	
Berlin	GPE	who are so unfortunate as to serve as waiters in Berlin call the Anhalt Bahnhof the Stazione d'Italia, because by	66	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
Nottingham	GPE	out of politeness, invested a few hundreds in the Nottingham and Derby Railway, and though the Foreign Things did	69	Nottingham, Nottinghamshire, England, GBR	Locality	City				Nottingham	Nottinghamshire	England	United Kingdom	GBR	-1.151201227999934	52.95621587800008	100	
Nottingham	GPE	, and though the Foreign Things did admirably and the Nottingham and Derby declined with the steady dignity of which only	69	Nottingham, Nottinghamshire, England, GBR	Locality	City				Nottingham	Nottinghamshire	England	United Kingdom	GBR	-1.151201227999934	52.95621587800008	100	
Derby	GPE	though the Foreign Things did admirably and the Nottingham and Derby declined with the steady dignity of which only Home Rails	69	Derby, Derbyshire, England, GBR	Locality	City				Derby	Derbyshire	England	United Kingdom	GBR	-1.478050565999979	52.92471139500003	100	
Nottingham	GPE	being pressed, consecrated a fraction of it to the Nottingham and Derby Railway.  So far so good,	69	Nottingham, Nottinghamshire, England, GBR	Locality	City				Nottingham	Nottinghamshire	England	United Kingdom	GBR	-1.151201227999934	52.95621587800008	100	
London	GPE	coaching and pre-coaching days.  Being near London, it had not shared in the rural decay,	71	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	note.  Into which country will it lead, England or Suburbia?  It was new, it had	72	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	"give her a good scolding and take her back to London with me."""	141	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Nigeria	GPE	"""He has to make his way out in Nigeria.  He couldn't think of marrying for years"	142	Nigeria	Locality	Country							Nigeria	NGA	8.106777828000077	9.593696882000074	100	
London	GPE	"is saved this!"" which during the journey to London evolved into, ""It had to be gone through"	171	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Nigeria	GPE	He had been talking of his approaching exile in Nigeria, and he should have continued to talk of it	174	Nigeria	Locality	Country							Nigeria	NGA	8.106777828000077	9.593696882000074	100	
Thibet	GPE	; whereas they did not follow our Forward Policy in Thibet with the keen attention that it merits, and would	197	Thibet	Locality	State or Province						Bod	中國	CHN	88.00000000000006	31.666670000000067	100	
