Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Westminster	GPE	at Mr. Coverley's, sir; they go to Westminster now. One of them stayed with us last holidays	10	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
St. John's	GPE	them stayed with us last holidays. They live in St. John's Wood Park.”	10	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
London	GPE	seemed even to understand the joy of a jaunt to London for a boy who was getting very little out of	13	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	real crimes in the paper, and all thoughts of London until he found himself there too soon.	19	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Westminster	GPE	o'clock. Guy and Vivian Knaggs would be home from Westminster in another hour. Still it was no use getting	41	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
St. John's	GPE	Guy and Vivian at the end of their garden in St. John's Wood Park! And all very likely for five bob	42	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
St. John's	GPE	had not come in when Pocket finally cast up in St. John's Wood Park. But their mother was at home,	44	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
London	GPE	, she rather wondered at his being allowed alone in London at all. Pocket, who could sometimes shine in	44	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Knaggs that her own Westminster boys were allowed alone in London every day of their lives. But Mrs. Knaggs said	44	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Westminster	GPE	thought Pocket's public school must be very different from Westminster. Pocket bridled, but behaved himself; he knew	44	Westminster, CO, USA	Locality	City				Westminster	Adams County	Colorado	United States	USA	-105.05000999999999	39.86347000000006	100	
London	GPE	cast adrift at sixteen among the shoals and quicksands of London. Nor was this quite the case as yet;	59	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	of his way there; he knew hardly anything of London except St. John's Wood and his present landmark of	74	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John's	GPE	way there; he knew hardly anything of London except St. John's Wood and his present landmark of the Nelson column and	74	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
London	GPE	would sell his young life dearly if he fell among London thieves; in his death he would not be unhonoured	76	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Park	GPE	decent people to follow without further tremors into the indubitable Park.	77	PRK, MYS	Locality	State or Province						Perak	Malaysia	MYS	101.10462501200004	4.76951802800005	100	
London	GPE	know that warm and angry glow for the reflection of London's light and life; he could not forget he	80	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	and life; he could not forget he was in London for a moment. Her mighty machinery with its million	80	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	what arch in the slums, in his ignorance of London he had no idea.	96	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hyde Park	GPE	to climb every fence and look behind every bush in Hyde Park?	97	Hyde Park, UT, USA	Locality	City				Hyde Park	Cache County	Utah	United States	USA	-111.82055999999994	41.79910000000007	100	
Leicestershire	GPE	Coverley and Charles Peace and his own people down in Leicestershire.	101	Leicestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.1140699999999697	52.66667000000007	100	
Leicestershire	GPE	It so happened that his people in Leicestershire were thinking of him. They had been talking about	102	Leicestershire, England, GBR	Locality	Zone						England	United Kingdom	GBR	-1.1140699999999697	52.66667000000007	100	
Hyde Park	GPE	the very time of the boy's inconceivable meanderings in Hyde Park. And two of them were at it still.	102	Hyde Park, UT, USA	Locality	City				Hyde Park	Cache County	Utah	United States	USA	-111.82055999999994	41.79910000000007	100	
England	GPE	some mammoth forge, you were in the heart of England undefiled.	103	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	to score off me. Isn't Tony up in London to-night?”	142	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Australia	GPE	away from school altogether, and pack him off to Australia in a sailing ship. But what's to be	156	Australia	Locality	Country							Australia	AUS	134.48403119800003	-25.70993156999998	100	
