Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	couldn't get enough exercise, and the amusements of London seemed as flat as soda-water that has been	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Bulawayo	GPE	plans I had been building up those last years in Bulawayo. I had got my pile-not one of	1	Bulawayo, ZWE	Locality	City				Bulawayo		Bulawayo	Zimbabwe	ZWE	28.583960000000047	-20.148459999999943	100	
Scotland	GPE	enjoying myself. My father had brought me out from Scotland at the age of six, and I had never	1	Scotland, GBR	Locality	State or Province						Scotland	United Kingdom	GBR	-4.181296541999927	56.84002490600005	100	
England	GPE	, and I had never been home since; so England was a sort of Arabian Nights to me, and	1	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
South Africa	GPE	. They would fling me a question or two about South Africa, and then get on their own affairs. A	2	South Africa	Locality	Country							South Africa	ZAF	25.085049940000033	-28.997182287999976	100	
New Zealand	GPE	Imperialist ladies asked me to tea to meet schoolmasters from New Zealand and editors from Vancouver, and that was the dismalest	2	New Zealand	Locality	Country							New Zealand	NZL	172.34343250000006	-42.28723356399996	100	
Vancouver	GPE	tea to meet schoolmasters from New Zealand and editors from Vancouver, and that was the dismalest business of all.	2	Vancouver, BC, CAN	Locality	City				Vancouver	Greater Vancouver Regional District	British Columbia	Canada	CAN	-123.11334999999997	49.26163600000007	100	
the United Kingdom	GPE	veld, for I was the best bored man in the United Kingdom.	2	The, South Street, Bourne, Lincolnshire, England, PE10 9, GBR	POI	Bar or Pub	South Street	South		Bourne	Lincolnshire	England	United Kingdom	GBR	-0.37700999999992746	52.76737000000003	100	
Berlin	GPE	. I gathered that they hated him pretty blackly in Berlin and Vienna, but that we were going to stick	3	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
Vienna	GPE	gathered that they hated him pretty blackly in Berlin and Vienna, but that we were going to stick by him	3	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
Armageddon	GPE	said that he was the only barrier between Europe and Armageddon. I remember wondering if I could get a job	3	Armageddon, Vladimir, Vladimirskaya oblast', 600023, RUS	POI	Indoor Sports				Vladimir	Vladimir	Vladimirskaya oblast'	Rossiya	RUS	40.48992000000004	56.14227000000005	100	
Albania	GPE	a job in those parts. It struck me that Albania was the sort of place that might keep a man	3	Albania	Locality	Country							Albania	ALB	20.06420643100006	41.13455328400005	100	
Kentucky	GPE	He was an American, from Kentucky, and after college, being pretty well off,	19	Kentucky, USA	Locality	State or Province						Kentucky	United States	USA	-85.28762006799997	37.527232524000055	100	
Chicago	GPE	a bit, and acted as war correspondent for a Chicago paper, and spent a year or two in South	19	Chicago, IL, USA	Locality	City				Chicago	Cook County	Illinois	United States	USA	-87.63244999999995	41.884250000000065	100	
Russia	GPE	. The aim of the whole conspiracy was to get Russia and Germany at loggerheads.	22	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
Germany	GPE	aim of the whole conspiracy was to get Russia and Germany at loggerheads.	22	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Russia	GPE	the Jew was behind it, and the Jew hated Russia worse than hell.	23	Russia	Locality	Country							Russia	RUS	96.80537153400007	61.989526183000066	100	
the Empire of the	GPE	world just now, and he has his knife in the Empire of the Tzar, because his aunt was outraged and his father	24	The Empire, 928 S College Ave, College Place, WA, 99324, USA	POI	Repair Services	928 S College Ave	College	928	College Place	Walla Walla County	Washington	United States	USA	-118.38887199999999	46.040437000000054	82.86	
Tzar	GPE	and he has his knife in the Empire of the Tzar, because his aunt was outraged and his father flogged	24	Tzar, 15 King Street, London, England, WC2E 8, GBR	POI	Clothing Store	15 King Street	King	15	London	London	England	United Kingdom	GBR	-0.12472999999994272	51.51141000000007	100	
Berlin	GPE	, and that has upset the pretty plan laid in Berlin and Vienna. But my friends haven't played their	26	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
Vienna	GPE	that has upset the pretty plan laid in Berlin and Vienna. But my friends haven't played their last card	26	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
Vienna	GPE	evidence to show the connivance of the big folk in Vienna and Berlin. It will all be an infernal lie	36	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
Berlin	GPE	show the connivance of the big folk in Vienna and Berlin. It will all be an infernal lie, of	36	Berlin, DEU	Locality	City				Berlin	Berlin	Berlin	Deutschland	DEU	13.376910000000066	52.51604000000003	100	
London	GPE	knows the wheels of the business alive right here in London on the 15th day of June. And that man	36	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Tyrol	GPE	the first hint in an inn on the Achensee in Tyrol. That set me inquiring, and I collected my	39	Tyrol, AUT	Locality	Zone							Österreich	AUT	11.500000000000057	47.00000000000006	100	
Buda	GPE	in a fur-shop in the Galician quarter of Buda, in a Strangers” Club in Vienna, and	39	Buda, Ariceștii Rahtivani, Prahova, ROU	Locality	City				Ariceștii Rahtivani		Prahova	România	ROU	25.91760000000005	44.96457000000004	100	
Vienna	GPE	quarter of Buda, in a Strangers” Club in Vienna, and in a little bookshop off the Racknitzstrasse in	39	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
Leipsic	GPE	, and in a little bookshop off the Racknitzstrasse in Leipsic. I completed my evidence ten days ago in Paris	39	Leipsic, OH, USA	Locality	City				Leipsic	Putnam County	Ohio	United States	USA	-83.98360999999994	41.099140000000034	100	
Paris	GPE	Leipsic. I completed my evidence ten days ago in Paris. I can't tell you the details now,	39	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	this city by a mighty queer circuit. I left Paris a dandified young French-American, and I sailed	39	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Hamburg	GPE	dandified young French-American, and I sailed from Hamburg a Jew diamond merchant. In Norway I was an	39	Hamburg, DEU	Locality	City				Hamburg	Hamburg	Hamburg	Deutschland	DEU	9.987450000000024	53.55562000000003	100	
Norway	GPE	I sailed from Hamburg a Jew diamond merchant. In Norway I was an English student of Ibsen collecting materials for	39	Norway	Locality	Country							Kingdom of Norway	NOR	10.000000000000057	62.00000000000006	100	
Bergen	GPE	Ibsen collecting materials for lectures, but when I left Bergen I was a cinema-man with special ski films	39	Bergen, Vestland, NOR	Locality	City					Bergen	Vestland	Norge	NOR	5.332880000000046	60.39078000000006	100	
