Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
British Empire	GPE	Arabs, but as loyal a subject of the complex British Empire as you could find east of the Suez Canal.	5	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	100	
Chinamen	GPE	tiffin time. He was there on duty overlooking the Chinamen servants. The tiffin was laid on one end only	42	The Chinamens, New South Wales, AUS	POI	Island						New South Wales	Australia	AUS	153.57620000000009	-28.83179999999993	87.71	
Providence	GPE	one so full of dignity for the station in life Providence had been pleased to place him in. I had	43	Providence, RI, USA	Locality	City				Providence	Providence County	Rhode Island	United States	USA	-71.41197999999997	41.82388000000003	100	
Palawan	GPE	ship, for instance, bound on a trip to Palawan or somewhere that way would have Captain Giles on board	45	Palawan, Mimaropa, PHL	Locality	County					Palawan	Mimaropa	Philippines	PHL	118.74846930600006	9.981077885000047	100	
us	GPE	of an unhappy goat nearer to the table and addressed us dolefully. His object was to unburden himself of his	51	US	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
Chinamen	GPE	leaving the supine stranger to be dealt with by the Chinamen. The last thing I saw they had put a	53	The Chinamens, New South Wales, AUS	POI	Island						New South Wales	Australia	AUS	153.57620000000009	-28.83179999999993	87.71	
Kent	GPE	slowly. “No, not likely either, with Kent. Kent is no end sorry you left him.	83	Kent, England, GBR	Locality	Zone						England	United Kingdom	GBR	0.7239300000000526	51.23667000000006	100	
Philistinish	GPE	and the man himself ran out of his stuffy, Philistinish lair in his absurd, hunted-animal manner,	133															nothing found
Bangkok	GPE	that the master of a British ship having died in Bangkok the Consul-General had cabled to him a request	188	Bangkok, Phra Nakhon, Bangkok, THA	Locality	City					Phra Nakhon	Bangkok	Kingdom of Thailand	THA	100.50483000000008	13.753360000000043	100	
Bangkok	GPE	with great alacrity. The steamer Melita was leaving for Bangkok that evening about seven. He would request her captain	191	Bangkok, Phra Nakhon, Bangkok, THA	Locality	City					Phra Nakhon	Bangkok	Kingdom of Thailand	THA	100.50483000000008	13.753360000000043	100	
Bangkok	GPE	He remarked casually that from Bangkok to the Indian Ocean was a pretty long step.	274	Bangkok, Phra Nakhon, Bangkok, THA	Locality	City					Phra Nakhon	Bangkok	Kingdom of Thailand	THA	100.50483000000008	13.753360000000043	100	
Bangkok	GPE	of my ship, though I knew that being in Bangkok every fortnight or so he must have known her by	298	Bangkok, Phra Nakhon, Bangkok, THA	Locality	City					Phra Nakhon	Bangkok	Kingdom of Thailand	THA	100.50483000000008	13.753360000000043	100	
Chinamen	GPE	made of. For who on earth would dream of Chinamen? . . .	317	The Chinamens, New South Wales, AUS	POI	Island						New South Wales	Australia	AUS	153.57620000000009	-28.83179999999993	87.71	
Haiphong	GPE	an artist, but a lover as well. In Haiphong, when they got there after a course of most	366	Haiphong, VNM	Locality	City				Haiphong		Haiphong	Socialist Republic of Vietnam	VNM	106.68345000000005	20.864810000000034	100	
Haiphong	GPE	it existed in the shape of a photograph taken in Haiphong. Mr. Burns found it in one of the drawers	366	Haiphong, VNM	Locality	City				Haiphong		Haiphong	Socialist Republic of Vietnam	VNM	106.68345000000005	20.864810000000034	100	
Hong-Kong	GPE	had made up his mind to take the ship to Hong-Kong and drydock her there.	369	Hong Kong	Locality	Country							Hong Kong SAR	HKG	114.1193859870001	22.351958323000076	100	
Hong-Kong	GPE	into despair. For indeed, to beat up to Hong-Kong against a fierce monsoon, with a ship not sufficiently	370	Hong Kong	Locality	Country							Hong Kong SAR	HKG	114.1193859870001	22.351958323000076	100	
