Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Paris	GPE	Paris hints of sacrifice. — But here we deal with	0	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
America	GPE	corner. — Its rent is half paid by America. Germany occupies a sensible apartment on the second	2	America	Locality	Country							United States	USA	-99.41461918999994	39.39870315600007	100	
Germany	GPE	— Its rent is half paid by America. Germany occupies a sensible apartment on the second floor.	2	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
London	GPE	“How is London looking, then ?”	7	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Cambridge	GPE	n’t there the whole time. — I was in Cambridge last week.”	8	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Cambridge	GPE	go to perdition from time to time, instead of Cambridge, as it always is, you grim, grim	9	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Berne	GPE	They went to the Berne to have a drink.	10	Berne, CHE	Locality	City				Berne	Bern-Mittelland	Berne	Suisse	CHE	7.44046000000003	46.94843000000003	100	
Cambridge	GPE	This was Alan Hobson’s outfit. — A Cambridge cut disfigured his originally manly and melodramatic form.	14	Cambridge, Cambridgeshire, England, GBR	Locality	City				Cambridge	Cambridgeshire	England	United Kingdom	GBR	0.11970858700004783	52.204875135000066	100	
Egypt	GPE	. His father was a wealthy merchant somewhere in Egypt. He was very athletic, and his dark and	14	Egypt	Locality	Country							Arab Republic of Egypt	EGY	29.870494860000065	26.512273493000066	100	
villainies	GPE	constructed by Nature as a lurking-place for villainies and passions. He was untrue to his rascally	14	Villaines, Mayenne, Loire, FRA	Locality	City				Villaines	Mayenne	Loire	France	FRA	-0.2796199999999658	48.34486000000004	91.2	
panama	GPE	a short sea  voyage, an absence, a panama hat on his companion’s head, had been	16	Panamá	Locality	Country							Panamá	PAN	-79.97292613699994	8.939604460000055	100	
