Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	Educated at a small private school in the suburbs of London, his record for conduct was practically spotless and he	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	was transferred to a desk in the office of a London insurance company. His preceptor-in-chief,	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Camberwell	GPE	speculation. His own domicile being in the region of Camberwell, he did not return to it after office hours	30	Camberwell, Melbourne, Victoria, AUS	Locality	District				Melbourne		Victoria	Australia	AUS	145.0625100000001	-37.83629999999994	100	
Bloomsbury	GPE	Faraday's lodgings in a mournful side-street in Bloomsbury. A shabby maid-servant ushered him upstairs to	30	Bloomsbury, Camden, Greater London, England, GBR	Locality	District				Camden	Greater London	England	United Kingdom	GBR	-0.1269304319999378	51.520867191000036	100	
Camberwell	GPE	without thought of the Social Revolution, went daily from Camberwell to the City and back from the City to Camberwell	44	Camberwell, Melbourne, Victoria, AUS	Locality	District				Melbourne		Victoria	Australia	AUS	145.0625100000001	-37.83629999999994	100	
Camberwell	GPE	Camberwell to the City and back from the City to Camberwell.... As time went on, he was entrusted with	44	Camberwell, Melbourne, Victoria, AUS	Locality	District				Melbourne		Victoria	Australia	AUS	145.0625100000001	-37.83629999999994	100	
China	GPE	could have been more ideally peaceful than the relations of China and England during the Middle Ages—for the simple	54	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
England	GPE	been more ideally peaceful than the relations of China and England during the Middle Ages—for the simple reason that	54	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
China	GPE	during the Middle Ages—for the simple reason that China and England knew absolutely nothing of each other. In	54	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
England	GPE	Middle Ages—for the simple reason that China and England knew absolutely nothing of each other. In the same	54	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Germany	GPE	degree, Griselda and William had a friendly feeling for Germany and the German people. They had never been to	54	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Germany	GPE	and the German people. They had never been to Germany and knew nothing of her history or politics; but	54	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
Rhine	GPE	on the banks of the Rhine. And—the Rhine being some way off—they liked them.	54	Rhine, WI, USA	Locality	City				Town of Rhine	Sheboygan County	Wisconsin	United States	USA	-87.98256999999995	43.86206000000004	100	
Battersea Park	GPE	dreaming dreams. That evening, on the bench in Battersea Park, they had dreamed their dreams—while their consciences	59	Battersea Park, London, England, SW11 4, GBR	POI	Tourist Attraction				London	London	England	United Kingdom	GBR	-0.15638999999993075	51.47585000000004	100	
Dover	GPE	They left by an afternoon train for Dover and crossed the next day to Ostend.	85	Dover, Kent, England, GBR	Locality	City				Dover	Kent	England	United Kingdom	GBR	1.3084585650000236	51.12814449600006	100	
Ostend	GPE	afternoon train for Dover and crossed the next day to Ostend.	85	Ostend, BEL	Locality	City				Ostend	West-Vlaanderen	Vlaams Gewest	België	BEL	2.927000000000021	51.21551000000005	100	
London	GPE	she was not plying her epoch-making activities in London, Vienna, or New York. A week once	86	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Vienna	GPE	not plying her epoch-making activities in London, Vienna, or New York. A week once a year	86	Vienna, AUT	Locality	City				Vienna	Vienna	Vienna	Austria	AUT	16.36842000000007	48.202630000000056	100	
New York	GPE	epoch-making activities in London, Vienna, or New York. A week once a year was about all the	86	New York, NY, USA	Locality	City				New York	New York County	New York	United States	USA	-74.00711999999999	40.714530000000025	100	
Holland—-jumped	GPE	foreign parts was limited to an International Socialist Congress in Holland—-jumped gladly in unison with her. Madame Amberg beamed with	86	Jumper, Noordbargerstraat 11, 7811 KE Emmen, NLD	POI	Pet Store	Noordbargerstraat 11	Noordbargerstraat	11	Emmen	Emmen	Drenthe	Nederland	NLD	6.895000000000039	52.77630000000005	85.42	
Dover	GPE	Heaven smiled on the opening of their married life; Dover was a receding beauty in the distance and the Channel	87	Dover, Kent, England, GBR	Locality	City				Dover	Kent	England	United Kingdom	GBR	1.3084585650000236	51.12814449600006	100	
Brussels	GPE	second-class carriage, with instructions to change at Brussels; and, having changed obediently, were in due	87	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Namur	GPE	changed obediently, were in due course set down at Namur. Madame Amberg had advised them to lodge with economy	87	Namur, BEL	Locality	City				Namur	Namur	Wallonie	Belgique	BEL	4.872583323000072	50.460442399000044	100	
Liverpool	GPE	of one picture-postcard despatched by Madame Amberg from Liverpool at the moment of her embarkation for an extended lecture	99	Liverpool, Merseyside, England, GBR	Locality	City				Liverpool	Merseyside	England	United Kingdom	GBR	-2.9784949999999526	53.40936677000008	100	
States	GPE	of her embarkation for an extended lecture tour in the States. It was sent three days after their wedding,	99	States, Bellmead, TX, USA	Locality	Neighborhood				Bellmead	McLennan County	Texas	United States	USA	-97.08363999999995	31.620480000000043	100	
Brussels	GPE	settle. Their first impatient impulse was to leave for Brussels on the morrow, but on consideration they decided that	105	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Brussels	GPE	time-table revealed the fact that the connection with Brussels—the only tolerable connection—meant a start in	105	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Liège	GPE	in the melting-pot and the Kaiser battered at Liège.	109	Liège, BEL	Locality	City				Liège	Liège	Wallonie	Belgique	BEL	5.590462810000076	50.63176777000007	100	
London	GPE	! it's lovely to think we shall be in London so soon. How I would love a strawberry ice	130	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
china	GPE	the clock on the mantelpiece had departed; and the china cupboard standing wide open was rifled of part of its	146	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
London	GPE	Thus to their pleasure at the thought of noise and London was added relief at the prospect of escape from a	164	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Brussels	GPE	was but little temptation to risk the loss of the Brussels train by lingering over the table and less than five	165	Brussels, BEL	Locality	City				Brussels	Brussels	Brussels	Belgium	BEL	4.406264339000074	50.89806471000003	100	
Britain	GPE	would have been impossible in any but a native of Britain. He came of a class—the English lower	176	Britain	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100	
London	GPE	as she had wriggled aforetime in the hands of a London policeman, and kicking him deftly on the shins as	180	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"""London,"" he ejaculated suddenly, pronouncing the vowels in"	184	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"""London!"" his companion echoed him—and then,"	185	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	"of the morning; ""English—you come from London? ... I have been two years in London;"	187	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	from London? ... I have been two years in London; that is why I speak English. I was	187	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
