Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Manchester	GPE	married to an engineer, and had to live in Manchester, Mr. Denham?”	3	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	Is there no retired schoolmaster or man of letters in Manchester with whom she could read Persian?”	4	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	cousin of ours has married and gone to live in Manchester,” Katharine explained. Mr. Denham muttered something,	5	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	“Have you ever been to Manchester?” he asked Katharine.	6	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
china	GPE	teacup, so that there was danger lest the thin china might cave inwards. She could see that he was	9	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Manchester	GPE	think there would be no one to talk to in Manchester,” she replied at random. Mr. Fortescue had	10	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
Manchester	GPE	he depicted, first the horrors of the streets of Manchester, and then the bare, immense moors on the	11	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
London	GPE	change by degrees, and how she would fly to London, and how Katharine would have to lead her about	11	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	I told her she would find the nice things of London without the horrid streets that depress one so.”	12	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Manchester	GPE	generally antipathetic to him. The talk had passed over Manchester, after dealing with it very generously.	16	Manchester, Greater Manchester, England, GBR	Locality	City				Manchester	Greater Manchester	England	United Kingdom	GBR	-2.245275941999978	53.47895622000004	100	
England	GPE	you come of one of the most distinguished families in England. There are the Warburtons and the Mannings—and	39	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
china	GPE	no notice of it. “Books, pictures, china, manuscripts, and the very chair that Mary Queen	85	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
England	GPE	of belonging to one of the most distinguished families in England, and if any one will take the trouble to	161	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	great writer, a poet eminent among the poets of England, a Richard Alardyce; and having produced him,	161	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
