Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	MY watch has needed winding only twice since I left London, and already, as I sit here in the	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	for ever complaining of the necessity that kept me in London. How I would deliver myself to a congenial friend	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Euston	GPE	a cab hurried me through the Tottenham Court Road to Euston the smile which I turned to the never-ending	0	Euston, West Suffolk, Suffolk, England, GBR	Locality	Village				West Suffolk	Suffolk	England	United Kingdom	GBR	0.786011343000041	52.37960584700005	100	
London	GPE	"Is Love Lust?"" For it is now a London of coloured drawings of men about to murder or be"	0	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Euston	GPE	And even the entrance of Euston, rebuilt and newly painted, gave my eyes only	1	Euston, West Suffolk, Suffolk, England, GBR	Locality	Village				West Suffolk	Suffolk	England	United Kingdom	GBR	0.786011343000041	52.37960584700005	100	
London	GPE	my eyes, and was glad that I was leaving London.	1	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	window, and fixed itself upon my pleasure at leaving London; and very soon I realised that this was the	2	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	that I should not spend so many months away from London as my late depression had imagined. Then up will	2	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	I was already thinking of how I would return to London next year in the spring. What I would do	3	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	even I had come to think of the pleasures that London in early summer has in store for all who care	3	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	many years past when I first came to live in London. I am bitter about those first months, and	5	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	about those first months, and will not easily forgive London for them; and if any young person shall begin	5	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Kensington	GPE	"-long friends of the family who have houses in Kensington and Hampstead, and ""nice"" parquet floors on"	5	Kensington, PE, CAN	Locality	City				Kensington	Prince County	Prince Edward Island	Canada	CAN	-63.635685999999964	46.43773200000004	100	
