Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error	file
sleepeth	GPE	"under the care of one who slumbereth not, nor sleepeth, and to Him I confidently commit myself."""	1172															nothing found	ENG18410_Sinclair_geo.tsv
St. Abbsbury	GPE	family coach trundling slowly back at a funeral pace to St. Abbsbury, where the lodge-keeper despondingly counts heads as	1237															nothing found	ENG18410_Sinclair_geo.tsv
apoplexy	GPE	had a quarrel. The Marquis is so afraid of apoplexy, that when he walks out the Abbe Mordaunt always	1308															nothing found	ENG18410_Sinclair_geo.tsv
apoplexy	GPE	back in a violent spasm, the immediate precursor of apoplexy.	1833															nothing found	ENG18410_Sinclair_geo.tsv
burthens	GPE	people, and he yields his quota to the public burthens.	179															nothing found	ENG18440_Disraeli_geo.tsv
Mediocrities	GPE	presided, rather than ruled, over this Cabinet of Mediocrities, became hourly more conscious that the inevitable transition from	379															nothing found	ENG18440_Disraeli_geo.tsv
Mediocrities	GPE	influence, soon led to a further weeding of the Mediocrities, and among other introductions to the memorable entrance of	385															nothing found	ENG18440_Disraeli_geo.tsv
Leontium	GPE	. There was not a free lady of Greece; Leontium and Phryne, Lais, Danae, and Lamia;	1643															nothing found	ENG18440_Disraeli_geo.tsv
child?—no	GPE	"asked her, ""Can you keep a secret, child?—no, no, I dare not trust you yet:"	119															nothing found	ENG18411_Tupper_geo.tsv
joggraphy	GPE	“It’s called so in joggraphy,” said Juggins.	974															nothing found	ENG18450_Disraeli_geo.tsv
Blugsby	GPE	“Blugsby! Oh, Blugsby dined with Peel,” said Jermyn.	1479															nothing found	ENG18450_Disraeli_geo.tsv
Blugsby	GPE	We don’t dine our men half enough. Now Blugsby was just the sort of fellow to be caught by	1480															nothing found	ENG18450_Disraeli_geo.tsv
sleepeth	GPE	Wyndham. Even now it is not dead, but sleepeth; and in an age of political materialism, of	1954															nothing found	ENG18450_Disraeli_geo.tsv
honour,—a pleasure,—a	GPE	” said Egremont much moved, “that is an honour,—a pleasure,—a reward, I never could have even hoped to have	2045															nothing found	ENG18450_Disraeli_geo.tsv
Unmannerly	GPE	“Unmannerly churl!” exclaimed Sybil starting in her chair,	2144															nothing found	ENG18450_Disraeli_geo.tsv
Moslemin	GPE	announce the great event. Every artisan felt as a Moslemin summoned by the sacred standard. All went forth with	2484															nothing found	ENG18450_Disraeli_geo.tsv
somethink preposterious	GPE	"head gravely, ""I'm very much afeerd that somethink preposterious is going to incur. I could not remain a"	194															nothing found	ENG18460_Reynolds_geo.tsv
mud,—the	GPE	-end streets, and the paupers cleansing away the mud,—the funeral procession, and the bridal cavalcade,—the wealthy and high	1397															nothing found	ENG18460_Reynolds_geo.tsv
