Location,ent_type,context,p_no
Edinburgh,GPE,"his favorite arm chair at the United Service Club in Edinburgh, his eye rested with a look of kindling amazement",0
Portobello,GPE,", at a retired mansion in the marine village of Portobello. Though frequently and most severely wounded in battle,",1
"flames—""I",GPE,"an obvious wish that it might be consumed in the flames—""I hope this is only the work of some wretched penny",2
the-moon,LOC,"for, and yet to see that proud snuff-the-moon look of his, you would suppose the world scarcely",8
kalydor,GPE,"fortune of a dentist, and complexions that Rowland's kalydor could not improve. Ten years hence, I shall",17
Agnes,LOC,"not quite customary, let your intentions be limited to Agnes. She is several years the eldest; and I",18
Agnes,LOC,"remaining days. I must begin match-making for Agnes, however, directly, and your offer shall be",18
Portobello,GPE,"tells me you keep a capital chop-house at Portobello, so pray invite me to drop in some day",19
Portobello,GPE,"of all dull places, the little obscure village of Portobello, with your august presence, only yesterday. I",20
Portobello,GPE,still have a tooth left for his proposed dinner at Portobello.,27
Spain,GPE,"almost apply to my little villa that favourite saying in Spain,",31
Edinburgh,GPE,"that Sir Patrick's embarrassments had caused him to leave Edinburgh by moonlight, and that, soon after, Mr.",33
Dublin,GPE,disgrace; and soon after both joined their regiment at Dublin.,36
battle-dore,GPE,"law-suit may be compared to a game at battle-dore between the tribunals of England and Scotland, while the",39
England,GPE,"a game at battle-dore between the tribunals of England and Scotland, while the gaping client sees the shuttle",39
Scotland,GPE,"at battle-dore between the tribunals of England and Scotland, while the gaping client sees the shuttle-cock",39
Yorkshire,GPE,"on his moors in Argyleshire, Mid-Lothian, Yorkshire, Galloway, Cromarty, and Caithness, but except",45
Yorkshire,GPE,"in an almost menial capacity at Beaujolie Castle, in Yorkshire, where, as they could neither be drowned like",47
"measles,—he",GPE,"remembered that neither Louis nor Caroline had yet endured the measles,—he thought their Shetland ponies very dangerous, and, in",52
Shetland,LOC,"Louis nor Caroline had yet endured the measles,—he thought their Shetland ponies very dangerous, and, in short, if",52
Edinburgh,GPE,", then on a visit at Kilmarnock Abbey, near Edinburgh. The Abbe was said to have missed some valuable",53
"room,—a",GPE,"accused both the Anstruthers of having been seen in her room,—a large sum of money, it was hinted, had",53
Kilmarnock Abbey,GPE,"on a few hours' notice from the splendors of Kilmarnock Abbey, to a small obscure lodging at Portobello. As",53
Portobello,LOC,"of Kilmarnock Abbey, to a small obscure lodging at Portobello. As Ernest was about to leave that house which",53
Kilmarnock Abbey,GPE,"be ascertained, except that they returned no more to Kilmarnock Abbey, and that a final extinguisher had been placed on",54
Edinburgh,GPE,"according to the estimate formed of it in many an Edinburgh drawing-room, it would have brought a very",64
Edinburgh,GPE,"."" It might have been supposed by strangers in Edinburgh, that there was but one marquisate in Britain,",64
Britain,GPE,"in Edinburgh, that there was but one marquisate in Britain, so frequently were the strawberry-leaves of Lord",64
Edinburgh,GPE,"more astonishing than to find how much was known in Edinburgh concerning the modes of life, temper, and character",66
Edinburgh,GPE,"had a finger-ache, it was magnified in Edinburgh into a case of certain death; but after a",66
Edinburgh,GPE,"Crespigny seemed, at the ""dignity dinners"" in Edinburgh, to live for no other object on earth,",71
Britain,GPE,"Doncaster often dryly remarked, that the best economist in Britain must certainly be Louis De Crespigny, as, to",76
London,GPE,"who hires his own stall at the opera during the London season, and enjoys a salary and perquisites amounting to",77
Providence,GPE,"done in the mean time, trusting that a wise Providence, who cast him on my care and kindness,",122
London,GPE,or not. At length some perfectly new murders from London came on the tapis in society; those who liked,143
Portobello,GPE,"group of young friends assembled together on the shore of Portobello, building houses of sand, or running eagerly in",147
Great Britain,GPE,"revolution, were about finally to drop their extinguisher over Great Britain. Sir Arthur had read the same thing in different",149
Leith,GPE,"hearing of his alarm, that on the road to Leith, half an hour before, he had observed a",153
Scotland,GPE,it seemed as if all the meritorious young men in Scotland happened at that very time to be looking out for,166
Sea,LOC,"Sir Arthur, of Sinbad's Old Man of the Sea. It seems impossible to get handsomely rid of him",176
