Location,ent_type,context,p_no
England,GPE,"pleasant little watering-place on the southern coast of England, entirely suitable for those who have small incomes and",0
Heights,GPE,": there are, on one flank, the breezy Heights, with flag-staff and panorama; on the",1
Pacton Park,LOC,"the sea between its tortuous banks: for neighbourhood, Pacton Park is one great attraction—the pretty market-town",1
Eyemouth,GPE,"one great attraction—the pretty market-town of Eyemouth another—the everlasting, never-tiring sea a",1
Devonshire,GPE,"; and, at high-summer, when the Devonshire lanes are not knee-deep in mire, the",1
Oxton,GPE,"filthy, though picturesque, mud-built village of Oxton.",1
Great Britain,GPE,", that Victoria sits upon the ""musnud"" of Great Britain; you may order curry in the smallest pot-",3
India,GPE,"Tracy was still drinking ""Hodgson's Pale"" in India, was so taciturn as to be considered almost dumb",4
Burleigh,LOC,"Nevertheless, with reference to quartering at Burleigh, a certain long-neglected wife of his,",5
Madras,GPE,"must be on his way back to the Presidency of Madras, and—if she will not follow him—",7
Plymouth Sound,GPE,"her eyes, bade adieu to her retreating lord in Plymouth Sound, and determined to abide, with other expectant dames",11
Burleigh,LOC,", or he return to her: for pleasant little Burleigh, besides its contiguity to arriving Indiamen, was advantageous",11
Indiamen,LOC,"for pleasant little Burleigh, besides its contiguity to arriving Indiamen, was advantageous as being the dwelling-place of",11
India,GPE,"the first year of absence, ship-letters and India-letters arrived duteously in consecutive succession: but somehow",12
Burleigh,LOC,"live to a hundred, kept her as before at Burleigh: and, seeing that a few months after the",12
Burleigh,LOC,"a brace of boys—were born and bred at Burleigh, and had attained severally to twenty years of age",12
Iceland,GPE,"at birth, and require as different a treatment as Iceland moss from cactuses, or bull-dogs from bull",14
Otranto,GPE,and the giant grown too big for that castle of Otranto; so he must go at any rate; and,14
India,GPE,", a few months after Captain Tracy sailed away for India some full score of years, and more, from",16
innoffensive,GPE,"-pated young book-worm; the sympathizing, innoffensive, gentle heart, whose effort still it was to",17
Charles,GPE,"chivalry, and nobleness of mind which shone supreme in Charles. How would Julian have acted in such a case",22
E.I.M.,GPE,"""The Sir William Elphinston, E.I.M.",29
India,GPE,"an out-of-the-way part of India, where there is little communication with Europe, and",30
Europe,LOC,"part of India, where there is little communication with Europe, and so you will excuse my not writing.",30
Plymouth,GPE,". We hope to find ourselves to-night in Plymouth roads, where I shall get into a pilot-",30
India,GPE,"P.S.2.—I bring with me the daughter of a friend in India, who is come over for a year or two",33
India,GPE,"so long been satisfied with receiving quarterly pay from the India agents, that she forgot it was an evidence of",35
India,GPE,"he ever had seemed to have been left behind in India—that new world, around which now all his",44
Charles,GPE,"remembrances revolved; and the reserve (clearly rëproduced in Charles), the habit of silence whereof we took due",44
India,GPE,", an easy chair, and an ordnance map of India, with Emily beside him to talk about old times",44
Hindostan,GPE,", home. Often, in some strange dialect of Hindostan, did they converse together, of old times and",57
Hindostan,GPE,"with him into the past, and the sports of Hindostan: they reminded him, simply, of his wife",58
Trinchinopoli,GPE,"possessed great wealth was evident: such jewellery, such Trinchinopoli chains, such a blaze of diamonds en suite,",64
Devonshire,GPE,", and other oriental finery, had never shone on Devonshire before: at the Eyemouth ball, men worshipped her",64
Burleigh,LOC,"precious Emily!"" They were now far away from Burleigh, in the fields; and he seized her hand",93
Pindarree,GPE,"-hunts, and incursions of Scindian tribes, and Pindarree chieftains taken captive, and wounded soldiers brought into the",118
child?—no,GPE,"asked her, ""Can you keep a secret, child?—no, no, I dare not trust you yet:",119
Madras,GPE,"he was so angry that he discharged nurse Mackie at Madras, directly he arrived there to take ship for England",120
England,GPE,"Madras, directly he arrived there to take ship for England.",120
Madras,GPE,"so he pensioned her off, and left her at Madras, giving somebody strict orders not to let her follow",121
Indiaman,LOC,found ourselves at length in Plymouth Sound; left the Indiaman to go up the channel; and I suppose the,124
East,LOC,"brains about. Emily might be a queen of the East, defrauded of hereditary glories, and at any rate",125
Madras,GPE,"will; at once too. I'm off to Madras by next packet; or, that is to say",130
East India Bonds,LOC,"house, and enabled the general to nurse his own East India Bonds right comfortably. But still the old aunt would not",140
Providence,GPE,"my Emmy, the way is clear to us; Providence has sent me this, that I may right you",164
India,GPE,"not be told my destination yet awhile, until 'India' appears upon the post-mark. How glad",164
London,GPE,"preferring to order down, from an outfitting house in London, a regular kit of cadet's necessaries, to",166
Plymouth,GPE,", to wait for him at the Europe Hotel, Plymouth, on a certain day in the ensuing week.",166
Plymouth,GPE,", he might depart quietly some evening, get to Plymouth in a prëconcerted way, by chaise or coach,",166
Indies,GPE,"-shore, and then—hey, for the Indies!",166
Madras,GPE,"Emmy furnished Charles with letters to certain useful people at Madras, and in particular to the ""somebody"" who",168
Indiaman,LOC,The important evening arrived; for the Indiaman—it was our old friend Sir William Elphinston—,169
Plymouth,GPE,"our old friend Sir William Elphinston—would be off Plymouth, next morning: the goods had been, for",169
Europe,LOC,"for a day or two, safely deposited at the Europe, as per invoice, all paid: the lovers",169
Burleigh,LOC,"pilgrimage, or some charitable mission. But they left Burleigh behind them—and got upon the common—and",176
sirrah,GPE,"""And, sirrah,"" the brother hoarsely added, ""she—",180
Burleigh,LOC,"into the river, and then hastily ran back to Burleigh, feeling like a Cain.",193
India,GPE,"of Emily's attachment, and those gorgeous mysteries in India, of adventure, enterprise, escape, had heretofore",195
Plymouth,GPE,until gray of morning's dawn revealed the suburbs of Plymouth.,196
Europe,LOC,"the morning he presented himself among his luggage at the Europe in gentlemanly trim, and soon got all on board",199
Indiaman,LOC,"all on board the pilot boat, to meet the Indiaman just outside the breakwater. We may safely leave him",199
Oxton,GPE,": let's see, we strolled together midway to Oxton, and, as he was going somewhat further,",208
Burleigh,LOC,to seek for him: and another—and all Burleigh was a-stir: and another—and the,213
Oxford,GPE,he might turn up yet: perhaps he was at Oxford.,214
Indiaman,LOC,", and wealth, and safe arrival on board the Indiaman. The noble-hearted youth never said one single",216
Jupiter,LOC,"Emily appeared as impossible to manage, as collision between Jupiter and Vesta.",219
Providence,GPE,", but a cheerful trust, too, in a Providence above her, she saw the general off without a",220
china,GPE,"start, that he knocked off a cheffonier of rare china and glass standing at his elbow; and the smash",222
