Location,ent_type,context,p_no
Versailles,GPE,", and in its splendour would not have disgraced, Versailles in the days of the grand monarch, were assembled",4
buhl,LOC,"a young man, lounging on the edge of a buhl table that had once belonged to a Mortemart, and",5
Milford,GPE,"“I thought of Milford,” was the reply in an under tone.",10
Milford,GPE,“Milford is going with St James and Punch Hughes.”,11
Derby,GPE,"” said Lord Eugene. “As it is the Derby, nobody will be there.”",23
London,GPE,Toy. Anything is better than dining in this infernal London.”,24
Milford,GPE,"“You shall have it. Oh! here’s Milford, he will give them me.”",29
Egremont,GPE,"“Ah, Egremont! come and sit here,” exclaimed more than",31
Clarendon,GPE,he has asked me to dine with him at the Clarendon on Saturday.”,35
Egremont,GPE,"“You used to be all for Phosphorus, Egremont,” said Lord Eugene de Vere.",43
Portugal,GPE,"French wines and German waters, flavoured with slices of Portugal fruits, and cooled with lumps of American ice,",50
Surrey,GPE,", and get information whether the storm had reached the Surrey hills, for to-night’s operations. It",53
Andalusia,GPE,as bold and spirits as reckless as he encountered in Andalusia.,54
Dardanelles,GPE,do anything about Pocket Hercules? Thirty to one against Dardanelles.”,64
Egremont,GPE,"“Forty to one!” murmured Egremont who stood against Phosphorus. A little nervous, he",68
Egremont,GPE,Egremont with a quivering lip walked away. He consulted his,70
Carnaby,GPE,"circle. He was a carcase butcher, famous in Carnaby market, and the prime councillor of a distinguished nobleman",72
Pharsalia,GPE,"simplicity of the idea with sublimer accessories. Pompeius before Pharsalia, Harold before Hastings, Napoleon before Waterloo, might",76
Napoleon,GPE,"accessories. Pompeius before Pharsalia, Harold before Hastings, Napoleon before Waterloo, might afford some striking contrasts to the",76
Waterloo,GPE,"Pompeius before Pharsalia, Harold before Hastings, Napoleon before Waterloo, might afford some striking contrasts to the immediate catastrophe",76
Egremont,GPE,he gracefully gallops his horse before his admiring supporters. Egremont in the delight of an English patrician scarcely saw Mango,77
Caravan,GPE,"the eye can select. Higher up the hill, Caravan, Hybiscus, Benedict, Mahometan, Phosphorus, Michel",79
Hybiscus,GPE,"can select. Higher up the hill, Caravan, Hybiscus, Benedict, Mahometan, Phosphorus, Michel Fell,",79
Benedict,GPE,". Higher up the hill, Caravan, Hybiscus, Benedict, Mahometan, Phosphorus, Michel Fell, and Rat",79
Mahometan,GPE,"up the hill, Caravan, Hybiscus, Benedict, Mahometan, Phosphorus, Michel Fell, and Rat-trap",79
Mahometan,GPE,"Caravan leading, then Phosphorus a little above him, Mahometan next, Hybiscus fourth. Rat-trap looking badly",80
Hybiscus,GPE,"then Phosphorus a little above him, Mahometan next, Hybiscus fourth. Rat-trap looking badly, Wisdom,",80
Dardanelles,GPE,"favourite himself is hors de combat, as well as Dardanelles, and a crowd of lesser celebrities.",80
Hybiscus,GPE,"in the race, and of these, two, Hybiscus and Mahometan, are some lengths behind. Now it",81
Mahometan,GPE,"race, and of these, two, Hybiscus and Mahometan, are some lengths behind. Now it is neck",81
Egremont,GPE,their drag he poured the champagne into the glass of Egremont.,82
Egremont,GPE,"Egremont was the younger brother of an English earl, whose",84
Egremont,GPE,"they were both Norman and baronial, their real name Egremont, which, in their patent of peerage the family",85
St Germains,GPE,loyal and dutiful though secret correspondence with the court of St Germains.,86
America,GPE,"admirals without fleets, and generals who fought only in America. They had glittered in great embassies with clever secretaries",87
Ireland,GPE,"clever secretaries at their elbow, and had once governed Ireland when to govern Ireland was only to apportion the public",87
Ireland,GPE,"elbow, and had once governed Ireland when to govern Ireland was only to apportion the public plunder to a corrupt",87
Newcastle,GPE,", and notwithstanding the encouraging example of his grace of Newcastle, they could not resist the persuasion that some knowledge",88
Mediterranean,LOC,"True it is, that Nelson, after conquering the Mediterranean, died only a Viscount! But the house of",88
Jenkinsons,GPE,"their noses at the Pratts and the Smiths, the Jenkinsons and the Robinsons of our degenerate days; and never",88
St John,GPE,"in his power to do more for the whigs than St John could do for his party. The oligarchy, who",92
England,GPE,length arrived. A voice like the Apocalypse sounded over England and even echoed in all the courts of Europe.,93
Europe,LOC,over England and even echoed in all the courts of Europe. Burke poured forth the vials of his hoarded vengeance,93
Portlands,LOC,"in this memorable defection, among the Devonshires and the Portlands, the Spencers and the Fitzwilliams, was the Earl",94
England,GPE,If the history of England be ever written by one who has the knowledge and,96
the Republic of Plato,GPE,"the narrative about as profitable to an Englishman as reading the Republic of Plato or the Utopia of More, the pages of Gaudentio",96
Chatham,GPE,"the genius, the eloquence, the state craft of Chatham. His genius was of a different bent, his",98
Carteret,GPE,"spirit that he raised at length touched the heart of Carteret, born a whig, yet sceptical of the advantages",99
