Location,ent_type,context,p_no
Egypt,GPE,"BETWEEN the 10th and 13th centuries Civilisation withdrew from Egypt and Syria, rested for a little space at Constantinople",0
Syria,GPE,"the 10th and 13th centuries Civilisation withdrew from Egypt and Syria, rested for a little space at Constantinople, and",0
Constantinople,GPE,"Egypt and Syria, rested for a little space at Constantinople, and then passed away to the western climes of",0
Europe,LOC,", and then passed away to the western climes of Europe.",0
America,GPE,poles. It has cut down the primitive forests of America; carried trade into the interior of Africa; annihilated,1
Africa,LOC,forests of America; carried trade into the interior of Africa; annihilated time and distance by the aid of steam,1
Suez,LOC,; and now contemplates how to force a passage through Suez and Panama.,1
Panama,GPE,now contemplates how to force a passage through Suez and Panama.,1
Western Europe,LOC,"it maintain, its headquarters in the great cities of Western Europe: and with Civilisation does Vice go hand-in",3
London,GPE,"That canopy of dark and threatening clouds was formed over London; and a stifling heat, which there was not",29
Smithfield,GPE,he was hastily traversing the foul and filthy arena of Smithfield-market.,44
Smithfield,GPE,the immediate vicinity of the north-western angle of Smithfield-market.,53
Kentish Town,LOC,". It's up Islington way—up there between Kentish Town and Lower Holloway.""",82
London,GPE,"a gentleman of fortune residing in the northern environs of London, received the following letter:—",152
Providence,GPE,"""The inscrutable decrees of Providence have enabled the undersigned to warn you, that this",153
London,GPE,"dwelling, in the northern part of the environs of London, and slowly ascended the adjacent hill. There was",156
the adjacent hill,LOC,"part of the environs of London, and slowly ascended the adjacent hill. There was an interval of four years between the",156
London,GPE,"almost contemptuously. ""There are thousands of persons in London who live well, and keep up splendid establishments,",178
somethink preposterious,GPE,"head gravely, ""I'm very much afeerd that somethink preposterious is going to incur. I could not remain a",194
England,GPE,"he despatch emissaries to all the great manufacturing towns of England, as well as to the principal capitals of Europe",227
Europe,LOC,"England, as well as to the principal capitals of Europe, to endeavour to procure some information of him whom",227
opulent City,GPE,"he intrusted to a Mr. Monroe, who was an opulent City merchant, and an old and sincere friend.",229
Hyde Park,GPE,", 1835, that Richard appeared amongst the loungers in Hyde Park. He was on foot, and attired in deep",235
London,GPE,"Parliament had been prorogued a fortnight before; and all London was said to be ""out of town.""",236
London,GPE,"Albeit, it was evident that a considerable portion of London was ""in town,"" for there were many",236
London,GPE,"""What! are you a stranger in London, sir?"" cried the well-dressed gentleman",242
London,GPE,"tenable grounds, which is now becoming so prevalent in London. For instance, nothing is more common than for",260
Burlington Arcade,GPE,"Bond-street, or the Park, or in Burlington Arcade, for example's sake, and for the one",260
Berkshire,GPE,"are Long's Hotel, my country seat is in Berkshire, and my shooting-box is in Scotland,",260
Scotland,GPE,"in Berkshire, and my shooting-box is in Scotland, at all of which I shall be most happy",260
London,GPE,"who would have thought of meeting you here—when London is actually empty, and I am ashamed of being",263
Italy,GPE,"friend the duke assured me that you were gone to Italy!""",263
America,GPE,declared in her presence that I had just embarked for America. Poor thing! she went straight up to her,264
Harborough,GPE,"""Harborough, I am surprised at you! What! complain",275
London,GPE,complain of the fantasies of the most beautiful woman in London—if not in England—you a man of,275
England,GPE,"the most beautiful woman in London—if not in England—you a man of seven thousand a year,",275
England,GPE,"the acquaintance of the most beautiful and fascinating woman in England.""",277
England,GPE,that she was the most beautiful and fascinating creature in England.,278
Oxford,GPE,"towards Tattersall's, he departed in the direction of Oxford-street.",281
phaeton,GPE,"rolled leisurely along ""the Drive"" in the elegant phaeton.",283
London,GPE,"Then, of course, every man of fashion in London has his mistress, even though he only keeps her",289
Naples,GPE,"wind stirred the leaf upon the tree. Never did Naples, nor Albano, nor Sorrentum, boast a more",291
Madeira,LOC,"came the succulent neck of venison, and the prime Madeira. The dinner passed off pleasantly enough; and Richard",292
Europe,LOC,"that his new friend had not only travelled all over Europe, but was actually the bosom friend of some of",293
East,LOC,a set of teeth white as the pearls of the East.,298
Harborough,GPE,"exclaimed in a tone of most ineffable vulgarity. ""Harborough, how are you? Chichester, my tulip,",310
Markham,GPE,"for a few moments; and Chichester, drawing near Markham, seized the opportunity of observing, ""Talbot is",312
Talbot,GPE,"I didn't know that you were in town, Talbot,"" said Mr. Chichester.",317
écarté,GPE,""" answered Diana, ""and play a game of écarté. He told me that he was invincible at écarté",326
écarté,GPE,"écarté. He told me that he was invincible at écarté.""",326
écarté,GPE,"""Talking of écarté, let us play a game,"" ejaculated Mr.",327
écarté,GPE,"said with a smile, ""Are you fond of écarté?"" ""I must venture a guinea upon Mr.",332
Sydney,GPE,"Chichester made an observation at the same moment, and Sydney immediately afterwards entered with ease and apparent pleasure into a",345
London,GPE,one of the most beautiful spots in the neighbourhood of London; and behind it—far as the eye could,357
Tuscany,GPE,"the green fields, smiling and cultivated like those of Tuscany.",357
Wellington,GPE,"and trousers. A diminutive pair of patent-leather Wellington boots kept company with delicate morocco shoes, to which",364
morocco,GPE,"of patent-leather Wellington boots kept company with delicate morocco shoes, to which sandals were affixed. A huge",364
England,GPE,with the productions of the best poets and novelists of England and France.,401
France,GPE,productions of the best poets and novelists of England and France.,401
Paris,GPE,"letter, stating that I was compelled to proceed to Paris upon most particular business?""",409
London,GPE,London abounds with such precocious specimens of thorough heartlessness and worldly,434
Camberwell,GPE,"into a Hackney omnibus at the Flower Pot, a Camberwell one at the Cross Keys; or running furiously after",439
Australia,GPE,", shipped goods to the colonies, purchased land in Australia at eighteen-pence an acre and sold it again",441
Cornwall,GPE,"stock company to work the Ercalat tin-mines in Cornwall——""",447
Aldgate,GPE,"that the article was supplied him by a house in Aldgate.""",449
the City of London,GPE,had happened. You must remember that the aldermen of the City of London have degenerated considerably in respectability during late years; and,451
Smithfield,GPE,"debauchery to be cleansed—witness Petticoat-lane, Smithfield——""",453
Smithfield,GPE,"in my veins. The mere mention of the word Smithfield——""",456
Smithfield,GPE,oh! the revolting streets which branch off from that Smithfield. It seemed to me that I was wandering amongst,463
Smithfield,GPE,of one of those vile narrow streets branching off from Smithfield. That house was the den of wild beasts in,465
Islington,GPE,"a country-seat, somewhere to the north of Islington, and inhabited by a family of the name of",465
Bastille,LOC,floor—a room to which the cells of the Bastille or the Inquisition could have produced no equal. It,469
Smithfield,GPE,-house; and in a few moments was traversing Smithfield once more. Even the tainted air of that filthy,478
London,GPE,his house; and another to the Lord Mayor of London. It did not altogether suit Mr. Stephens's plans,481
London,GPE,""" was the reply. ""I seldom go into London, early or late—I have so few inducements",484
Madeira,GPE,"added; then, having tossed off a bumper of Madeira, he walked up to the window, where he",487
England,GPE,might as well have attempted to make myself queen of England. Character—references! I had neither. Vainly,516
Havannah,GPE,"n't say but what I like a full-flavoured Havannah—a threepenny, mind,"" added the butler",529
St. John-street,GPE,"half-a-dozen real Havannahs (manufactured in St. John-street, Clerkenwell), joked with the young lady who",531
Miss.,GPE,"""Pot of ale, and a screw, Miss.""",541
Hanbury,GPE,"afraid at the end of month to see Truman and Hanbury's collector, and Nicholson's man, alight from",546
"nose,—""I'm",GPE,"with huge silver spectacles hanging half-way down his nose,—""I'm glad to see Mr. Cobbington here. How gets on",558
Snoggles,GPE,"""I dropped in quite permiscuously,"" answered Snoggles, ""and finding good company, stayed. But",566
Snoggles,GPE,"""That gentleman one of the profession?"" demanded Snoggles, alluding to Mr. Whittingham.",570
Snoggles,GPE,"""Not a bit,"" added Snoggles.",577
Snoggles,GPE,"""It is indeed!"" ejaculated Snoggles; and, in order to illustrate the truth of",596
Snoggles,GPE,"seed some strange wicissitudes in the interval,"" continued Snoggles. ""I went abroad as coachman, with a",605
Baden,GPE,didn't always go on swimmingly. We went to Baden—called so cos of the baths; and there,607
England,GPE,"the hotel bill and find my way back agin to England. The landlord he seized the traps, and I",607
Snoggles,GPE,"""No; that ain't it,"" returned Snoggles. ""Howsomever, I had every kind of difficulty",609
England,GPE,"he was bound by contract to bring me back to England.""",609
Snoggles,GPE,"""Why not?"" said Snoggles.",611
Harborough,GPE,"the meaning of this? You were to lunch with Harborough to-day, and we were all to dine",623
Harborough,GPE,"you join me at seven precisely this evening, at Harborough's own lodgings in Conduit-street? We shall",631
London,GPE,. He sent a hundred pounds to every hospital in London yesterday morning—his annual donations; and he thinks,633
the West End,LOC,"rode towards the City, while his friend proceeded to the West End.",647
Markham,GPE,"""That's all my eye and my elbow, Markham. A d—d good bottle of champagne will",653
Chichester,GPE,"Bank of England notes and a quantity of gold into Chichester's hand, whispering at the same time ""There",661
Markham,GPE,the table; Mr. Chichester at the bottom; and Markham sate opposite to Talbot.,663
Markham,GPE,"""A glass of wine, Markham?"" said Chichester ""I suppose we'd all",666
Harborough,GPE,"I wonder what's coming next. I say, Harborough, you haven't ordered any tripe, have you",668
London,GPE,"is not safe to carry it about the streets of London at night-time.""",670
Quadrant,LOC,"Thus is it that in the evening the Quadrant has a characteristic set of loungers of its own:—or,",682
Birmingham,GPE,"but flashily dressed, and exhibiting a monstrous profusion of Birmingham jewellery about their persons—sate at the table.",689
Havannah,GPE,"more claret!"" he exclaimed, throwing away the Havannah: ""that cigar only makes me the more thirsty",722
Chichester,GPE,"that young man's countenance,"" whispered Markham to Chichester.",724
Quadrant,LOC,"Jenkins, broke into No.—, in the Quadrant, as we heard a pistol—or else we",763
