Location,ent_type,context,p_no
Wales,GPE,"In a very beautiful part of Wales, between the northern boundaries of Glamorgan and the southeastern",0
Carmarthenshire,GPE,"between the northern boundaries of Glamorgan and the southeastern of Carmarthenshire, there stood, some twenty or thirty years ago",0
the craggy hill,LOC,"A gurgling stream ran leaping and sparkling over the craggy hill till it formed a deep, wide bed for itself",2
India,GPE,"child. Weakly from her birth, her residence in India had increased constitutional delicacy, and while to a watchful",29
Italy,GPE,"had been adopted by a married sister, living in Italy—appeared to Emmeline's ideas of truth and honor",90
England,GPE,"of the peasantry and working classes in various parts of England, in addition to various services of a private and",93
Devonshire,GPE,"the vicinity of their noble seat, and in which Devonshire abounds, delighted him, and when Eleanor did visit",98
London,GPE,"with Mr. and Mrs. Hamilton, when they were in London, Eleanor would not hear of it. But to",100
London,GPE,"more surprising, condescended to make herself agreeable. The London season had tired her, and she thought she might",100
Oakwood,GPE,"every old ruin and dark wood within ten miles of Oakwood. Altogether the impression she left behind her, after",100
London,GPE,"Her visit to her father in London, in the winter, removed all their rising hopes",101
Cheltenham,GPE,"of the summer and autumn was to be spent in Cheltenham with a very gay party, in which Eleanor was",103
Cheltenham,GPE,"A month of their visit to Cheltenham so passed, when Eleanor's attention was arrested by",109
India,GPE,", and a young military captain, whose furlough from India had just expired, and whose pale face, somewhat",109
Cheltenham,GPE,—information which instantly brought Mr. and Mrs. Hamilton to Cheltenham.,115
England,GPE,my destiny is fixed. There is no peace in England: at least let me be spared the agony of,123
Cheltenham,GPE,"known to her father, and living ten miles from Cheltenham in a beautiful villa, at which she expected a",124
nick,GPE,"a beautiful but fragile toy, that stood with other nick-nacks on a low table. The child looked",126
Cheltenham,GPE,From the moment Arthur Hamilton returned to Cheltenham with the painful intelligence that he had arrived at Leith,153
India,GPE,"so he regarded her departure for, and residence in India for an indeterminate time—conquered every other feeling.",153
Algiers,GPE,or slavery—that fearful slavery which the bombardment of Algiers had so displayed to European eyes—was the portion,154
India,GPE,"She had written to her often, but communication with India was not then what it is now, and her",158
India,GPE,"loved), but a still more brilliant star in India than she had even been in England. Though Captain",160
England,GPE,brilliant star in India than she had even been in England. Though Captain Fortescue was often engaged in marches and,160
England,GPE,"called together on that festive night, seeming as if England had concentrated her fairest and purest offspring in that far",178
Hasty,GPE,"disown her if she could not be more brave. Hasty footsteps were at length heard approaching, and Ellen started",180
moon,LOC,"military cloaks, but the ghastly countenance, which the moon's light rendered still more fixed and pallid, the",185
England,GPE,"him in anger, and it proved forever;—that even as England had become odious to her, twelve years before,",190
India,GPE,"odious to her, twelve years before, so did India now; and she suddenly resolved to quit it,",190
England,GPE,"she rallied, and insisted on taking her passage for England some weeks before her medical attendant thought it advisable.",191
India,GPE,"five-and-twenty years ago the voyage from India to England was not what it is now),",192
England,GPE,"and-twenty years ago the voyage from India to England was not what it is now), the character",192
England,GPE,"true sailor spirit, when, almost within sight of England, a tremendous storm arose, reducing the vessel almost",193
Milford Haven,GPE,"she would reach land in safety, to anchor in Milford Haven, there to repair her injuries, ere she could",193
Devonshire,GPE,"resolved on instantly proceeding to Swansea, then cross to Devonshire, and travel direct to Oakwood, where she had",194
India,GPE,"still more. The servant who had accompanied her from India, an Englishwoman, tired out with the fretful impatience",194
London,GPE,"and disappointed that she did not at once proceed to London, demanded her instant discharge, as she could not",194
South America,LOC,", you have put Kamschatka as the terra firma of South America; no doubt that ice and snow would be very",207
Seneca,GPE,"the gods, were there such provokingly clever people as Seneca, Cicero, Pliny, and a host of others",209
Exeter,GPE,"she were too fatigued, Mr. Hamilton would remain at Exeter to-night, and proceed here early to-",220
India,GPE,"repeating. She knew my aunt before she went to India, and I am sure if her children are like",230
India,GPE,"all joining them, a class of people whom in India he had been taught so to consider his inferiors,",263
Wales,GPE,"she had learned, for the first time, in Wales. Her father had, indeed, the last year",264
London,GPE,it. She did not wish her girls to visit London till a few months before Caroline was old enough to,267
London,GPE,"not only a distaste, but an actual dread of London for her girls, till such principles and associations had",267
England,GPE,"home, and to declare there was no place in England like it.",267
Moorlands,GPE,"About a mile and a half across the park was Moorlands, the residence of Lady Helen Grahame, whose name",271
Moorlands,LOC,"had often tried to alter the aspect of affairs at Moorlands; the former, by entreating Grahame to be less",273
London,GPE,"a member of Parliament, which took his family to London for five or six months in the year—a",273
Moorlands,LOC,"her own, but unfortunately only increasing the discomfort of Moorlands when they returned to it. And this was the",273
London,GPE,"friend Annie Grahame, and believed that occasional visits to London would make her much happier than remaining all the year",280
London,GPE,"go from home, than for him to go to London, and he did not like it at all;",283
London,GPE,", ingenuously; ""because when Lady Helen returned from London, she made me go there so often, and",284
London,GPE,"with Annie I think and wish more about going to London, mamma; I am afraid I do; but",286
London,GPE,"Hamilton, in the same tone; ""but even London will not change your kind thoughts for me, Helen",294
London,GPE,"noticed, and her visits to her titled relations in London, by causing her to imitate their fashionable manners,",314
London,GPE,"Annie Grahame had a great many fashionable acquaintances in London, but she still regarded Caroline Hamilton as her favorite",315
London,GPE,"to whom she could dilate on all the pleasures of London, display her new dresses, new music, drawings",315
Moorlands,LOC,"sought Caroline as much as possible during their stay at Moorlands. Of Mrs. Hamilton, indeed, she stood in",315
London,GPE,"mean, mamma, her going out so much in London?""",328
London,GPE,and therefore I do not take you or Caroline to London; but Mr. Grahame is obliged to be there for,331
India,GPE,"One reason may be, she was always ill in India, and papa was often telling me how very much",341
India,GPE,"wish I could know more about both your lives in India.""",342
India,GPE,confirmed the opinion which Edward had said their physician in India had given of his sister's state of health.,371
England,GPE,"mother had not been advised to send her over to England, adding, with a smile, he was quite",371
England,GPE,"Ellen was always ill, she might be better in England; but, as she expected, not only his",371
