Location,ent_type,context,p_no
London,GPE,"Miss Sedley’s papa was a merchant in London, and a man of some wealth; whereas Miss",20
Hillisberg,GPE,"lark, or a Mrs. Billington, and dance like Hillisberg or Parisot; and embroider beautifully; and spell as",22
St. Kitt’s,GPE,"Miss Swartz, the rich woolly-haired mulatto from St. Kitt’s, on the day Amelia went away, she was",22
St. Kitt’s,GPE,", like the heiress (who paid double) of St. Kitt’s. Such luxury of grief, however, is only",22
Chiswick,GPE,"; and, thank God, I’m out of Chiswick.”",36
Thames,GPE,". I wish it were in the bottom of the Thames, I do; and if Miss Pinkerton were there",41
France,GPE,; and so thank Heaven for French. Vive la France! Vive l’Empereur! Vive Bonaparte!”,43
England,GPE,"as yet uttered; and in those days, in England, to say, “Long live Bonaparte!”",44
Chiswick,GPE,"his corpse. Rebecca was seventeen when she came to Chiswick, and was bound over as an articled pupil;",48
Chiswick,GPE,"idea, even, of such an eagle in the Chiswick dovecot caused a great flutter in the breast of Miss",49
Chiswick,GPE,", on the occasions when her father brought her to Chiswick, used Rebecca to perform the part of the ingenue",51
Chiswick,GPE,"Rebecca had the honour to pass a few days at Chiswick; after which she brought back Jemima, and erected",51
Kensington,GPE,"By the time the young ladies reached Kensington turnpike, Amelia had not forgotten her companions, but",62
London,GPE,"a girl as any in the whole big city of London. Both he and coachman agreed on this point,",62
India,GPE,had not her brother Joseph just brought her two from India?,63
Chiswick,GPE,"I think you must have had enough of them at Chiswick,” said Amelia, rather wondering at the sudden",77
Bengal,GPE,"at the period of which we write, in the Bengal division of the East India Register, as collector of",105
jungly district,GPE,"is situated in a fine, lonely, marshy, jungly district, famous for snipe-shooting, and where not",106
Europe,LOC,"complaint, for the cure of which he returned to Europe, and which was the source of great comfort and",107
London,GPE,". He did not live with his family while in London, but had lodgings of his own, like a",107
India,GPE,like a gay young bachelor. Before he went to India he was too young to partake of the delightful pleasures,107
India,GPE,"On returning to India, and ever after, he used to talk of",108
India,GPE,"” thought Rebecca, “and very much interested about India.”",111
India,GPE,", it’s as good as my own curries in India.”",113
India,GPE,Do you find it as good as everything else from India?” said Mr. Sedley.,117
India,GPE,"Do you put cayenne into your cream-tarts in India, sir?”",122
Bengal,GPE,"tarts, Miss? Our cream is very bad in Bengal. We generally use goats’ milk; and,",123
India,GPE,"“You won’t like everything from India now, Miss Sharp,” said the old gentleman",124
Dumdum,LOC,"I recollect, sir, there was a girl at Dumdum, a daughter of Cutler of the Artillery, and",125
Madeira,LOC,"Sedley contented himself with a bottle of claret besides his Madeira at dinner, and he managed a couple of plates",127
Chiswick,GPE,"father was our drawing-master, Mamma, at Chiswick, and used to do all the best parts of",134
