Location,ent_type,context,p_no
Manchester,GPE,"There are some fields near Manchester, well known to the inhabitants as ""Green Heys",0
Manchester,GPE,"often named. One was a thorough specimen of a Manchester man; born of factory workers, and himself bred",5
Buckinghamshire,GPE,"Barton, with a sigh. ""You see them Buckinghamshire people as comes to work in Manchester, has quite",12
Manchester,GPE,"You see them Buckinghamshire people as comes to work in Manchester, has quite a different look with them to us",12
Manchester,GPE,"us Manchester folk. You'll not see among the Manchester wenches such fresh rosy cheeks, or such black lashes",12
gulf,LOC,"as separate as Dives and Lazarus, with a great gulf betwixt us: but I know who was best off",22
japan,GPE,"up by a crimson tea-caddy, also of japan ware. A round table on one branching leg really",42
Tipping,GPE,"round the corner, and get some fresh eggs at Tipping's (you may get one a-piece,",44
Cumberland,GPE,"pound and a half, Mary. And get it Cumberland ham, for Wilson comes from there-away,",46
Cumberland,GPE,"some excellent red-and-white smoke-flavoured Cumberland ham, wrapped up in paper.",58
thou'lt,GPE,"must go to bed, and try and sleep; thou'lt have enough to do and to bear, poor wench",86
Cumberland,GPE,"bread of the north, the clap-bread of Cumberland and Westmoreland, and descending carefully with the thin cakes",105
Westmoreland,GPE,"the north, the clap-bread of Cumberland and Westmoreland, and descending carefully with the thin cakes threatening to",105
Manchester,GPE,"a sailor to foreign parts), had come to Manchester, and sent word what terrible lots of work was",111
Manchester,GPE,"And George wrote as how wages were far higher in Manchester than Milnthorpe or Lancaster; and, lasses, I",111
Milnthorpe,GPE,"wrote as how wages were far higher in Manchester than Milnthorpe or Lancaster; and, lasses, I was young",111
Lancaster,GPE,"how wages were far higher in Manchester than Milnthorpe or Lancaster; and, lasses, I was young and thoughtless",111
the golden hills,LOC,"all the bonnier. I used to think they were the golden hills of heaven, about which my mother sang when I",122
Manchester,GPE,lasses! ye don't know what rocks are in Manchester! Gray pieces o' stone as large as a,123
Runcorn,GPE,"Nay, I sent him a' the way to Runcorn by th' Duke's canal, that he might",125
Liverpool,GPE,"wi' vomiting. But the lad went on to Liverpool and saw real ships, and came back more set",125
South America,LOC,"] with him; and now he's gone to South America, at t'other side of the sun, they tell",125
France,GPE,"seen a terrestrial globe, and knew where to find France and the continents on a map.",126
Lancashire,GPE,"""The Oldham Weaver?"" Not unless you are Lancashire born and bred, for it is a complete Lancashire",130
Lancashire,GPE,"Lancashire born and bred, for it is a complete Lancashire ditty. I will copy it for you.",130
Oldham,GPE,"and flexile voice. Deborah Travers herself (once an Oldham factory girl, and afterwards the darling of fashionable crowds",132
