Location,ent_type,context,p_no
London,GPE,funeral procession went its way along the busy streets of London.,0
Agnes,LOC,"They nestled close together; Agnes, who was scarce sixteen, and five years younger",15
Agnes,LOC,"called forth, for her whole thoughts were centred on Agnes, and the sisters had now no other home but",16
Agnes,LOC,"of their common desolation, as she looked on poor Agnes in her helpless sorrow, and lifted up the veil",24
Paris,GPE,"one of his own daughters to a fashionable school in Paris, there to complete her education. With a cry",32
Paris,GPE,house—the following week Agnes was to go to Paris. He mentioned the sums he would deduct yearly from,34
Agnes,LOC,", with a faint smile at the rapidity with which Agnes’s ideas rose. “If ever I have a",41
Paris,GPE,"full effect. Agnes was established at a school in Paris, there to have the natural tenderness of her disposition",42
France,GPE,sophistry which so much pervades the tone of society in France.,42
London,GPE,"the country. Elizabeth had passed her whole existence in London, where the natural and moral atmosphere are both alike",48
England,GPE,There is not in all England a more charming spot than the village of B—,51
midland,GPE,"It is situated in the heart of one of the midland counties, and the scenery all around it has that",51
inhabiteth eternity,GPE,"own spirit, where the High and Lofty One that inhabiteth eternity, and yet dwelleth with the contrite and humble,",63
Mount,LOC,not long before Richard became a constant visitor at the Mount.,66
Agnes,LOC,"had made it the sole condition of her marriage that Agnes should reside with them entirely, and that she should",74
Agnes,LOC,"up their residence at “The Mount,” where Agnes was to join them after having spent some time in",75
London,GPE,was to join them after having spent some time in London with the Hardman family.,75
Agnes,LOC,"The delight of Agnes at these arrangements was unbounded, and her letters to",76
Paris,GPE,Agnes did not leave Paris for London until the week before the wedding took place,77
London,GPE,Agnes did not leave Paris for London until the week before the wedding took place. On,77
Agnes,LOC,"heart;—her future husband was standing with his eyes fixed on Agnes, gazing at her with a look of the most",79
Agnes,LOC,"taking Richard by the hand, she drew him towards Agnes, and prayed him to love their sister dearly for",80
Agnes,LOC,great that he was now equally determined with herself that Agnes should find a happy home in his house. Meanwhile,81
Agnes,LOC,"should find a happy home in his house. Meanwhile Agnes, who was always won in a moment by kindness",81
Agnes,LOC,"should gladly turn from her to seek the society of Agnes, whose gaiety and light‐heartedness rendered her so pleasing a",88
Agnes,LOC,"so openly preferring the society of her sister; while Agnes, with that careless egotism to which the young and",88
Agnes,LOC,tender and watchful friend which she had herself been to Agnes.,93
Agnes,LOC,she repeatedly implored of them both to promise her that Agnes should always remain with her brother‐in‐law; urging as her,95
Holy City,GPE,"which alone shall doubtless be composed the population of that Holy City, where nothing that defileth shall in any wise enter",98
Agnes,LOC,"she did, strong in one determination only—that Agnes should not stay another day in the house, to",114
Agnes,LOC,"of this unhallowed marriage. Was Agnes, the gentle Agnes, so fair and joyous, thereby to become a",119
Agnes,LOC,"herself. I wish she had your sweet temper, Agnes.”",126
Agnes,LOC,"beside her, and lifted up her head; whilst Agnes, kneeling close to him, drew back the long",129
