Location,ent_type,context,p_no
Mackintosh,GPE,"for sale; the surgeon of the union, in Mackintosh and antigropelos; two holiday schoolboys with trousers strapped down",1
Germany,GPE,reviews; was next alternately chivalry-mad; and Germany-mad; was now reading hard at physical science,6
England,GPE,"think and work; and therefore it happens that in England, it may be taken as a general rule,",16
Manchester,GPE,never a fly to be caught in them; like Manchester cotton-spinners madly glutting the markets in the teeth,17
Earth,LOC,"day, as if that bustling dowager, old mother Earth—what with match-making in spring, and",17
Hades,GPE,"the morning.  They are ‘gone down to Hades, even many stalwart souls of heroes,’ with",18
Waterloo,GPE,"head—the fathers of the men who conquered at Waterloo; and we their degenerate grandsons are left instead,",18
St. Francis,GPE,"hounds also; and a faint but knowing whimper drove St. Francis out of all heads, and Lancelot began to stalk",24
vale,LOC,"on and on—down the wind and down the vale; and the canter became a gallop, and the",25
Whitford,GPE,"  ‘He’s leading the squire straight home to Whitford, just in time for dinner.’",28
geese,GPE,"‘You’re a brace of geese,’ politely observed the old squire; ‘and",33
Horncastle,GPE,"an instant the small wiry American, and the huge Horncastle-bred hunter, were wallowing and staggering in the",37
Venus,LOC,"and swells, soft as the outlines of a Greek Venus, as if the great goddess-mother Hertha had",37
écarté,GPE,".  What do you say to a game of écarté?  We must play for love, or we",75
Paradise,LOC,abandon as it first tries on the wedding garment of Paradise.,86
Eden,LOC,"just as the antediluvian savages gave theirs of that strange Eden scene, by the common interpretation of which the devil",90
Earth,LOC,"  Great Pan was laid to rest; And mother Earth watched by him as he slept, And hushed her",102
Parnassus,GPE,"As gleam twin lakes between the purple peaks Of deep Parnassus, at the mournful moon. Beside her lay a",103
Dorsetshire,GPE,so badly off either—unless we happen to be Dorsetshire labourers—or Spitalfields weavers—or colliery children—,112
England,GPE,"and that because England is a money-making country, and money-",120
Rome,GPE,"your last letter, something about “being driven to Rome after all”? ...  Why thither, of",122
Berserk,GPE,"had heard of his profligacy, his bursts of fierce Berserk-madness; and yet now these very faults,",123
England,GPE,"Of all the species of lovely scenery which England holds, none, perhaps, is more exquisite than",130
