Location,ent_type,context,p_no
England,GPE,"his little Public-office, ready to fight all England.  To continue in fistic phraseology, he had",26
M’Choakumchild,GPE,"of the compass.  Ah, rather overdone, M’Choakumchild.  If he had only learnt a little less",51
M’Choakumchild,GPE,"to see what they contained.  Say, good M’Choakumchild.  When from thy boiling store, thou shalt",52
Coketown,GPE,"to him.  Whatsoever the public meeting held in Coketown, and whatsoever the subject of such meeting, some",60
Brentford,GPE,laughable hippo-comedietta of The Tailor’s Journey to Brentford.’,61
Coketown,GPE,", chief manager, small partner, Josiah Bounderby of Coketown.  Those are the antecedents, and the culmination",103
Church,GPE,", from studying the steeple clock of St. Giles’s Church, London, under the direction of a drunken cripple",103
London,GPE,"studying the steeple clock of St. Giles’s Church, London, under the direction of a drunken cripple, who",103
Louisa,GPE,"He spoke of young Thomas, but he looked at Louisa.",106
Louisa,GPE,always so interested in my young people — particularly in Louisa — that I make no apology for saying to you,116
workful,GPE,You saw nothing in Coketown but what was severely workful.  If the members of a religious persuasion built,147
ark,GPE,"ancestor of the highly trained animal who went aboard the ark, might have been accidentally shut out of it,",185
Kidderminster,GPE,"‘Kidderminster, stow that!’ said Mr. Childers.  ",195
Kidderminster,GPE,"‘Kidderminster,’ said Mr. Childers, raising his voice,",197
Wapping,GPE,"if she had been the mother of Dick Jones of Wapping.  So, with this man.  He",222
bitterth,GPE,"n’t took your feed yet, have a glath of bitterth.’",250
thort,GPE,", my opinion ith that you had better cut it thort, and drop it.  They’re a very",256
England,GPE,"  Not athamed of it.  Known all over England, and alwayth paythe ith way.’",268
Coketown,GPE,"at any time, in finding Mr. Thomas Gradgrind of Coketown.  I am well known.’",269
thort,GPE,"loose eye.  ‘You’re one of the thort, Thquire, that keepth a prethiouth thight of money",270
Sleary,GPE,"all assumed the professional attitude when they found themselves near Sleary), and give her a parting kiss — Master",275
billth,GPE,"ill-conwenienth to have the dog out of the billth.  But on thecond thoughth, he wouldn’t",276
Bethpeak,GPE,"don’t be croth with it, give it a Bethpeak if you can, and think you might do wurth",282
wurth,GPE,"Bethpeak if you can, and think you might do wurth.  People mutht be amuthed, Thquire, thomehow",282
Calais,GPE,"twenty-four (the scene of his decease, Calais, and the cause, brandy), he did",286
Coketown,GPE,"handsome), keeping the house of Josiah Bounderby of Coketown!’",287
Coketown,GPE,", modest enough elsewhere, started up at dinners in Coketown, and boasted, in quite a rampant way,",288
Arcade,GPE,"it.  A hard bed the pavement of its Arcade used to make, I assure you.  People",308
the West End,LOC,".  I should speak of foreign dancers, and the West End of London, and May Fair, and lords and",308
London,GPE,"speak of foreign dancers, and the West End of London, and May Fair, and lords and ladies and",308
earth,LOC,"all, and I come of the scum of the earth.  But towards that lady, I do care",320
Coketown,GPE,"There was a library in Coketown, to which general access was easy.  Mr.",341
Euclid,GPE,"They took De Foe to their bosoms, instead of Euclid, and seemed to be on the whole more comforted",341
Providence,GPE,"would have found more favour with some people, if Providence had seen fit to make them only hands, or",455
Coketown,GPE,morning showed the monstrous serpents of smoke trailing themselves over Coketown.  A clattering of clogs upon the pavement;,495
earth,LOC,"curse of all that tribe, trailed themselves upon the earth.  In the waste-yard outside, the",498
dree,GPE,"married on Eas’r Monday nineteen year sin, long and dree.  She were a young lass — pretty enow",513
gulf,LOC,"shall walk together far awa’, beyond the deep gulf, in th’ country where thy little sister is",658
Coketown,GPE,Time went on in Coketown like its own machinery: so much material wrought up,661
England,GPE,"so far as they have yet been obtained, in England and Wales.  I find, on reference to",734
Wales,GPE,"as they have yet been obtained, in England and Wales.  I find, on reference to the figures",734
India,GPE,", that among the natives of the British possessions in India, also in a considerable part of China, and",734
China,GPE,"possessions in India, also in a considerable part of China, and among the Calmucks of Tartary, the best",734
the North Pole,LOC,"‘Don’t go to the North Pole, ma’am!’ said Mr. Bounderby.",777
Louisa,GPE,"of architecture — Josiah Bounderby Esquire of Coketown, to Louisa eldest daughter of Thomas Gradgrind Esquire of Stone Lodge,",802
Coketown,GPE,"‘Ladies and gentlemen, I am Josiah Bounderby of Coketown.  Since you have done my wife and myself",805
Coketown,GPE,"  There was such a thing sometimes, even in Coketown.",810
china,GPE,many shocks.  Surely there never was such fragile china-ware as that of which the millers of Coketown,812
Coketown,GPE,"Mr. Bounderby’s gold spoon which was generally received in Coketown, another prevalent fiction was very popular there.  ",812
Atlantic,LOC,that he would ‘sooner pitch his property into the Atlantic.’  This had terrified the Home Secretary within,812
Coketowners,GPE,"However, the Coketowners were so patriotic after all, that they never had",813
Atlantic,LOC,", that they never had pitched their property into the Atlantic yet, but, on the contrary, had been",813
Coriolanian,GPE,", making her nose more Roman and her eyebrows more Coriolanian in the strength of her severity, ‘that the",830
Coketown,GPE,", that his mother had a right of settlement in Coketown, this excellent young economist had asserted that right for",841
Coketown,GPE,"This, again, was among the fictions of Coketown.  Any capitalist there, who had made sixty",861
Gradgrind,GPE,is — is from the member for this place — Gradgrind — whom I have had the pleasure of knowing in,899
London,GPE,— whom I have had the pleasure of knowing in London.’,899
Jerusalem,GPE,"found it a bore; and had then strolled to Jerusalem, and got bored there; and had then gone",924
Coketown,GPE,"said his visitor, ‘is Josiah Bounderby, of Coketown.’",926
Great Britain,GPE,"’em out now, for all the humbugging sentiment in Great Britain and Ireland.’",930
Ireland,GPE,", for all the humbugging sentiment in Great Britain and Ireland.’",930
Turkey,GPE,"n’t improve the mills themselves, unless we laid down Turkey carpets on the floors.  Which we’re not",932
Coketown,GPE,"as they shook hands, for the salubrious air of Coketown.  Mr. Bounderby received the answer with favour.",939
Jerusalem,GPE,"would have decided him to ‘go in’ for Jerusalem again to-morrow morning, had he been less",958
Jupiter,LOC,"Yes!  By Jupiter, there was something, and here it was,",960
weel,GPE,"speak till Strike o’ day.  I know weel, aw what’s afore me.  I know",1049
