Location,ent_type,context,p_no
Etheldred,GPE,"'Will you—' began to burst from Etheldred's lips again, but was stifled by Miss Winter",6
Saturnalia,GPE,"'Saturnalia, as papa calls Saturday,' replied Flora.",47
England,GPE,"up many good scholars; among them, one of England's princely merchants, Nicholas Randall, whose effigy knelt",90
Derbyshire,GPE,"open Bible before him, and a twisted pillar of Derbyshire spar on each side. He was the founder of",90
Stoneborough,GPE,"scholarships at Oxford, the object of ambition of the Stoneborough boys, every eighteen months.",90
London,GPE,", and might soon have made a large fortune in London, had he not held fast to his home attachments",93
London,GPE,"explaining that his brother had come two days ago from London, to bring him to school here; he had",95
Scotland,GPE,"and mother were dead, and their relations lived in Scotland, and were hardly known to them.",95
Trafalgar,GPE,last week. My father was in the battle of Trafalgar; and Alan has been three years in the West,99
the West Indies,GPE,"of Trafalgar; and Alan has been three years in the West Indies, and then he was in the Mediterranean, and",99
Mediterranean,LOC,"the West Indies, and then he was in the Mediterranean, and now on the coast of Africa, in",99
Africa,LOC,"in the Mediterranean, and now on the coast of Africa, in the Atalantis. You must have heard about",99
Market Stoneborough,GPE,"place would ever seem to him to like home as Market Stoneborough. He was quite like one of themselves, and",105
Ballhatchet,GPE,"and Hector, on the merits of the cakes at Ballhatchet's gate, and old Nelly's pies, which",150
Mount Vesuvius,LOC,quite a different line from mine. I began with Mount Vesuvius spouting lava like anything.',213
Mount Vesuvius,LOC,'But Mount Vesuvius didn't spout till it overthrew Pompeii.',214
Mount Vesuvius,LOC,", Ethel; I only went on a little about Mount Vesuvius and the landscape, as Alan described it the other",224
Rome,GPE,"in stupid books. I want him to say— Rome—my country—the eagles—must win,",227
Stoneborough,GPE,"get one of the open scholarships, and leave the Stoneborough ones for those who can do no better.'",246
Etheldred,GPE,"He would scarcely have thus spoken to any one but Etheldred, to whom, as well as to himself,",247
Stoneborough,GPE,"no visible means of improvement. The parish Church was Stoneborough, and there the living was very poor, the",270
Etheldred,GPE,"Miss Winter looked at Etheldred reprovingly, and she shrank into herself, drew apart",278
Etheldred,GPE,"head of the stairs, and lean his head against Etheldred.",432
New Zealand,GPE,"his wife's sister, Mrs. Arnott, was in New Zealand; her brother had long been dead, and his",439
Edinburgh,GPE,"been dead, and his widow, who lived in Edinburgh, was scarcely known to the May family. Of",439
Stoneborough,GPE,day the baby was to be baptized. The usual Stoneborough fashion was to collect all the Christenings for the month,440
Etheldred,GPE,"sound, as of a sort of sob, that Etheldred never disconnected from those words. Yet hardly one tear",461
shewn,GPE,"than once, spoken of her own accord, and shewn solicitude at the sight of her father's bandaged,",483
Etheldred,GPE,"to wish him good-bye, and so were Etheldred and Mary, and some one else, for while",516
contriver,GPE,"to it—how famous! You are the best contriver, Richard!'",564
Stoneborough,GPE,I say—ben't you the young Doctor up at Stoneborough?',595
Stoneborough,GPE,"a very diligent teacher in the Sunday-school at Stoneborough, though it was a thankless task, and he",606
Stoneborough,GPE,"to teach at Cocksmoor, because it is disagreeable at Stoneborough?'",620
Edinburgh,GPE,"when I was a young man, hearing lectures at Edinburgh, and courting'—he stopped, and felt Margaret's pulse",674
melée,GPE,"night came the tournament again, but it was the melée, a sense of being crushed down, suffocated by",678
London,GPE,it is not as if he had set up in London.',687
Providence,GPE,", guarding, mother's love, a shadow of Providence, had been round them so constantly on every side",754
King Etheldred,GPE,"be becoming in us to make changes. Besides, King Etheldred,' said Margaret, smiling, 'we all",757
Etheldred,GPE,which he knew he was at least as guilty as Etheldred could be.,773
Etheldred,GPE,The misfortunes of that day disheartened and disconcerted Etheldred. To do mischief where she most wished to do,791
