Location,ent_type,context,p_no
earth,LOC,"that: there is no just God that governs the earth righteously, but a God of lies, that bears",15
Raveloe,LOC,more unlike that Lantern Yard world than the world in Raveloe?— orchards looking lazy with neglected plenty; the,21
Providence,GPE,"time which was felt to be a peculiar favour of Providence towards the landed interest, and the fall of prices",32
porkpies,GPE,"Orchards, and they found hams and chines uncut, porkpies with the scent of the fire in them, spun",32
Dunstan,GPE,"their heads at the courses of the second son, Dunstan, commonly called Dunsey Cass, whose taste for swopping",33
Dunstan,GPE,"Dunstan was moving off, but Godfrey rushed after him and",43
Dunstan,LOC,"and his irritation had no sooner provoked him to defy Dunstan and anticipate all possible betrayals, than the miseries he",57
Dunstan,GPE,"there was no pleasure left. The utmost concession to Dunstan about the horse began to seem easy, compared with",57
Dunstan,GPE,"recommence the conversation otherwise than by continuing the quarrel. Dunstan was waiting for this, and took his ale in",57
Dunstan,GPE,"""Ay, ay,"" said Dunstan, very placably, ""you do me justice,",59
Dunstan,GPE,"some moments. He would have liked to spring on Dunstan, wrench the whip from his hand, and flog",62
Dunstan,LOC,"""Not it ,"" said Dunstan. ""I'm always lucky in my weather.",66
Dunstan,GPE,"With that, Dunstan slammed the door behind him, and left Godfrey to",69
Dunstan,GPE,"was partly due to a trap laid for him by Dunstan, who saw in his brother's degrading marriage the",70
Dunstan,GPE,"strong enough to have persuaded him to trust Wildfire to Dunstan rather than disappoint the yearning, even if he had",71
Dunstan,GPE,water high up in the deserted quarry. That was Dunstan's first thought as he approached it; the second,73
Dunstan,GPE,"preferred that Master Godfrey should be vexed. Moreover, Dunstan enjoyed the self-important consciousness of having a horse",73
Dunstan,GPE,"Bryce and Keating were there, as Dunstan was quite sure they would be—he was such",74
Dunstan,GPE,"Bryce of course divined that Dunstan wanted to sell the horse, and Dunstan knew that",79
Dunstan,GPE,"divined that Dunstan wanted to sell the horse, and Dunstan knew that he divined it (horse-dealing is",79
Dunstan,GPE,"take the fences to the admiration of the field. Dunstan, however, took one fence too many, and",81
Dunstan,GPE,", and painfully panted his last. It happened that Dunstan, a short time before, having had to get",81
Dunstan,GPE,"the line of road in which Wildfire had fallen. Dunstan, whose nature it was to care more for immediate",81
Dunstan,GPE,"advantage, why, he wouldn't kick long: Dunstan felt sure he could worry Godfrey into anything. The",81
Dunstan,GPE,"bewildering dreamy sense of unwontedness in his position; and Dunstan, as he went along through the gathering mist,",81
Dunstan,GPE,of his money for the sake of receiving interest. Dunstan felt as if there must be a little frightening added,81
Dunstan,GPE,": the weaver had possibly got a lantern, and Dunstan was tired of feeling his way. He was still",81
Dunstan,LOC,"had hot meat for his supper, then? thought Dunstan. People had always said he lived on mouldy bread",82
Dunstan,GPE,"this stage of preparation, and his door unfastened? Dunstan's own recent difficulty in making his way suggested to",82
Dunstan,GPE,"Stone-pit. That was an interesting idea to Dunstan, carrying consequences of entire novelty. If the weaver",82
Dunstan,GPE,from which the inference started was purely problematic. And Dunstan's mind was as dull as the mind of a,82
Dunstan,GPE,"floor. Marner's cottage had no thatch; and Dunstan's first act, after a train of thought made",82
Dunstan,LOC,"near the treddles of the loom. In an instant Dunstan darted to that spot, swept away the sand with",82
Dunstan,GPE,"their weight, they must be filled with guineas. Dunstan felt round the hole, to be certain that it",82
Dunstan,LOC,"since he entered the cottage, but it seemed to Dunstan like a long while; and though he was without",82
Dunstan,LOC,"and sack, so as to merge the marks of Dunstan's feet on the sand in the marks of his",84
Durham,GPE,"said the butcher, in his goodhumoured husky treble—""and a Durham it was.""",98
Durham,GPE,"told a lie when you said it was a red Durham.""",104
Durham,GPE,p'rhaps you didn't say the cow was a red Durham; and p'rhaps you didn't say she'd got,106
Janiwary,LOC,"'d have no way but he must be married in Janiwary, which, to be sure, 's a unreasonable",127
Cliff,GPE,he'd catch the rheumatise. Folks as believe in Cliff's Holiday aren't agoing to ventur near it for,142
stan,GPE,call to lay any bet—let him go and stan' by himself— there's nobody 'ull hinder,143
nick,GPE,"left no traces, and had happened to know the nick of time, utterly incalculable by mortal agents, when",172
Dunstan,GPE,give much thought to Wildfire or to the probabilities of Dunstan's conduct.,189
the young moon,LOC,"seen big ear-rings, in the shape of the young moon, in the pedlar's two ears; while Jinny",196
Dunstan,GPE,"in the robbery had faded before his growing anxiety about Dunstan and Wildfire, and he was going, not to",200
Dunstan,GPE,in uncertainty about them any longer. The possibility that Dunstan had played him the ugly trick of riding away with,200
Dunstan,GPE,"irritated with himself that he had trusted his horse to Dunstan. Instead of trying to still his fears, he",200
Dunstan,GPE,"few moments more he discerned that the rider was not Dunstan, but Bryce, who pulled up to speak,",200
Dunstan,GPE,"next morning; and if he withheld the rest, Dunstan would be sure to come back shortly, and finding",216
Dunstan,GPE,"step, perhaps, by which he might still win Dunstan's silence and put off the evil day: he",216
Dunstan,LOC,"bend himself to this. He felt that in letting Dunstan have the money, he had already been guilty of",216
