Location,ent_type,context,p_no
Essex,GPE,"not elsewhere to be met with throughout the county of Essex. Of course, in such a house there were",5
London,GPE,", had inserted in The Times. She came from London; and the only reference she gave was to a",9
Brompton,GPE,"she gave was to a lady at a school at Brompton, where she had once been a teacher. But",9
Creswick,GPE,"sonatas by Beethoven, and to paint from nature after Creswick, and walked through a dull, out-of",9
Sydney,GPE,"ship Argus, laden with Australian wool and sailing from Sydney to Liverpool.",54
Liverpool,GPE,", laden with Australian wool and sailing from Sydney to Liverpool.",54
England,GPE,"of a wealthy Australian wine-merchant, invoiced to England to finish her education, and George Talboys, were",55
England,GPE,came to be within about a fortnight's sail of England everybody noticed a change in George Talboys. He grew,58
England,GPE,"""But is there no one you love in England? Is there no one you love looking out for",69
Sydney,GPE,"pretty girl, Mr. Talboys, when I sailed for Sydney, fifteen years ago; or he may be so",80
Mersey,GPE,"and died an hour before our vessel anchors in the Mersey. I think of all these things, Mr. Talboys",80
England,GPE,"much as if I knew that I was going to England to attend a funeral.""",82
England,GPE,my terrors should terrify you. I am going to England to rejoin a man to whom I was engaged to,85
England,GPE,"long, but things have gone badly with him in England. That is my story, and you can understand",85
England,GPE,years and a half this very month since I left England. What can have happened in such a short time,86
Italy,GPE,"to drop into something. I took my darling to Italy, and we lived there in splendid style as long",91
England,GPE,"couple of hundred or so, we came back to England, and as my darling had a fancy for being",91
London,GPE,"to look about for something, I ran up to London, and tried to get a situation as a clerk",91
London,GPE,"-spirited; and when I told her that my London expedition had failed, she fairly broke down, and",91
Liverpool,GPE,"and ascertained that there was a vessel going to leave Liverpool in three days, by which vessel one of the",92
Melbourne,GPE,"nights after I was out at sea, bound for Melbourne—a steerage passenger, with a digger's tools",92
Australia,GPE,"and I was in one minute the richest man in Australia. I fell down on the wet clay, with",97
Sydney,GPE,"like a child. I traveled post-haste to Sydney, realized my price, which was worth upward of",97
England,GPE,"20,000, and a fortnight afterward took my passage for England in this vessel; and in ten days—in",97
Sydney,GPE,"""Never, till the night before I left Sydney. I could not write when everything looked so black",99
England,GPE,"came I wrote telling her that I should be in England almost as soon as my letter, and giving her",99
London,GPE,"giving her an address at a coffee-house in London where she could write to me, telling me where",99
the crescent moon,LOC,"daylight had died out, and the pale light of the crescent moon only remained.",100
England,GPE,"""Miss Morley, if, when I get to England, I hear that anything has happened to my wife",101
buhl,GPE,"drawing-room, rich in satin and ormolu, buhl and inlaid cabinets, bronzes, cameos, statuettes,",149
the Temple Gardens,LOC,", and reading French novels, he would stroll into the Temple Gardens, and lying in some shady spot, pale and",176
Nimrod,GPE,"Audley Court; not that he was distinguished as a Nimrod, for he would quietly trot to covert upon a",178
Greenwich,GPE,"starting off immediately for the Crown and Scepter, at Greenwich, or the Castle, at Richmond, where they",191
Richmond,GPE,"Scepter, at Greenwich, or the Castle, at Richmond, where they could have a bit of dinner,",191
Liverpool,GPE,"in any way refreshed himself after a night journey from Liverpool by express train, he must call at a certain",191
Westminster,GPE,"at a certain coffee-house in Bridge street, Westminster, where he expected to find a letter from his",191
Thames,GPE,"I shall take a villa on the banks of the Thames, Bob,"" he said, ""for the",193
Westminster,GPE,"The waiters at the Westminster coffee-house stared at the hollow-eyed,",194
Wight,GPE,"the 24th inst., at Ventnor, Isle of Wight, Helen Talboys, aged 22.""",203
Portsmouth,GPE,"an express, whirling through the pretty open country toward Portsmouth.",235
nick,GPE,"about the room, looking at and sometimes touching the nick-nacks lying here and there.",253
Italy,GPE,of withered flowers in a vase they had bought in Italy.,254
Lansdowne Cottage,GPE,When they returned to Lansdowne Cottage they found the old man had not yet come in,277
England,GPE,this the way you welcome me? I come to England to find my wife dead within a week of my,283
Southampton,GPE,"said. ""I love grandpa and Mrs. Monks at Southampton.""",293
Southampton,GPE,"from the place where George left them to live at Southampton, where Helen got a few pupils for the piano",295
Liverpool,GPE,I shall sail in the very next vessel that leaves Liverpool for Australia. I shall be better in the diggings,300
Australia,GPE,sail in the very next vessel that leaves Liverpool for Australia. I shall be better in the diggings or the,300
England,GPE,"for his own sake he'd much better stay in England and look after his son,"" said Robert.",305
Liverpool,GPE,"settled early to-morrow morning, and start for Liverpool without a moment's delay. I shall be better",306
Portsmouth,GPE,to the boat by which they were to cross to Portsmouth.,311
Liverpool,GPE,"ago, at this time, I was steaming into Liverpool, full of the hope of clasping her to my",314
Sydney,GPE,"enough from Georgey's fortune to take me back to Sydney, and then begin my old work again.""",317
Liverpool,GPE,"the guardian of his son; for when he reached Liverpool, he found that a vessel had just sailed,",318
London,GPE,"be another for a month; so he returned to London, and once more threw himself upon Robert Audley's",318
St. Petersburg,GPE,"last thought is of a brief, was going to St. Petersburg to spend the winter, and wanted Robert to accompany",321
England,GPE,the same to him as another; anywhere out of England; what did he care where?,322
England,GPE,"Before leaving England, Robert wrote to his cousin Alicia, telling her",325
St. Petersburg,GPE,How cruel of you to run away to that horrid St. Petersburg before the hunting season! I have heard that people,327
India,GPE,"""that when some of our fellows were wounded in India, they came home, bringing bullets inside them.",334
