Location,ent_type,context,p_no
South Sea Islander,LOC,"she is such a queer one. Exactly like a South Sea Islander. When she stood with her grim, stolid countenance",51
London,GPE,"lad into the chrysalis condition of a medical student in London. ""But,"" with sudden reflection, """,56
London,GPE,"shortly. What a jolly life I'll have in London, Aunt Hilary! I'll see Mr. Lyon there",61
Ayrshire,GPE,", whom he scarcely remembered, had been a small Ayrshire farmer; his mother was dead, and he had",65
London,GPE,"Nor was it unnatural that all Ascott's anticipations of London resolved themselves, in his aunt's eyes, into",70
china,GPE,"was only the common set, and not the cherished china belonging to former days: still she did it,",72
Providence,GPE,"it was, on the whole, a mercy of Providence, which made Selina not the mother of children.",108
Miranda,GPE,"to own the allegiance, humble yet proud, of Miranda to Ferdinand:",142
South Sea Islander,LOC,"comprehension of a child or a heathen. The ""South Sea Islander,"" as Ascott persisted in calling her, then",159
London,GPE,"The Christmas holidays ended, and Ascott left for London. It was the greatest household change the Misses Leaf",166
Thames,GPE,"mannered, and though not clever enough to set the Thames on fire, still sufficiently bright to make them hope",166
South Sea Islander,LOC,"slowly began to comprehend his mocking gibes about the ""South Sea Islander,"" or whether her sullen and dogged spirit resisted",169
forte,GPE,"him up and comfort him, quite motherly. Her forte is certainly children.""",202
South Sea Islander,LOC,"and a thief would be worse than even a South Sea Islander.""",216
South Sea Islander,LOC,"'ll give my first lesson in dress making to our South Sea Islander.""",308
Birmingham,GPE,"to write to her husband as is at work at Birmingham, and I said I would. I'd learned",314
London,GPE,on the wall throwing stones. After he left for London there was Elizabeth to be thought of; and they,329
gulf,LOC,make her feel more sharply than was unavoidable the great gulf that lies and ever must lie — not so much,346
England,GPE,"Hilary resumed by-and-by, ""when England was very different from what it is now, English",349
London,GPE,"It was his first visit since he had gone to London: Mr. Ascott, he said, objected to holidays",378
Lyon,GPE,"enough to stand it from a man; but then Lyon's a real sharp fellow, who knows the world",389
London,GPE,"in his anger betrayed, he had beside him in London a monitor whose preaching would be so much wiser and",390
London,GPE,"nobody asks any questions. That's the good of London life, Aunt Hilary,"" said the young fellow",393
London,GPE,"nobody would ask any questions."" This phase of London life let a new light in upon her mind.",394
Lyon,GPE,"am an old friend of theirs. My name is Lyon.""",406
Almaschar,GPE,"."" muttered Elizabeth, in the excitement of this Almaschar vision, relapsing into her old provincialisms. ""So",422
England,GPE,two last days at Stowbury — almost his last in England. Within a week he was to sail for India,430
India,GPE,England. Within a week he was to sail for India.,430
Liverpool,GPE,this end. The young man's father — a Liverpool and Bombay merchant — made him an offer to go,431
Bombay,GPE,. The young man's father — a Liverpool and Bombay merchant — made him an offer to go out there,431
Bombay,GPE,third year to become a junior partner; remaining at Bombay in that capacity for two years more.,431
Bombay,GPE,habits I have as good a chance of health at Bombay as in London — perhaps better. And the years,448
London,GPE,as good a chance of health at Bombay as in London — perhaps better. And the years I must be,448
England,GPE,"""No. This will be my last Sunday in England. Good-by!""",470
London,GPE,"have done nothing wicked. And you don't know London; you don't know, with a lot of",482
London,GPE,"brightened up at the word. ""Where to — London? Oh, I have so longed to go and",515
