Location,ent_type,context,p_no
London,GPE,"enlarged experience I infer that we must have posted to London. Here, among many marvels, I remember especially",2
West,LOC,"helped him and my mother to the last of the West's St. Peter grapes, giving him all the fattest",10
London,GPE,"were a medical man, a shoemaker, and two London policemen. The servants said that, between one and",12
London,GPE,"more attention to the page (a sharp youth from London), who, being first in the main corridor",13
Gloucestershire,GPE,"the house, which stood in a beautiful part of Gloucestershire. The entire rental was about 12,000*l.* a",20
Devonshire,GPE,"farm near the sea, in a lonely part of Devonshire; but this was my mother's, having been",20
London,GPE,"Vaughan Park. He was said to have hurried from London, upon learning there what had happened.",22
Gloucester,GPE,"or any one else, to follow me. The Gloucester physician said that since the disease of my mind had",23
glen,LOC,"rocks stood their ground. Southward, and beyond the glen, how fair a spread of waving country we could",33
Brecon,LOC,"be seen at times, the blue distance of the Brecon hills.",33
Providence,GPE,"my good, on that account I am, under Providence, better qualified to advise you, in your dark",82
England,GPE,"know not how it may be in the east of England, but I have observed that in the west long",107
earth,LOC,"the air, peace and content walked abroad on the earth. The May moon slept on the water before me",121
Bologna,GPE,"it to be of foreign fabric. ""Ferrati, Bologna,"" the name and abode of the maker,",122
"passion—""Cousin",GPE,"quite gone, and he tried to be in a passion—""Cousin Clara, you shall hear what I have got to",140
Providence,GPE,"not wrong in allowing so fair a prospect, under Providence, of your ultimate peace of mind to influence me",151
Providence,GPE,"got it. This is a good thing which under Providence you must learn to do without.""",154
Malvern,GPE,"no more—and announcing her intention to remain at Malvern, until she should be apprised whether uncle or niece",190
Kingdom,GPE,but as a humble means for the advancement of the Kingdom—the sum of 300*l.*; that being,190
Israel,GPE,", to save the lost sheep of the house of Israel. I forgot to say that, before she left",190
Devonshire,GPE,"settled upon her, except her own little estate in Devonshire, which was secured to her separate use.",238
supplanter,GPE,", perhaps, from a feeling of hatred towards our supplanter. That he knew not till now the flaw in",242
London,GPE,"then most probably was, into frequent contact with the London agents who had the custody of the documents.",242
buhl,LOC,"its depth as would a snake of fire, the buhl before me grew streaks of blood, and the heavy",245
