Location,ent_type,context,p_no
Wales,GPE,"Just upon the border of Wales, but within one of the English counties, there",0
glen,LOC,"and the rain of thunderstorms in summer. Down every glen flows a noisy mountain stream, dashing along its rocky",0
Botfield,GPE,far away from the larger coal-fields. The Botfield lime and coal works cover only a few acres of,5
Botfield,GPE,"pastures and the yellow cornfields. From the mountains, Botfield looks rather like a great blot upon the fair landscape",5
Botfield,GPE,"underground, does not think it a pity that the Botfield pit has been discovered at the foot of the mountains",6
Black Bess,LOC,", speaking up proudly; 'I am not like Black Bess of Botfield. Mother always told me I was to",12
Botfield,GPE,proudly; 'I am not like Black Bess of Botfield. Mother always told me I was to do my,12
England,GPE,that when she'd heard that he was landed in England; she did nought but sit over the bent of,18
Botfield,GPE,"of the hill yonder, peering along the road to Botfield; and one evening at sundown she saw something,",18
Botfield,GPE,"to tend sheep out yonder, and I worked at Botfield; but we never laid by money to build a",18
thou'lt,GPE,it to make it a hill-farm; and thou'lt have hard work to hold thy own against him.,22
the green hills,LOC,"his dying father, and his face looking out upon the green hills. He had always been a grave and thoughtful boy",23
Botfield,GPE,shower is raining down on the master's fields at Botfield; and they've been scorched up for want of,25
Botfield,GPE,following his death. All the colliers and pitmen from Botfield walked with the funeral of their old comrade and made,33
Botfield,GPE,"parish church was two miles on the other side of Botfield, and four miles from Fern's Hollow; so",33
Botfield,GPE,"was the relieving officer of the large union to which Botfield belonged; and, in consequence, all poor persons",68
Botfield,GPE,"Wyley, the elder brother, was the owner of Botfield works, and the master of all the people employed",68
Botfield,GPE,Poor fellow! there was not a better collier at Botfield than James Fern.',69
Botfield,GPE,", watching them down the narrow path which led to Botfield, until a rabbit started from beneath the hedge,",84
Botfield,GPE,"added, 'and I am come to live at Botfield for a while. Could you manage to come down",111
Longville,GPE,uncle talking about you. Your father was buried at Longville church on Sunday. I saw the funeral leave the,113
Botfield,GPE,"Listen: as Stephen cannot come to me at Botfield, you shall meet me in the Red Gravel Pit",129
Botfield,GPE,"entrance of the lane leading down to the works at Botfield there stood a small square building, which was used",133
Longville,GPE,"farmers about here, or perhaps to the parson at Longville, and they may make an unpleasant disturbance. Nobody",135
Botfield,GPE,"rent of a nice two-roomed cottage down in Botfield, close to your work. Come, that would",139
