Location,ent_type,context,p_no
Mount Pleasant,LOC,"friends—for Lucilla was already an important personage at Mount Pleasant—the most common description they gave her was,",0
Mount Pleasant,LOC,"all pretty as yet, though it was known in Mount Pleasant that somebody had said that such a face might ripen",0
Mount Pleasant,LOC,"or Tuesday will be time enough to go back to Mount Pleasant; and now you had better ring the bell,",13
Mount Pleasant,LOC,"too young,"" she said, when she reached Mount Pleasant, ""though it was dreadful to come away and",14
Mount Pleasant,LOC,"'s powers of consolation, that he kept her at Mount Pleasant for three years longer, during which time it is",16
Carlingford,GPE,", there were in the world, and even in Carlingford, kind women, who would not have objected to",16
Carlingford,GPE,of sense; and as that functionary was known in Carlingford to be utterly regardless and unprincipled in respect to gravy,16
Carlingford,GPE,in this respect at least. When rumours arose in Carlingford of a possible second marriage for the Doctor—and,16
Carlingford,GPE,not be denied Miss Marjoribanks's advent was regarded in Carlingford with as much interest and curiosity as she could have,16
Carlingford,GPE,"return home, and that was to revolutionise society in Carlingford. On the whole, she was pleased with the",17
Carlingford,GPE,"as were attributed to her by the expectant audience in Carlingford. On the contrary, she was quite as much",17
London,GPE,"there was a great difference between the brilliant society of London, or of Paris, which appears in books,",17
Paris,GPE,"difference between the brilliant society of London, or of Paris, which appears in books, where women have generally",17
Carlingford,GPE,"great attraction to a man, and that, in Carlingford at least, when these refractory mortals were secured,",17
Switzerland,GPE,her future conversation of the experiences to be acquired in Switzerland and Italy. But she rejected with scorn the insinuation,17
Italy,GPE,conversation of the experiences to be acquired in Switzerland and Italy. But she rejected with scorn the insinuation of other,17
Italy,GPE,if it would improve my voice to take lessons in Italy. Did I ever tell you of the Italian nobleman,19
Midhurst,GPE,"how much experience one gets. When I was at Midhurst, at Easter, there was my cousin Tom,",23
Providence,GPE,"""We must leave that to Providence,"" said Miss Marjoribanks, with a sense of",29
Providence,GPE,"Marjoribanks, with a sense of paying a compliment to Providence in entrusting it with such a responsibility. ""I",29
Mount Pleasant,LOC,"her own person. There were no Carlingford girls at Mount Pleasant, except poor little Rose Lake, the drawing-",30
Rose Lake,LOC,"no Carlingford girls at Mount Pleasant, except poor little Rose Lake, the drawing-master's second daughter, who",30
Mount Pleasant,LOC,"in her designs for the future. The girls at Mount Pleasant were good girls on the whole, and were rather",30
Rose Lake,LOC,was ready to do anything for anybody—so that Rose Lake was not at all badly off in her inferior position,30
Carlingford,GPE,"had been brought up at the School of Design in Carlingford, of which, under the supervision of the authorities",30
Honiton,GPE,"her father with admiration, and her design for a Honiton-lace flounce, a spirited composition of dragons'",30
Carlingford,GPE,"plant called teazle, which flourishes in the neighbourhood of Carlingford (for Mr Lake had leanings towards Preraphaelitism),",30
Mount Pleasant,LOC,girl with such a talent was naturally much appreciated in Mount Pleasant. She made the most charming design for Miss Marjoribanks,30
Rome,GPE,through the Carnival and Miserere and all the balls in Rome; but none of these things moved her out of,30
Dover,GPE,"political economy. As she stepped into the steamboat at Dover which was to convey her to scenes so new,",30
Carlingford,GPE,more that she who held the reorganisation of society in Carlingford in her hands was a woman with a mission.,30
America,GPE,"was going abroad as the heir-apparent went to America and the Holy Land, to complete her education,",30
the Holy Land,LOC,"abroad as the heir-apparent went to America and the Holy Land, to complete her education, and fit herself,",30
St Roque's,GPE,"town before Miss Marjoribanks began her Thursday evenings, before St Roque's Chapel was built or thought of, while Mr Bury",31
Carlingford,GPE,", as at present, by the best families in Carlingford; but then, without organisation, what good does",31
Carlingford,GPE,"at the moment this history commences, of society in Carlingford.",31
St Roque's,GPE,"little reconnaissance. She walked down to the spot where St Roque's now stands, on her own side of Grange Lane",52
Carlingford,GPE,"her which had so much effect upon her career in Carlingford. Such happy accidents rarely happen, except to great",52
Carlingford,GPE,", contrary to the wont of humble gentility in Carlingford, were well drawn back, and allowed the light",52
Carlingford,GPE,so entire a revolution in the taste and ideas of Carlingford.,52
Mount Pleasant,LOC,"of the singer, and was known to everybody in Mount Pleasant to be utterly innocent of a voice.",53
Italy,GPE,"try a duet. I have been having lessons in Italy, you know, and I am sure I could",57
Rose,LOC,"ill-used which made her so resolute about sending Rose to Mount Pleasant, though the poor little girl did",63
Mount Pleasant,LOC,"used which made her so resolute about sending Rose to Mount Pleasant, though the poor little girl did not in the",63
Brussels,GPE,"middle aisle of Carlingford Church in a veil of real Brussels, before little Mr Lake came in, hungry and",63
Salem,GPE,have been incapable of making. She went home past Salem Chapel by the little lane which makes a line of,64
Carlingford,GPE,"it was a little doubtful how it might work in Carlingford, where the men had generally something to do,",64
Carlingford,GPE,"who could attempt a rival enterprise to her own in Carlingford. As for Mrs Woodburn, she had settled herself",66
Providence,GPE,"with that sense of mild amazement at the blunders of Providence, which so many people experience, and without any",70
Providence,GPE,"a sigh as he listened, and wondered much what Providence could be thinking of not to give him the boy",72
England,GPE,moment than those of the most eligible eldest son in England. And then she gave a little pathetic sigh.,73
Providence,GPE,"in that particular, had acquiesced in the arrangements of Providence. ""Really, Lucilla, I don't know",76
Lake,LOC,"teaching or anything—I have a regard for poor Lake, poor little fellow! He's kept up wonderfully",81
Providence,GPE,"would believe it. I think it is going against Providence, for my part. Nothing was ever intended to",84
Providence,GPE,"enough, though he had just been finding fault with Providence for not giving him a son instead of a daughter",91
Providence,GPE,", he was not at all delighted nor grateful when Providence put before him this simple method of providing himself with",91
Providence,GPE,"been a grandmother, had such been the will of Providence—for lingering five minutes undecided between her two best",103
Mount Pleasant,LOC,"political economy which she had studied with such success at Mount Pleasant; but she stopped and asked her name, and",103
Carlingford,GPE,"; ""that will stir you up a little in Carlingford, I should suppose. It is as good as",105
Carlingford,GPE,"all the blackguards within a hundred miles will crowd into Carlingford, and the fellow will be hanged, as he",105
Carlingford,GPE,"speak, her first formal appearance before the public of Carlingford. Tom was so ill-advised as to come",118
Providence,GPE,have a genius. You should be very thankful to Providence for giving you such a gift. I have given,119
Mount Pleasant,LOC,"through a course of political economy when I was at Mount Pleasant,"" Lucilla said tranquilly, with an air of",122
India,GPE,"sure I cannot say. You never were in India, to be sure; but Miss Bury should have",125
India,GPE,"answer for the consequences. If I go off to India, or if I go to the bad——",167
India,GPE,"very best thing you can do is to go to India. As for marrying just now at your age,",168
St Cecilia,GPE,"Miss Marjoribanks's forebodings were so far fulfilled that the St Cecilia, which she meant to have over the piano,",169
St Cecilia,GPE,"own way; and she devoted her mind to the St Cecilia, and paid no more attention to Tom. It",169
Carlingford,GPE,Lucilla's operations was looked upon with great interest in Carlingford. It was so opportune that society forgot its usual,170
Carlingford,GPE,of her ancient claims as the songstress of society in Carlingford; for Lucilla had all that regard for constituted rights,174
Carlingford,GPE,"Centum, and several other of the leading people in Carlingford, that he was the most likely man to represent",175
Providence,GPE,"; but still, if such was the intention of Providence, and if it was to the Member for Carlingford",176
Carlingford,GPE,"were realised, constitute Lucilla a kind of queen in Carlingford, and she could not but feel that, under",177
Carlingford,GPE,to be the real beginning of her great work in Carlingford.,177
Carlingford,GPE,was most fair and all that was most distinguished in Carlingford. No doubt there was a world of heterogeneous elements,183
Carlingford,GPE,"under a shabby bonnet in some by-street of Carlingford, and he was even sufficiently learned in female apparel",186
Carlingford,GPE,"revelation. For it must be remembered that nobody in Carlingford, except the members of Dr Marjoribanks's dinner-",187
Mount Pleasant,LOC,", I went through a course of political economy at Mount Pleasant,"" she said, with a laugh. """,197
Carlingford,GPE,find her out the very first day I was in Carlingford? It has always been so difficult to find a,199
Carlingford,GPE,"been existing in an ordinary habitation like other people in Carlingford, I should have heard her, or heard of",200
Carlingford,GPE,"Cavendishes,"" as it was common to say in Carlingford, with a certain imposing yet vague grandeur—and",203
Carlingford,GPE,"consider, in the first place, her mission in Carlingford, which was more important than anything else; but",204
Mount Pleasant,LOC,"her. Rose had made such progress, after leaving Mount Pleasant, under her father's care, and by the",205
Mount Pleasant,LOC,", poor man! the time that Rose was at Mount Pleasant; but now that his assistant had come back again",205
Honiton,GPE,"it was my design he was thinking of—my Honiton flounce, you know. I suppose this other one",209
Honiton,GPE,","" she said; ""who cares about your Honiton flounce? He took off his hat because—because",210
Carlingford,GPE,"reign of Miss Marjoribanks became gradually established and confirmed in Carlingford. It would be unnecessary to enter into detail,",225
Carlingford,GPE,". ""For you know, after all, in Carlingford, one is obliged to take them into consideration,",225
Carlingford,GPE,"the Thursday evening, which was now an institution in Carlingford. And Lucilla knew it just as well as they",225
Carlingford,GPE,To be sure there was not very much known in Carlingford about his connections; but then everybody was aware that,226
the Virgin Mary,GPE,"woman who would take off the Archbishop of Canterbury or the Virgin Mary, if she had the opportunity; and there was",226
Carlingford,GPE,"have said, and dressing as nobody else dressed in Carlingford, and becoming the great lady of the town,",228
Richmond,GPE,", especially Lydia, who was afterwards married to young Richmond, Sir John's eldest son; and they were",228
Carlingford,GPE,"Meantime the tide of public opinion ran very high in Carlingford against Mr Cavendish, who had been so popular a",234
Carlingford,GPE,", or the sudden appearance of a rival entertainer in Carlingford with superior powers: though the last was but a",236
Providence,GPE,"kind of way to have provided against it. But Providence, which had always taken care of her, as",236
Cavendish,GPE,"shoulder on its early favourite. ""I never imagined Cavendish was such a fool,"" Mr Centum said,",239
Providence,GPE,"courage, Miss Marjoribanks was rather grateful than otherwise to Providence, which had brought the necessary trial upon her in",240
Carlingford,GPE,"had taken. The Doctor knew all about everybody in Carlingford, and he had never been an enthusiast in favour",241
India,GPE,I am! And then to look at all her India muslins; but I knew it would be different as,244
Lakes,LOC,"no sense of honour, and you one of the Lakes. I would not be a traitor for a dozen",250
Rose Lake,LOC,"the event was received by everybody very much as little Rose Lake received it. And as for Miss Marjoribanks, if",254
Carlingford,GPE,"you the young lady as is most thought upon in Carlingford, and as different from that brazen-faced thing",263
Carlingford,GPE,"—a practice which was received with such enthusiasm in Carlingford, where the gardens were so pretty. She put",264
Carlingford,GPE,"garden gate. If it had been anybody else in Carlingford, Lucilla would have led her back again to the",264
Carlingford,GPE,be; for such apparitions were not too plentiful in Carlingford; and it did not seem in reason that an,267
Carlingford,GPE,"suppose he will have to be a great deal in Carlingford, and I should like him to form a good",268
Carlingford,GPE,"n't know such nice people anywhere as there are in Carlingford. Some people are never pleased with their neighbours,",271
Carlingford,GPE,same time it was equally true; for everybody in Carlingford was aware of the grand object of Miss Marjoribanks's,281
Carlingford,GPE,"occurred which at a later period awoke much excitement in Carlingford, and had no small influence upon the future fate",284
Carlingford,GPE,"The arrival of Mr Archdeacon Beverley in Carlingford was, for many reasons, an event of importance",289
Carlingford,GPE,"after that, what have we to show him in Carlingford, Lucilla?"" As for Miss Marjoribanks, she",289
Carlingford,GPE,"do. It was the custom of good society in Carlingford to give a respectful assent, for example, to",290
Carlingford,GPE,A great many people in Carlingford were at that moment occupied by the same wonders and,291
Carlingford,GPE,", which was a state of mind largely prevalent in Carlingford. But that was not in the least Mr Beverley",293
Rose Lake,LOC,"she received a visit quite unexpectedly one morning from little Rose Lake, who had just at that time a great deal",294
Mount Pleasant,LOC,and you always were such a pet of mine at Mount Pleasant! I can't think why you never came to,299
Lake,LOC,that society was utterly unconscious of the existence of the Lake family; but then there is always something imposing in,300
Carlingford,GPE,caught a glimpse of the first day I was in Carlingford. Perhaps it was in the morning after I arrived,307
